table_id,row_id,aggregated_field_name_and_constituent_fields_full_path,aggregated_field_name_and_constituent_fields_level_1,aggregated_field_name_and_constituent_fields_level_2,aggregated_field_name_and_constituent_fields_level_3,aggregated_field_name_and_constituent_fields_hierarchy_depth
1035,r184,Business management and administration -> Other aggregated business fields ,Business management and administration,Other aggregated business fields ,,2
1035,r185,"Business management and administration -> Other aggregated business fields  -> Business, managerial economics<sup>*</sup>",Business management and administration,Other aggregated business fields ,"Business, managerial economics<sup>*</sup>",3
1035,r186,"Business management and administration -> Other aggregated business fields  -> Hospitality, food service, and tourism management",Business management and administration,Other aggregated business fields ,"Hospitality, food service, and tourism management",3
1035,r187,"Business management and administration -> Other aggregated business fields  -> International business, trade, commerce<sup>*</sup>",Business management and administration,Other aggregated business fields ,"International business, trade, commerce<sup>*</sup>",3
1035,r188,Business management and administration -> Other aggregated business fields  -> Operations research (business)<sup>*</sup>,Business management and administration,Other aggregated business fields ,Operations research (business)<sup>*</sup>,3
1035,r189,"Business management and administration -> Other aggregated business fields  -> Business management and administration, general",Business management and administration,Other aggregated business fields ,"Business management and administration, general",3
1035,r190,"Business management and administration -> Other aggregated business fields  -> Business management and administration, other",Business management and administration,Other aggregated business fields ,"Business management and administration, other",3
1035,r191,"Communication, aggregated","Communication, aggregated",,,1
1035,r192,"Communication, aggregated -> Communication theory","Communication, aggregated",Communication theory,,2
1035,r193,"Communication, aggregated -> Film, radio, TV and digital communication<sup>*</sup>","Communication, aggregated","Film, radio, TV and digital communication<sup>*</sup>",,2
1035,r194,"Communication, aggregated -> Communication, other","Communication, aggregated","Communication, other",,2
1035,r195,"Fields nec, aggregated","Fields nec, aggregated",,,1
1035,r196,"Fields nec, aggregated -> Law<sup>*</sup>","Fields nec, aggregated",Law<sup>*</sup>,,2
1035,r197,"Fields nec, aggregated -> Library science","Fields nec, aggregated",Library science,,2
1035,r198,"Fields nec, aggregated -> Other fields nec","Fields nec, aggregated",Other fields nec,,2
