table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_headcount,field_all_personnel_functions_ftes,field_researchers_headcount,field_researchers_ftes,field_r_d_technicians_headcount,field_r_d_technicians_ftes,field_r_d_support_staff_headcount,field_r_d_support_staff_ftes
12726,r203,"United States -> Illinois -> Public -> Southern Illinois U., Edwardsville",United States,Illinois,Public,"Southern Illinois U., Edwardsville",4,"['94', '']","['20.1', '']","['21', '']","['6.9', '']","['51', '']","['8.1', '']","['22', '']","['5.1', '']"
12726,r204,"United States -> Illinois -> Public -> U. Illinois, Chicago",United States,Illinois,Public,"U. Illinois, Chicago",4,"['6,450', '']","['2,166.1', '']","['2,135', '']","['703.3', '']","['2,809', '']","['958.3', '']","['1,506', '']","['504.5', '']"
12726,r205,"United States -> Illinois -> Public -> U. Illinois, Springfield",United States,Illinois,Public,"U. Illinois, Springfield",4,"['109', '']","['47.2', '']","['26', '']","['5.2', '']","['44', '']","['24.0', '']","['39', '']","['18.0', '']"
12726,r206,"United States -> Illinois -> Public -> U. Illinois, Urbana-Champaign",United States,Illinois,Public,"U. Illinois, Urbana-Champaign",4,"['20,622', '']","['8,176.4', '']","['2,400', '']","['1,681.8', '']","['17,414', '']","['5,969.3', '']","['808', '']","['525.3', '']"
12726,r207,United States -> Illinois -> Public -> Western Illinois U.,United States,Illinois,Public,Western Illinois U.,4,"['104', '']","['50.5', 'i']","['27', '']","['12.3', 'i']","['75', '']","['37.5', 'i']","['2', '']","['0.7', 'i']"
12726,r208,United States -> Illinois -> Private,United States,Illinois,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r209,United States -> Illinois -> Private -> DePaul U.,United States,Illinois,Private,DePaul U.,4,"['281', '']","['81.0', '']","['155', '']","['51.3', '']","['36', '']","['5.9', '']","['90', '']","['23.8', '']"
12726,r210,United States -> Illinois -> Private -> Erikson Institute,United States,Illinois,Private,Erikson Institute,4,"['32', '']","['13.0', '']","['9', '']","['4.0', '']","['19', '']","['7.0', '']","['4', '']","['2.0', '']"
12726,r211,United States -> Illinois -> Private -> Illinois Institute of Technology,United States,Illinois,Private,Illinois Institute of Technology,4,"['590', '']","['390.2', 'i']","['191', '']","['134.6', 'i']","['385', '']","['246.1', 'i']","['14', '']","['9.5', 'i']"
12726,r212,"United States -> Illinois -> Private -> Loyola U., Chicago",United States,Illinois,Private,"Loyola U., Chicago",4,"['1,089', '']","['693.9', 'i']","['293', '']","['206.5', 'i']","['381', '']","['204.9', 'i']","['415', '']","['282.5', 'i']"
12726,r213,United States -> Illinois -> Private -> Midwestern U.,United States,Illinois,Private,Midwestern U.,4,"['471', '']","['121.5', '']","['30', '']","['2.9', '']","['441', '']","['118.6', '']","['0', '']","['0.0', '']"
12726,r214,United States -> Illinois -> Private -> Northwestern U.,United States,Illinois,Private,Northwestern U.,4,"['11,871', '']","['5,227.8', '']","['5,056', '']","['3,035.1', '']","['3,445', '']","['1,515.8', '']","['3,370', '']","['676.9', '']"
12726,r215,United States -> Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,United States,Illinois,Private,Rosalind Franklin U. of Medicine and Science,4,"['138', '']","['43.0', '']","['97', '']","['24.0', '']","['29', '']","['15.0', '']","['12', '']","['4.0', '']"
12726,r216,United States -> Illinois -> Private -> Rush U.,United States,Illinois,Private,Rush U.,4,"['1,052', '']","['620.8', '']","['314', '']","['105.7', '']","['623', '']","['455.6', '']","['115', '']","['59.5', '']"
12726,r217,"United States -> Illinois -> Private -> Toyota Technological Institute, Chicago",United States,Illinois,Private,"Toyota Technological Institute, Chicago",4,"['63', '']","['26.5', '']","['63', '']","['26.5', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r218,United States -> Illinois -> Private -> U. Chicago,United States,Illinois,Private,U. Chicago,4,"['4,586', '']","['2,113.0', '']","['3,539', '']","['1,611.0', '']","['562', '']","['356.0', '']","['485', '']","['146.0', '']"
12726,r219,"United States -> Illinois -> Private -> Wheaton C., Wheaton",United States,Illinois,Private,"Wheaton C., Wheaton",4,"['89', '']","['15.9', '']","['86', '']","['15.4', '']","['3', '']","['0.5', '']","['0', '']","['0.0', '']"
12726,r220,United States -> Indiana,United States,Indiana,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r221,United States -> Indiana -> Public,United States,Indiana,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r222,United States -> Indiana -> Public -> Ball State U.,United States,Indiana,Public,Ball State U.,4,"['306', '']","['55.6', '']","['101', '']","['12.8', '']","['197', '']","['42.7', '']","['8', '']","['0.1', '']"
12726,r223,United States -> Indiana -> Public -> Indiana State U.,United States,Indiana,Public,Indiana State U.,4,"['160', '']","['57.8', 'i']","['7', '']","['3.2', 'i']","['23', '']","['11.5', 'i']","['130', '']","['43.1', 'i']"
12726,r224,"United States -> Indiana -> Public -> Indiana U., Bloomington",United States,Indiana,Public,"Indiana U., Bloomington",4,"['9,593', '']","['5,233.0', '']","['2,463', '']","['1,239.2', '']","['7,013', '']","['3,926.9', '']","['117', '']","['66.9', '']"
12726,r225,"United States -> Indiana -> Public -> Indiana U., South Bend",United States,Indiana,Public,"Indiana U., South Bend",4,"['102', '']","['48.0', '']","['30', '']","['5.0', '']","['72', '']","['43.0', '']","['0', '']","['0.0', '']"
12726,r226,"United States -> Indiana -> Public -> Indiana U.-Purdue U., Indianapolis",United States,Indiana,Public,"Indiana U.-Purdue U., Indianapolis",4,"['1,929', '']","['940.7', '']","['526', '']","['181.9', '']","['1,392', '']","['753.7', '']","['11', '']","['5.1', '']"
12726,r227,"United States -> Indiana -> Public -> Purdue U., Fort Wayne",United States,Indiana,Public,"Purdue U., Fort Wayne",4,"['138', '']","['47.0', '']","['85', '']","['36.0', '']","['0', '']","['0.0', '']","['53', '']","['11.0', '']"
12726,r228,"United States -> Indiana -> Public -> Purdue U., Northwest",United States,Indiana,Public,"Purdue U., Northwest",4,"['270', '']","['57.0', '']","['109', '']","['31.0', '']","['2', '']","['1.0', '']","['159', '']","['25.0', '']"
12726,r229,"United States -> Indiana -> Public -> Purdue U., West Lafayette",United States,Indiana,Public,"Purdue U., West Lafayette",4,"['13,087', '']","['4,855.0', '']","['9,018', '']","['3,910.0', '']","['512', '']","['305.0', '']","['3,557', '']","['640.0', '']"
12726,r230,United States -> Indiana -> Private,United States,Indiana,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r231,United States -> Indiana -> Private -> Butler U.,United States,Indiana,Private,Butler U.,4,"['98', '']","['16.0', '']","['53', '']","['8.0', '']","['43', '']","['7.0', '']","['2', '']","['1.0', '']"
12726,r232,"United States -> Indiana -> Private -> Marian U., Indianapolis",United States,Indiana,Private,"Marian U., Indianapolis",4,"['77', '']","['20.3', 'i']","['60', '']","['11.3', '']","['14', '']","['7.0', '']","['3', '']","['2.0', 'i']"
12726,r233,United States -> Indiana -> Private -> U. Notre Dame,United States,Indiana,Private,U. Notre Dame,4,"['3,999', '']","['2,600.1', 'i']","['421', '']","['296.8', 'i']","['3,183', '']","['2,034.4', 'i']","['395', '']","['268.9', 'i']"
12726,r234,United States -> Iowa,United States,Iowa,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r235,United States -> Iowa -> Public,United States,Iowa,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r236,United States -> Iowa -> Public -> Iowa State U.,United States,Iowa,Public,Iowa State U.,4,"['5,072', '']","['1,796.1', '']","['933', '']","['381.9', '']","['2,473', '']","['1,130.8', '']","['1,666', '']","['283.4', '']"
12726,r237,United States -> Iowa -> Public -> U. Iowa,United States,Iowa,Public,U. Iowa,4,"['7,080', '']","['2,685.9', 'i']","['1,254', '']","['571.3', 'i']","['2,690', '']","['1,073.9', 'i']","['3,136', '']","['1,040.7', 'i']"
12726,r238,United States -> Iowa -> Public -> U. Northern Iowa,United States,Iowa,Public,U. Northern Iowa,4,"['216', '']","['36.4', '']","['63', '']","['13.9', '']","['27', '']","['8.9', '']","['126', '']","['13.6', '']"
12726,r239,United States -> Iowa -> Private,United States,Iowa,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r240,United States -> Iowa -> Private -> Des Moines U.,United States,Iowa,Private,Des Moines U.,4,"['174', '']","['34.1', '']","['88', '']","['16.6', '']","['11', '']","['10.7', '']","['75', '']","['6.8', '']"
12726,r241,United States -> Iowa -> Private -> Drake U.,United States,Iowa,Private,Drake U.,4,"['102', '']","['69.7', 'i']","['31', '']","['21.9', 'i']","['13', '']","['8.3', 'i']","['58', '']","['39.5', 'i']"
12726,r242,United States -> Iowa -> Private -> Grinnell C.,United States,Iowa,Private,Grinnell C.,4,"['310', '']","['64.2', '']","['92', '']","['35.6', '']","['218', '']","['28.6', '']","['0', '']","['0.0', '']"
12726,r243,"United States -> Iowa -> Private -> Palmer C. of Chiropractic, Davenport",United States,Iowa,Private,"Palmer C. of Chiropractic, Davenport",4,"['13', '']","['9.5', '']","['6', '']","['4.5', '']","['0', '']","['0.0', '']","['7', '']","['5.0', '']"
12726,r244,United States -> Kansas,United States,Kansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r245,United States -> Kansas -> Public,United States,Kansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r246,United States -> Kansas -> Public -> Kansas State U.,United States,Kansas,Public,Kansas State U.,4,"['2,976', '']","['2,094.2', '']","['946', '']","['434.7', '']","['1,963', '']","['1,626.4', '']","['67', '']","['33.1', '']"
12726,r247,United States -> Kansas -> Public -> Pittsburg State U.,United States,Kansas,Public,Pittsburg State U.,4,"['179', 'i']","['72.3', 'i']","['32', 'i']","['14.6', 'i']","['53', 'i']","['26.5', 'i']","['94', 'i']","['31.2', 'i']"
12726,r248,United States -> Kansas -> Public -> U. Kansas,United States,Kansas,Public,U. Kansas,4,"['5,412', '']","['2,035.0', '']","['1,578', '']","['667.3', '']","['2,882', '']","['949.7', '']","['952', '']","['418.0', '']"
12726,r249,United States -> Kansas -> Public -> Wichita State U.,United States,Kansas,Public,Wichita State U.,4,"['2,490', '']","['1,168.3', '']","['248', '']","['79.3', '']","['2,242', '']","['1,089.0', '']","['NA', '']","['NA', '']"
12726,r250,United States -> Kentucky,United States,Kentucky,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r251,United States -> Kentucky -> Public,United States,Kentucky,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r252,United States -> Kentucky -> Public -> Eastern Kentucky U.,United States,Kentucky,Public,Eastern Kentucky U.,4,"['78', '']","['15.3', '']","['78', '']","['15.3', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r253,United States -> Kentucky -> Public -> Kentucky State U.,United States,Kentucky,Public,Kentucky State U.,4,"['138', '']","['84.0', '']","['46', '']","['30.0', '']","['82', '']","['48.0', '']","['10', '']","['6.0', '']"
12726,r254,United States -> Kentucky -> Public -> Morehead State U.,United States,Kentucky,Public,Morehead State U.,4,"['20', '']","['5.4', '']","['8', '']","['3.2', '']","['12', '']","['2.2', '']","['0', '']","['0.0', '']"
12726,r255,United States -> Kentucky -> Public -> Murray State U.,United States,Kentucky,Public,Murray State U.,4,"['142', '']","['23.9', '']","['18', '']","['3.6', '']","['120', '']","['17.3', '']","['4', '']","['3.0', '']"
12726,r256,United States -> Kentucky -> Public -> Northern Kentucky U.,United States,Kentucky,Public,Northern Kentucky U.,4,"['263', '']","['125.1', 'i']","['81', '']","['36.9', 'i']","['165', '']","['82.6', 'i']","['17', '']","['5.6', 'i']"
12726,r257,United States -> Kentucky -> Public -> U. Kentucky,United States,Kentucky,Public,U. Kentucky,4,"['5,681', 'i']","['2,262.4', 'i']","['1,795', 'i']","['817.6', 'i']","['2,305', 'i']","['920.1', 'i']","['1,581', 'i']","['524.7', 'i']"
12726,r258,United States -> Kentucky -> Public -> U. Louisville,United States,Kentucky,Public,U. Louisville,4,"['2,542', '']","['1,704.0', '']","['886', '']","['481.0', '']","['1,422', '']","['1,085.0', '']","['234', '']","['138.0', '']"
12726,r259,United States -> Kentucky -> Public -> Western Kentucky U.,United States,Kentucky,Public,Western Kentucky U.,4,"['256', '']","['155.5', '']","['58', '']","['55.0', '']","['7', '']","['4.0', '']","['191', '']","['96.5', '']"
12726,r260,United States -> Louisiana,United States,Louisiana,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r261,United States -> Louisiana -> Public,United States,Louisiana,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r262,United States -> Louisiana -> Public -> Grambling State U.,United States,Louisiana,Public,Grambling State U.,4,"['52', '']","['31.0', '']","['30', '']","['21.0', '']","['0', '']","['0.0', '']","['22', '']","['10.0', '']"
12726,r263,"United States -> Louisiana -> Public -> Louisiana State U., Baton Rouge",United States,Louisiana,Public,"Louisiana State U., Baton Rouge",4,"['4,862', '']","['2,186.1', '']","['1,056', '']","['352.1', '']","['647', '']","['526.1', '']","['3,159', '']","['1,307.9', '']"
12726,r264,"United States -> Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",United States,Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",4,"['446', '']","['318.0', '']","['162', '']","['146.0', '']","['180', '']","['133.0', '']","['104', '']","['39.0', '']"
12726,r265,"United States -> Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",United States,Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",4,"['370', '']","['259.0', '']","['189', '']","['164.0', '']","['67', '']","['40.0', '']","['114', '']","['55.0', '']"
12726,r266,United States -> Louisiana -> Public -> Louisiana Tech U.,United States,Louisiana,Public,Louisiana Tech U.,4,"['455', '']","['311.6', '']","['417', '']","['277.9', '']","['14', '']","['11.9', '']","['24', '']","['21.8', '']"
12726,r267,United States -> Louisiana -> Public -> Northwestern State U. Louisiana,United States,Louisiana,Public,Northwestern State U. Louisiana,4,"['118', 'i']","['50.7', 'i']","['50', 'i']","['22.6', 'i']","['32', 'i']","['16.1', 'i']","['36', 'i']","['12.0', 'i']"
12726,r268,United States -> Louisiana -> Public -> Southeastern Louisiana U.,United States,Louisiana,Public,Southeastern Louisiana U.,4,"['117', '']","['30.7', '']","['25', '']","['7.0', '']","['14', '']","['5.0', '']","['78', '']","['18.7', '']"
12726,r269,"United States -> Louisiana -> Public -> Southern U. and A&M C., Agricultural Research and Extension Center",United States,Louisiana,Public,"Southern U. and A&M C., Agricultural Research and Extension Center",4,"['86', '']","['54.7', '']","['29', '']","['20.7', '']","['30', '']","['21.1', '']","['27', '']","['12.9', '']"
12726,r270,"United States -> Louisiana -> Public -> Southern U. and A&M C., Baton Rouge",United States,Louisiana,Public,"Southern U. and A&M C., Baton Rouge",4,"['150', '']","['67.6', 'i']","['66', '']","['30.1', 'i']","['57', '']","['28.5', 'i']","['27', '']","['9.0', 'i']"
12726,r271,"United States -> Louisiana -> Public -> Southern U., New Orleans",United States,Louisiana,Public,"Southern U., New Orleans",4,"['8', '']","['3.0', '']","['8', '']","['3.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r272,"United States -> Louisiana -> Public -> U. Louisiana, Lafayette",United States,Louisiana,Public,"U. Louisiana, Lafayette",4,"['1,984', '']","['1,876.0', '']","['315', '']","['291.0', '']","['1,215', '']","['1,134.0', '']","['454', '']","['451.0', '']"
12726,r273,"United States -> Louisiana -> Public -> U. Louisiana, Monroe",United States,Louisiana,Public,"U. Louisiana, Monroe",4,"['82', '']","['18.4', '']","['16', '']","['4.1', '']","['66', '']","['14.3', '']","['0', '']","['0.0', '']"
12726,r274,United States -> Louisiana -> Public -> U. New Orleans,United States,Louisiana,Public,U. New Orleans,4,"['483', '']","['341.5', '']","['189', '']","['187.1', '']","['277', '']","['138.1', '']","['17', '']","['16.3', '']"
12726,r275,United States -> Louisiana -> Private,United States,Louisiana,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r276,United States -> Louisiana -> Private -> Dillard U.,United States,Louisiana,Private,Dillard U.,4,"['21', '']","['11.0', '']","['12', '']","['4.0', '']","['1', '']","['1.0', '']","['8', '']","['6.0', '']"
12726,r277,United States -> Louisiana -> Private -> Tulane U.,United States,Louisiana,Private,Tulane U.,4,"['2,059', '']","['1,077.9', '']","['401', '']","['209.8', '']","['1,658', '']","['868.1', '']","['NA', '']","['NA', '']"
12726,r278,United States -> Louisiana -> Private -> Xavier U. Louisiana,United States,Louisiana,Private,Xavier U. Louisiana,4,"['297', '']","['104.9', '']","['80', '']","['31.2', '']","['180', '']","['46.5', '']","['37', '']","['27.2', '']"
12726,r279,United States -> Maine,United States,Maine,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r280,United States -> Maine -> Public,United States,Maine,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r281,United States -> Maine -> Public -> U. Maine,United States,Maine,Public,U. Maine,4,"['2,367', '']","['1,059.2', '']","['1,137', '']","['549.8', '']","['661', '']","['279.8', '']","['569', '']","['229.6', '']"
12726,r282,United States -> Maine -> Public -> U. Southern Maine,United States,Maine,Public,U. Southern Maine,4,"['101', '']","['27.7', '']","['30', '']","['5.5', '']","['36', '']","['10.9', '']","['35', '']","['11.3', '']"
12726,r283,United States -> Maine -> Private,United States,Maine,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r284,United States -> Maine -> Private -> Bates C.,United States,Maine,Private,Bates C.,4,"['69', '']","['45.5', 'i']","['21', '']","['14.8', 'i']","['48', '']","['30.7', 'i']","['0', '']","['0.0', 'i']"
12726,r285,United States -> Maine -> Private -> Bowdoin C.,United States,Maine,Private,Bowdoin C.,4,"['87', '']","['10.1', '']","['31', '']","['2.9', '']","['15', '']","['6.1', '']","['41', '']","['1.1', '']"
12726,r286,United States -> Maine -> Private -> Colby C.,United States,Maine,Private,Colby C.,4,"['128', '']","['30.0', '']","['44', '']","['10.0', '']","['9', '']","['4.0', '']","['75', '']","['16.0', '']"
12726,r287,United States -> Maine -> Private -> U. New England,United States,Maine,Private,U. New England,4,"['100', '']","['29.2', '']","['35', '']","['10.2', '']","['34', '']","['15.2', '']","['31', '']","['3.8', '']"
12726,r288,United States -> Maryland,United States,Maryland,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r289,United States -> Maryland -> Public,United States,Maryland,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r290,United States -> Maryland -> Public -> Bowie State U.,United States,Maryland,Public,Bowie State U.,4,"['173', '']","['43.0', '']","['41', '']","['10.0', '']","['0', '']","['0.0', '']","['132', '']","['33.0', '']"
12726,r291,United States -> Maryland -> Public -> Morgan State U.,United States,Maryland,Public,Morgan State U.,4,"['583', '']","['184.0', '']","['266', '']","['97.0', '']","['55', '']","['24.0', '']","['262', '']","['63.0', '']"
12726,r292,United States -> Maryland -> Public -> Salisbury U.,United States,Maryland,Public,Salisbury U.,4,"['371', '']","['90.7', '']","['66', '']","['12.7', '']","['0', '']","['0.0', '']","['305', '']","['78.0', '']"
12726,r293,United States -> Maryland -> Public -> St. Mary's C. Maryland,United States,Maryland,Public,St. Mary's C. Maryland,4,"['28', '']","['9.6', '']","['10', '']","['1.5', '']","['1', '']","['0.8', '']","['17', '']","['7.3', '']"
12726,r294,United States -> Maryland -> Public -> Towson U.,United States,Maryland,Public,Towson U.,4,"['575', '']","['272.1', 'i']","['350', '']","['159.5', 'i']","['225', '']","['112.6', 'i']","['0', '']","['0.0', 'i']"
12726,r295,United States -> Maryland -> Public -> U. Baltimore,United States,Maryland,Public,U. Baltimore,4,"['167', '']","['62.0', '']","['16', '']","['12.0', '']","['0', '']","['0.0', '']","['151', '']","['50.0', '']"
12726,r296,United States -> Maryland -> Public -> U. Maryland<sup>a</sup>,United States,Maryland,Public,U. Maryland<sup>a</sup>,4,"['12,999', '']","['6,145.7', '']","['2,622', '']","['1,560.9', '']","['6,458', '']","['3,595.2', '']","['3,919', '']","['989.6', '']"
12726,r297,United States -> Maryland -> Public -> U. Maryland Center for Environmental Science,United States,Maryland,Public,U. Maryland Center for Environmental Science,4,"['418', '']","['336.0', '']","['70', '']","['59.0', '']","['194', '']","['139.0', '']","['154', '']","['138.0', '']"
12726,r298,"United States -> Maryland -> Public -> U. Maryland, Baltimore County",United States,Maryland,Public,"U. Maryland, Baltimore County",4,"['1,884', '']","['940.6', 'i']","['56', '']","['25.5', 'i']","['1,828', '']","['915.1', 'i']","['NA', '']","['NA', '']"
12726,r299,"United States -> Maryland -> Public -> U. Maryland, Eastern Shore",United States,Maryland,Public,"U. Maryland, Eastern Shore",4,"['56', '']","['25.7', 'i']","['30', '']","['13.7', 'i']","['20', '']","['10.0', 'i']","['6', '']","['2.0', 'i']"
12726,r300,United States -> Maryland -> Public -> U.S. Naval Academy,United States,Maryland,Public,U.S. Naval Academy,4,"['136', '']","['39.2', '']","['136', '']","['39.2', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r301,United States -> Maryland -> Public -> Uniformed Services U. of the Health Sciences,United States,Maryland,Public,Uniformed Services U. of the Health Sciences,4,"['1,296', 'i']","['530.2', 'i']","['643', 'i']","['292.9', 'i']","['309', 'i']","['123.2', 'i']","['344', 'i']","['114.1', 'i']"
12726,r302,United States -> Maryland -> Private,United States,Maryland,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r303,United States -> Maryland -> Private -> Johns Hopkins U.<sup>b</sup>,United States,Maryland,Private,Johns Hopkins U.<sup>b</sup>,4,"['19,576', '']","['13,059.4', '']","['9,874', '']","['7,824.0', '']","['7,670', '']","['3,574.0', '']","['2,032', '']","['1,661.4', '']"
12726,r304,United States -> Massachusetts,United States,Massachusetts,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r305,United States -> Massachusetts -> Public,United States,Massachusetts,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r306,United States -> Massachusetts -> Public -> Framingham State U.,United States,Massachusetts,Public,Framingham State U.,4,"['8', '']","['2.0', '']","['8', '']","['2.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r307,"United States -> Massachusetts -> Public -> U. Massachusetts, Amherst",United States,Massachusetts,Public,"U. Massachusetts, Amherst",4,"['3,275', 'i']","['1,439.0', 'i']","['1,035', 'i']","['471.4', 'i']","['1,329', 'i']","['665.1', 'i']","['911', 'i']","['302.5', 'i']"
12726,r308,"United States -> Massachusetts -> Public -> U. Massachusetts, Boston",United States,Massachusetts,Public,"U. Massachusetts, Boston",4,"['1,289', '']","['365.8', '']","['354', '']","['115.9', '']","['795', '']","['201.3', '']","['140', '']","['48.6', '']"
12726,r309,"United States -> Massachusetts -> Public -> U. Massachusetts, Dartmouth",United States,Massachusetts,Public,"U. Massachusetts, Dartmouth",4,"['546', '']","['320.3', '']","['158', '']","['144.3', '']","['18', '']","['17.8', '']","['370', '']","['158.2', '']"
12726,r310,"United States -> Massachusetts -> Public -> U. Massachusetts, Lowell",United States,Massachusetts,Public,"U. Massachusetts, Lowell",4,"['1,740', '']","['1,370.0', '']","['320', '']","['236.0', '']","['1,120', '']","['930.0', '']","['300', '']","['204.0', '']"
12726,r311,"United States -> Massachusetts -> Public -> U. Massachusetts, Medical School",United States,Massachusetts,Public,"U. Massachusetts, Medical School",4,"['3,048', '']","['2,488.0', '']","['1,486', '']","['1,113.3', '']","['996', '']","['877.0', '']","['566', '']","['497.7', '']"
12726,r312,United States -> Massachusetts -> Private,United States,Massachusetts,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r313,United States -> Massachusetts -> Private -> Amherst C.,United States,Massachusetts,Private,Amherst C.,4,"['390', 'i']","['263.3', 'i']","['158', 'i']","['111.6', 'i']","['147', 'i']","['93.9', 'i']","['85', 'i']","['57.8', 'i']"
12726,r314,United States -> Massachusetts -> Private -> Babson C.,United States,Massachusetts,Private,Babson C.,4,"['171', 'i']","['115.2', 'i']","['56', 'i']","['39.8', 'i']","['78', 'i']","['49.9', 'i']","['37', 'i']","['25.5', 'i']"
12726,r315,United States -> Massachusetts -> Private -> Bentley U.,United States,Massachusetts,Private,Bentley U.,4,"['12', '']","['1.2', '']","['12', '']","['1.2', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r316,United States -> Massachusetts -> Private -> Boston C.,United States,Massachusetts,Private,Boston C.,4,"['949', '']","['584.3', '']","['170', '']","['168.6', '']","['647', '']","['334.1', '']","['132', '']","['81.6', '']"
12726,r317,United States -> Massachusetts -> Private -> Boston U.,United States,Massachusetts,Private,Boston U.,4,"['5,291', '']","['4,994.1', '']","['1,817', '']","['1,659.7', '']","['784', '']","['690.4', '']","['2,690', '']","['2,644.0', '']"
12726,r318,United States -> Massachusetts -> Private -> Brandeis U.,United States,Massachusetts,Private,Brandeis U.,4,"['1,469', '']","['1,021.0', '']","['389', '']","['307.0', '']","['151', '']","['92.0', '']","['929', '']","['622.0', '']"
12726,r319,United States -> Massachusetts -> Private -> Clark U.,United States,Massachusetts,Private,Clark U.,4,"['111', '']","['27.4', '']","['37', '']","['10.8', '']","['61', '']","['10.6', '']","['13', '']","['6.0', '']"
12726,r320,United States -> Massachusetts -> Private -> Franklin W. Olin C. of Engineering,United States,Massachusetts,Private,Franklin W. Olin C. of Engineering,4,"['67', '']","['4.5', '']","['14', '']","['1.6', '']","['52', '']","['2.8', '']","['1', '']","['0.1', '']"
12726,r321,United States -> Massachusetts -> Private -> Harvard U.,United States,Massachusetts,Private,Harvard U.,4,"['7,287', '']","['2,974.0', '']","['3,452', '']","['1,894.1', '']","['1,502', '']","['594.3', '']","['2,333', '']","['485.6', '']"
12726,r322,United States -> Massachusetts -> Private -> Massachusetts Institute of Technology,United States,Massachusetts,Private,Massachusetts Institute of Technology,4,"['9,051', '']","['6,274.5', 'i']","['6,928', '']","['4,883.5', 'i']","['1,305', '']","['834.1', 'i']","['818', '']","['556.9', 'i']"
12726,r323,United States -> Massachusetts -> Private -> Merrimack C.,United States,Massachusetts,Private,Merrimack C.,4,"['64', '']","['6.7', '']","['30', '']","['3.7', '']","['6', '']","['0.6', '']","['28', '']","['2.4', '']"
12726,r324,United States -> Massachusetts -> Private -> MGH Institute of Health Professions,United States,Massachusetts,Private,MGH Institute of Health Professions,4,"['52', '']","['32.0', '']","['52', '']","['32.0', '']","['0', '']","['0.0', '']","['0', '']","['0.0', '']"
12726,r325,United States -> Massachusetts -> Private -> Mount Holyoke C.,United States,Massachusetts,Private,Mount Holyoke C.,4,"['47', '']","['9.0', '']","['20', '']","['4.0', '']","['4', '']","['3.0', '']","['23', '']","['2.0', '']"
