table_id,row_id,_b_citizenship_status_and_field_b_full_path,_b_citizenship_status_and_field_b_level_1,_b_citizenship_status_and_field_b_level_2,_b_citizenship_status_and_field_b_level_3,_b_citizenship_status_and_field_b_level_4,_b_citizenship_status_and_field_b_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
4688,r122,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Temporary visa holder,Education,Teaching fields,4,163,,46,,33,,4,,0
4688,r123,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Education -> Other education,All doctorate recipients<sup>c</sup>,Temporary visa holder,Education,Other education,4,34,15,,,,0,0,,0
4688,r124,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Humanities and arts,All doctorate recipients<sup>c</sup>,Temporary visa holder,Humanities and arts,,3,742,400,238,83,135,5,15,162,0
4688,r125,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Temporary visa holder,Humanities and arts,Foreign languages and literature,4,185,100,75,15,56,0,4,25,0
4688,r126,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Temporary visa holder,Humanities and arts,History,4,120,77,46,,21,,2,31,0
4688,r127,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Temporary visa holder,Humanities and arts,Letters,4,131,65,33,,21,,2,32,0
4688,r128,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Temporary visa holder,Humanities and arts,Other humanities and arts,4,306,158,84,,37,,7,74,0
4688,r129,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Temporary visa holder,Other<sup>d</sup>,,3,1076,779,539,63,409,54,13,240,0
4688,r130,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Temporary visa holder,Other<sup>d</sup>,Business management and administration,4,658,524,383,25,312,36,10,141,0
4688,r131,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Temporary visa holder,Other<sup>d</sup>,Communication,4,154,105,73,13,52,6,2,32,0
4688,r132,All doctorate recipients<sup>c</sup> -> Temporary visa holder -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Temporary visa holder,Other<sup>d</sup>,Non-S&E fields nec,4,264,150,83,25,45,12,1,67,0
