table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_ftes,field_r_d_function_researchers,field_r_d_function_r_d_technicians,field_r_d_function_r_d_support_staff
12497,r120,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Health Research Center,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Health Research Center,6,74.0,31.0,2.0,41.0
12497,r121,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - Dayton,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - Dayton,6,58.0,22.0,8.0,28.0
12497,r122,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - INDO PACIFIC,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - INDO PACIFIC,6,22.0,9.0,0.0,13.0
12497,r123,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - San Antonio,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - San Antonio,6,47.0,18.0,5.0,24.0
12497,r124,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - South,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - South,6,188.9,18.0,93.3,77.6
12497,r125,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Submarine Medical Research Laboratory,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Submarine Medical Research Laboratory,6,35.8,12.5,2.0,21.3
12497,r126,All agencies -> Department of Defense -> Department of the Navy -> Marine Corps,All agencies,Department of Defense,Department of the Navy,Marine Corps,,,4,NA,NA,NA,NA
12497,r127,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Aircraft Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Aircraft Division,,,4,6340.9,4496.8,489.4,1354.7
12497,r128,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Weapon Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Weapon Division,,,4,3943.3,2599.3,747.0,597.0
12497,r129,All agencies -> Department of Defense -> Department of the Navy -> Naval Facilities Engineering and Expeditionary Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Facilities Engineering and Expeditionary Warfare Center,,,4,916.0,270.0,44.0,602.0
12497,r130,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,,,4,,,,
12497,r131,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Atlantic,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Atlantic,,5,562.0,101.0,416.0,45.0
12497,r132,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Pacific,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Pacific,,5,1155.0,1027.0,34.0,94.0
12497,r133,All agencies -> Department of Defense -> Department of the Navy -> Naval Observatory,All agencies,Department of Defense,Department of the Navy,Naval Observatory,,,4,NA,NA,NA,NA
12497,r134,All agencies -> Department of Defense -> Department of the Navy -> Naval Oceanographic Office,All agencies,Department of Defense,Department of the Navy,Naval Oceanographic Office,,,4,NA,NA,NA,NA
12497,r135,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,,,4,,,,
12497,r136,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Surface Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Surface Warfare Center,,5,9670.0,9670.0,0.0,0.0
12497,r137,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Undersea Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Undersea Warfare Center,,5,1277.3,1277.3,0.0,0.0
12497,r138,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,,,4,,,,
12497,r139,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research -> Naval Research Laboratory,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,Naval Research Laboratory,,5,1486.8,1379.1,52.7,55.0
12497,r140,All agencies -> Department of Defense -> Missile Defense Agency,All agencies,Department of Defense,Missile Defense Agency,,,,3,3007.5,0.0,2467.0,540.5
12497,r141,All agencies -> Department of Defense -> Space Force,All agencies,Department of Defense,Space Force,,,,3,,,,
12497,r142,All agencies -> Department of Defense -> Space Force -> Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,All agencies,Department of Defense,Space Force,Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,,,4,14.0,6.0,8.0,0.0
12497,r143,All agencies -> Department of Defense -> Space Force -> Commercial Satellite Communications (SATCOM),All agencies,Department of Defense,Space Force,Commercial Satellite Communications (SATCOM),,,4,12.0,6.0,6.0,0.0
12497,r144,All agencies -> Department of Defense -> Space Force -> Counter Communications System,All agencies,Department of Defense,Space Force,Counter Communications System,,,4,NA,NA,NA,NA
12497,r145,All agencies -> Department of Defense -> Space Force -> Electro-Optical/ Infrared Weather Systems,All agencies,Department of Defense,Space Force,Electro-Optical/ Infrared Weather Systems,,,4,NA,NA,NA,NA
12497,r146,All agencies -> Department of Defense -> Space Force -> Evolved Strategic SATCOM,All agencies,Department of Defense,Space Force,Evolved Strategic SATCOM,,,4,36.0,16.0,20.0,0.0
12497,r147,All agencies -> Department of Defense -> Space Force -> Global Positioning Systems III Follow-on,All agencies,Department of Defense,Space Force,Global Positioning Systems III Follow-on,,,4,10.0,3.0,7.0,0.0
12497,r148,All agencies -> Department of Defense -> Space Force -> Ground Based Optical Sensor System,All agencies,Department of Defense,Space Force,Ground Based Optical Sensor System,,,4,11.0,0.0,9.0,2.0
12497,r149,All agencies -> Department of Defense -> Space Force -> Joint Execution and Tasking System for Space,All agencies,Department of Defense,Space Force,Joint Execution and Tasking System for Space,,,4,2.0,0.0,1.0,1.0
12497,r150,All agencies -> Department of Defense -> Space Force -> National Security Space Launch,All agencies,Department of Defense,Space Force,National Security Space Launch,,,4,18.0,11.0,6.0,1.0
12497,r151,All agencies -> Department of Defense -> Space Force -> NAVSTAR Global Positioning System (User Equipment),All agencies,Department of Defense,Space Force,NAVSTAR Global Positioning System (User Equipment),,,4,28.0,21.0,5.0,2.0
12497,r152,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,,,4,NA,NA,NA,NA
12497,r153,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Polar,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Polar,,,4,NA,NA,NA,NA
12497,r154,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),,,4,NA,NA,NA,NA
12497,r155,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Integration,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Integration,,,4,NA,NA,NA,NA
12497,r156,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Space Mod Initiative,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Space Mod Initiative,,,4,NA,NA,NA,NA
12497,r157,All agencies -> Department of Defense -> Space Force -> Polar MILSATCOM Enhanced Polar System Recapitalization,All agencies,Department of Defense,Space Force,Polar MILSATCOM Enhanced Polar System Recapitalization,,,4,10.0,7.0,3.0,0.0
12497,r158,All agencies -> Department of Defense -> Space Force -> Protected Tactical Enterprise Service,All agencies,Department of Defense,Space Force,Protected Tactical Enterprise Service,,,4,12.0,7.0,5.0,0.0
12497,r159,All agencies -> Department of Defense -> Space Force -> Protected Tactical Service,All agencies,Department of Defense,Space Force,Protected Tactical Service,,,4,19.0,12.0,7.0,0.0
12497,r160,All agencies -> Department of Defense -> Space Force -> Rocket System Launch Program,All agencies,Department of Defense,Space Force,Rocket System Launch Program,,,4,NA,NA,NA,NA
12497,r161,All agencies -> Department of Defense -> Space Force -> Space Control Technology,All agencies,Department of Defense,Space Force,Space Control Technology,,,4,NA,NA,NA,NA
12497,r162,All agencies -> Department of Defense -> Space Force -> Space Rapid Capabilities Office,All agencies,Department of Defense,Space Force,Space Rapid Capabilities Office,,,4,63.0,63.0,0.0,0.0
12497,r163,All agencies -> Department of Defense -> Space Force -> Space Situation Awareness Systems,All agencies,Department of Defense,Space Force,Space Situation Awareness Systems,,,4,NA,NA,NA,NA
12497,r164,All agencies -> Department of Defense -> Space Force -> Space Situational Awareness Environmental Monitoring,All agencies,Department of Defense,Space Force,Space Situational Awareness Environmental Monitoring,,,4,NA,NA,NA,NA
12497,r165,All agencies -> Department of Defense -> Space Force -> Space Systems Prototype Transitions Assault Breaker II,All agencies,Department of Defense,Space Force,Space Systems Prototype Transitions Assault Breaker II,,,4,NA,NA,NA,NA
12497,r166,All agencies -> Department of Defense -> Space Force -> Space Test and Training Range Development,All agencies,Department of Defense,Space Force,Space Test and Training Range Development,,,4,NA,NA,NA,NA
12497,r167,All agencies -> Department of Defense -> Space Force -> Space Test Program,All agencies,Department of Defense,Space Force,Space Test Program,,,4,36.0,0.0,29.0,7.0
12497,r168,All agencies -> Department of Defense -> Space Force -> Weather System Follow-On,All agencies,Department of Defense,Space Force,Weather System Follow-On,,,4,NA,NA,NA,NA
12497,r169,All agencies -> Department of Energy,All agencies,Department of Energy,,,,,2,,,,
12497,r170,All agencies -> Department of Energy -> National Energy Technology Laboratory,All agencies,Department of Energy,National Energy Technology Laboratory,,,,3,149.2,129.2,0.0,20.0
12497,r171,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,,,,2,,,,
12497,r172,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,3,,,,
12497,r173,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Emerging and Zoonotic Infectious Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Emerging and Zoonotic Infectious Diseases,,,4,435.0,213.0,154.0,68.0
12497,r174,"All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,"National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",,,4,113.1,39.6,54.5,19.0
12497,r175,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Immunization and Respiratory Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Immunization and Respiratory Diseases,,,4,139.0,42.0,86.0,11.0
12497,r176,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center on Birth Defects and Developmental Disabilities,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center on Birth Defects and Developmental Disabilities,,,4,7.9,6.0,0.3,1.6
12497,r177,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Institute for Occupational Safety and Health,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Institute for Occupational Safety and Health,,,4,359.6,232.8,101.6,25.2
12497,r178,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,,,,3,,,,
12497,r179,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Biologics Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Biologics Evaluation and Research,,,4,175.2,136.0,23.6,15.6
12497,r180,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Devices and Radiological Health,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Devices and Radiological Health,,,4,160.0,130.0,0.0,30.0
12497,r181,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Drug Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Drug Evaluation and Research,,,4,246.2,209.2,20.6,16.4
12497,r182,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Food Safety and Applied Nutrition,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Food Safety and Applied Nutrition,,,4,210.0,170.0,30.0,10.0
12497,r183,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Tobacco Products,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Tobacco Products,,,4,NA,NA,NA,NA
12497,r184,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Veterinary Medicine,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Veterinary Medicine,,,4,48.0,43.1,0.0,4.9
12497,r185,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> National Center for Toxicological Research,All agencies,Department of Health and Human Services,Food and Drug Administration,National Center for Toxicological Research,,,4,243.0,149.0,60.0,34.0
12497,r186,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Office of Regulatory Affairs,All agencies,Department of Health and Human Services,Food and Drug Administration,Office of Regulatory Affairs,,,4,60.0,60.0,0.0,0.0
12497,r187,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Oncology Center of Excellence,All agencies,Department of Health and Human Services,Food and Drug Administration,Oncology Center of Excellence,,,4,5.3,3.5,0.0,1.8
12497,r188,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,,,,3,,,,
12497,r189,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Clinical Center,All agencies,Department of Health and Human Services,National Institutes of Health,Clinical Center,,,4,1815.6,29.6,1677.2,108.8
12497,r190,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Eunice Kennedy Shriver National Institute of Child Health and Human Development,All agencies,Department of Health and Human Services,National Institutes of Health,Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,4,277.0,72.0,143.0,62.0
12497,r191,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Cancer Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Cancer Institute,,,4,NA,NA,NA,NA
12497,r192,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Advancing Translational Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Advancing Translational Sciences,,,4,95.0,33.0,59.0,3.0
12497,r193,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Complementary and Integrative Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Complementary and Integrative Health,,,4,12.0,6.0,4.0,2.0
12497,r194,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Eye Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Eye Institute,,,4,177.9,69.5,99.1,9.3
12497,r195,"All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Heart, Lung, and Blood Institute",All agencies,Department of Health and Human Services,National Institutes of Health,"National Heart, Lung, and Blood Institute",,,4,452.0,452.0,0.0,0.0
12497,r196,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Human Genome Research Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Human Genome Research Institute,,,4,254.0,43.0,181.0,30.0
12497,r197,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Allergy and Infectious Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Allergy and Infectious Diseases,,,4,871.0,388.0,388.0,95.0
12497,r198,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,,4,122.0,77.9,20.1,24.0
12497,r199,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Biomedical Imaging and Bioengineering,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,,,4,NA,NA,NA,NA
12497,r200,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Dental and Craniofacial Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Dental and Craniofacial Research,,,4,115.0,75.0,15.0,25.0
12497,r201,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Diabetes and Digestive and Kidney Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases,,,4,502.0,278.0,139.0,85.0
12497,r202,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Environmental Health Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Environmental Health Sciences,,,4,410.7,184.3,149.9,76.5
12497,r203,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Mental Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Mental Health,,,4,12.1,3.7,6.9,1.5
12497,r204,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Neurological Disorders and Stroke,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Neurological Disorders and Stroke,,,4,312.0,92.0,147.0,73.0
12497,r205,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Nursing Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Nursing Research,,,4,22.0,3.0,0.0,19.0
12497,r206,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Aging,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Aging,,,4,9.3,9.3,0.0,0.0
12497,r207,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Alcohol Abuse and Alcoholism,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,,,4,84.0,49.0,25.0,10.0
12497,r208,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Deafness and Other Communication Disorders,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,,,4,58.4,31.6,11.3,15.5
12497,r209,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Drug Abuse,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Drug Abuse,,,4,123.0,27.0,65.0,31.0
12497,r210,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Minority Health and Health Disparities,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Minority Health and Health Disparities,,,4,13.0,12.0,0.0,1.0
12497,r211,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Library of Medicine,All agencies,Department of Health and Human Services,National Institutes of Health,National Library of Medicine,,,4,63.0,63.0,0.0,0.0
12497,r212,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,,,,2,,,,
12497,r213,All agencies -> Department of Homeland Security -> Coast Guard,All agencies,Department of Homeland Security,Coast Guard,,,,3,,,,
12497,r214,"All agencies -> Department of Homeland Security -> Coast Guard -> Acquisition Directorate, Research and Development Center",All agencies,Department of Homeland Security,Coast Guard,"Acquisition Directorate, Research and Development Center",,,4,82.0,64.0,2.0,16.0
12497,r215,All agencies -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,,,3,NA,NA,NA,NA
12497,r216,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,,,,3,,,,
12497,r217,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,,,4,,,,
12497,r218,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Chemical Security Analysis Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Chemical Security Analysis Center,,5,NA,NA,NA,NA
12497,r219,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> National Urban Security Technology Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,National Urban Security Technology Laboratory,,5,NA,NA,NA,NA
12497,r220,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Plum Island Animal Disease Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Plum Island Animal Disease Center,,5,NA,NA,NA,NA
12497,r221,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Transportation Security Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Transportation Security Laboratory,,5,NA,NA,NA,NA
12497,r222,All agencies -> Department of the Interior,All agencies,Department of the Interior,,,,,2,,,,
12497,r223,All agencies -> Department of the Interior -> Bureau of Land Management,All agencies,Department of the Interior,Bureau of Land Management,,,,3,0.4,0.3,0.1,0.0
12497,r224,All agencies -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Department of the Interior,Bureau of Ocean Energy Management,,,,3,212.4,212.4,0.0,0.0
12497,r225,All agencies -> Department of the Interior -> Bureau of Reclamation,All agencies,Department of the Interior,Bureau of Reclamation,,,,3,156.0,102.0,36.0,18.0
12497,r226,All agencies -> Department of the Interior -> Fish and Wildlife Service,All agencies,Department of the Interior,Fish and Wildlife Service,,,,3,NA,NA,NA,NA
12497,r227,All agencies -> Department of the Interior -> Geological Survey,All agencies,Department of the Interior,Geological Survey,,,,3,,,,
12497,r228,All agencies -> Department of the Interior -> Geological Survey -> Core Science Systems Mission Area,All agencies,Department of the Interior,Geological Survey,Core Science Systems Mission Area,,,4,517.0,409.0,14.0,94.0
12497,r229,All agencies -> Department of the Interior -> Geological Survey -> Ecosystems Mission Area,All agencies,Department of the Interior,Geological Survey,Ecosystems Mission Area,,,4,1813.0,1231.0,249.0,333.0
12497,r230,All agencies -> Department of the Interior -> Geological Survey -> Energy and Minerals Mission Area,All agencies,Department of the Interior,Geological Survey,Energy and Minerals Mission Area,,,4,416.0,332.0,10.0,74.0
12497,r231,All agencies -> Department of the Interior -> Geological Survey -> Natural Hazards Mission Area,All agencies,Department of the Interior,Geological Survey,Natural Hazards Mission Area,,,4,746.0,542.0,35.0,169.0
12497,r232,All agencies -> Department of the Interior -> Geological Survey -> Water Resources Mission Area,All agencies,Department of the Interior,Geological Survey,Water Resources Mission Area,,,4,2491.0,1377.0,38.0,1076.0
12497,r233,All agencies -> Department of the Interior -> National Park Service,All agencies,Department of the Interior,National Park Service,,,,3,55.0,13.0,42.0,0.0
12497,r234,All agencies -> Department of Transportation,All agencies,Department of Transportation,,,,,2,,,,
12497,r235,All agencies -> Department of Transportation -> Federal Aviation Administration,All agencies,Department of Transportation,Federal Aviation Administration,,,,3,,,,
12497,r236,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of Aerospace Medicine,All agencies,Department of Transportation,Federal Aviation Administration,Office of Aerospace Medicine,,,4,73.0,44.0,18.0,11.0
12497,r237,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of NextGen,All agencies,Department of Transportation,Federal Aviation Administration,Office of NextGen,,,4,200.0,150.0,30.0,20.0
12497,r238,All agencies -> Department of Transportation -> Federal Highway Administration,All agencies,Department of Transportation,Federal Highway Administration,,,,3,,,,
12497,r239,All agencies -> Department of Transportation -> Federal Highway Administration -> Intelligence Transportation Systems Joint Program Office,All agencies,Department of Transportation,Federal Highway Administration,Intelligence Transportation Systems Joint Program Office,,,4,NA,NA,NA,NA
12497,r240,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Administrations,All agencies,Department of Transportation,Federal Highway Administration,Office of Administrations,,,4,NA,NA,NA,NA
12497,r241,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Operations,All agencies,Department of Transportation,Federal Highway Administration,Office of Operations,,,4,NA,NA,NA,NA
12497,r242,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Planning,All agencies,Department of Transportation,Federal Highway Administration,Office of Planning,,,4,NA,NA,NA,NA
12497,r243,"All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Research, Development, and Technology",All agencies,Department of Transportation,Federal Highway Administration,"Office of Research, Development, and Technology",,,4,NA,NA,NA,NA
12497,r244,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Department of Transportation,National Highway Traffic Safety Administration,,,,3,,,,
12497,r245,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,,,4,,,,
12497,r246,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research -> Vehicle Research and Test Center,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,Vehicle Research and Test Center,,5,22.0,22.0,0.0,0.0
12497,r247,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,,,,3,,,,
12497,r248,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology -> John A. Volpe National Transportation Systems Center,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,John A. Volpe National Transportation Systems Center,,,4,NA,NA,NA,NA
12497,r249,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,,,,,2,,,,
12497,r250,All agencies -> Department of Veterans Affairs -> Office of Research and Development Central Office,All agencies,Department of Veterans Affairs,Office of Research and Development Central Office,,,,3,126.0,0.0,0.0,126.0
12497,r251,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,,,,3,,,,
12497,r252,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Bedford Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Bedford Health Care System,,,4,NA,NA,NA,NA
12497,r253,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Boston Health Care System, Jamaica Plain Campus",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Boston Health Care System, Jamaica Plain Campus",,,4,NA,NA,NA,NA
