table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71
10328,r090,Department -> Department of Defense -> Department of the Navy -> Special Foreign Currency Program,Department,Department of Defense,Department of the Navy,Special Foreign Currency Program,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r091,"Department -> Department of Defense -> Health Affairs, Assistant Secretary of Defense for",Department,Department of Defense,"Health Affairs, Assistant Secretary of Defense for",,3,N,N,N,N,N,N,N,N,N,N,N,N,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r092,"Department -> Department of Defense -> Operational Test and Evaluation, Director",Department,Department of Defense,"Operational Test and Evaluation, Director",,3,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r093,Department -> Department of Defense -> Space Force,Department,Department of Defense,Space Force,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X
10328,r094,"Department -> Department of Defense -> Test and Evaluation, Deputy Under Secretary of Defense",Department,Department of Defense,"Test and Evaluation, Deputy Under Secretary of Defense",,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r095,Department -> Department of Education,Department,Department of Education,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r096,Department -> Department of Energy,Department,Department of Energy,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r097,Department -> Department of Energy -> Advanced Research Projects Agency-Energy (formerly Energy Transformation Acceleration Fund),Department,Department of Energy,Advanced Research Projects Agency-Energy (formerly Energy Transformation Acceleration Fund),,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r098,Department -> Department of Energy -> Bonneville Power Administration,Department,Department of Energy,Bonneville Power Administration,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O
10328,r099,Department -> Department of Energy -> Civilian Radioactive Waste Management,Department,Department of Energy,Civilian Radioactive Waste Management,,3,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,T,T
10328,r100,Department -> Department of Energy -> Electricity Delivery and Energy Reliability,Department,Department of Energy,Electricity Delivery and Energy Reliability,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r101,Department -> Department of Energy -> Energy Efficiency and Renewable Energy,Department,Department of Energy,Energy Efficiency and Renewable Energy,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r102,Department -> Department of Energy -> Environmental Management,Department,Department of Energy,Environmental Management,,3,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r103,Department -> Department of Energy -> Fossil Energy,Department,Department of Energy,Fossil Energy,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r104,Department -> Department of Energy -> National Nuclear Security Administration,Department,Department of Energy,National Nuclear Security Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r105,Department -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,Department,Department of Energy,National Nuclear Security Administration,Defense Programs,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r106,Department -> Department of Energy -> National Nuclear Security Administration -> Fissile Materials Disposition,Department,Department of Energy,National Nuclear Security Administration,Fissile Materials Disposition,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r107,Department -> Department of Energy -> National Nuclear Security Administration -> Naval Reactors,Department,Department of Energy,National Nuclear Security Administration,Naval Reactors,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r108,Department -> Department of Energy -> National Nuclear Security Administration -> Nuclear Nonproliferation,Department,Department of Energy,National Nuclear Security Administration,Nuclear Nonproliferation,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r109,Department -> Department of Energy -> Nuclear Energy,Department,Department of Energy,Nuclear Energy,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r110,"Department -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",Department,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X
10328,r111,Department -> Department of Energy -> Office of Intelligence,Department,Department of Energy,Office of Intelligence,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r112,Department -> Department of Energy -> Office of Science,Department,Department of Energy,Office of Science,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r113,Department -> Department of Health and Human Services,Department,Department of Health and Human Services,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r114,Department -> Department of Health and Human Services -> Administration for Children and Families,Department,Department of Health and Human Services,Administration for Children and Families,,3,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r115,Department -> Department of Health and Human Services -> Administration for Community Living,Department,Department of Health and Human Services,Administration for Community Living,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,X,X,X,X,X,X,X
10328,r116,Department -> Department of Health and Human Services -> Administration on Aging,Department,Department of Health and Human Services,Administration on Aging,,3,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,T,T,T,T,T,T,T
10328,r117,Department -> Department of Health and Human Services -> Agency for Healthcare Research and Quality (formerly Agency for Health Care Policy and Research),Department,Department of Health and Human Services,Agency for Healthcare Research and Quality (formerly Agency for Health Care Policy and Research),,3,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r118,Department -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,Department,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,3,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r119,"Department -> Department of Health and Human Services -> Alcohol, Drug Abuse, and Mental Health Administration",Department,Department of Health and Human Services,"Alcohol, Drug Abuse, and Mental Health Administration",,3,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r120,Department -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,Department,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X
10328,r121,Department -> Department of Health and Human Services -> Centers for Disease Control and Prevention,Department,Department of Health and Human Services,Centers for Disease Control and Prevention,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r122,Department -> Department of Health and Human Services -> Centers for Medicare & Medicaid Services (formerly Health Care Financing Administration),Department,Department of Health and Human Services,Centers for Medicare & Medicaid Services (formerly Health Care Financing Administration),,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r123,Department -> Department of Health and Human Services -> Food and Drug Administration,Department,Department of Health and Human Services,Food and Drug Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r124,Department -> Department of Health and Human Services -> Health Resources Administration,Department,Department of Health and Human Services,Health Resources Administration,,3,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r125,Department -> Department of Health and Human Services -> Health Resources and Services Administration,Department,Department of Health and Human Services,Health Resources and Services Administration,,3,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r126,Department -> Department of Health and Human Services -> Health Services Administration,Department,Department of Health and Human Services,Health Services Administration,,3,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r127,Department -> Department of Health and Human Services -> Human Development Services,Department,Department of Health and Human Services,Human Development Services,,3,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r128,Department -> Department of Health and Human Services -> National Institutes of Health,Department,Department of Health and Human Services,National Institutes of Health,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r129,Department -> Department of Health and Human Services -> Office of the Assistant Secretary for Health,Department,Department of Health and Human Services,Office of the Assistant Secretary for Health,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r130,Department -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,Department,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r131,Department -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,Department,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r132,Department -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Health (formerly Office of Public Health and Science),Department,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Health (formerly Office of Public Health and Science),4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r133,Department -> Department of Health and Human Services -> Social Security Administration,Department,Department of Health and Human Services,Social Security Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r134,Department -> Department of Health and Human Services -> Substance Abuse and Mental Health Services Administration,Department,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,O,O,T,T,T,T,T,T,T,T,T,T,T,T
10328,r135,Department -> Department of Homeland Security,Department,Department of Homeland Security,,,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,Z,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X
10328,r136,Department -> Department of Homeland Security -> Coast Guard,Department,Department of Homeland Security,Coast Guard,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r137,Department -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,Department,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X
10328,r138,Department -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,Department,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X
10328,r139,Department -> Department of Homeland Security -> Science and Technology Directorate,Department,Department of Homeland Security,Science and Technology Directorate,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Z,Z,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r140,Department -> Department of Homeland Security -> Secret Service,Department,Department of Homeland Security,Secret Service,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,X,X,X,X
10328,r141,Department -> Department of Homeland Security -> Transportation Security Administration,Department,Department of Homeland Security,Transportation Security Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Z,X,X,X,X,O,O,T,T,T,T,T,T,T,T,X,X,X,X
10328,r142,Department -> Department of Housing and Urban Development,Department,Department of Housing and Urban Development,,,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
10328,r143,Department -> Department of the Interior,Department,Department of the Interior,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X
10328,r144,Department -> Department of the Interior -> Bonneville Power Administration,Department,Department of the Interior,Bonneville Power Administration,,3,O,O,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r145,Department -> Department of the Interior -> Bureau of Indian Affairs,Department,Department of the Interior,Bureau of Indian Affairs,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X
10328,r146,Department -> Department of the Interior -> Bureau of Land Management,Department,Department of the Interior,Bureau of Land Management,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,X,X,X,X,X,X,X
10328,r147,Department -> Department of the Interior -> Bureau of Mines,Department,Department of the Interior,Bureau of Mines,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r148,Department -> Department of the Interior -> Bureau of Ocean Energy Management,Department,Department of the Interior,Bureau of Ocean Energy Management,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X
10328,r149,"Department -> Department of the Interior -> Bureau of Ocean Energy Management, Regulation, and Enforcement (formerly Minerals Management Service)",Department,Department of the Interior,"Bureau of Ocean Energy Management, Regulation, and Enforcement (formerly Minerals Management Service)",,3,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N
10328,r150,Department -> Department of the Interior -> Bureau of Reclamation,Department,Department of the Interior,Bureau of Reclamation,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r151,Department -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,Department,Department of the Interior,Bureau of Safety and Environmental Enforcement,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X
10328,r152,Department -> Department of the Interior -> Federal Water Pollution Control Administration,Department,Department of the Interior,Federal Water Pollution Control Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r153,Department -> Department of the Interior -> Fish and Wildlife Service,Department,Department of the Interior,Fish and Wildlife Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,X,X,X,X,X,X,X
10328,r154,Department -> Department of the Interior -> Fish and Wildlife Service -> Bureau of Commercial Fisheries,Department,Department of the Interior,Fish and Wildlife Service,Bureau of Commercial Fisheries,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r155,Department -> Department of the Interior -> Fish and Wildlife Service -> Bureau of Sport Fisheries and Wildlife,Department,Department of the Interior,Fish and Wildlife Service,Bureau of Sport Fisheries and Wildlife,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r156,Department -> Department of the Interior -> Geological Survey,Department,Department of the Interior,Geological Survey,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r157,Department -> Department of the Interior -> Heritage Conservation and Recreation Service,Department,Department of the Interior,Heritage Conservation and Recreation Service,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r158,Department -> Department of the Interior -> National Biological Service,Department,Department of the Interior,National Biological Service,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r159,Department -> Department of the Interior -> National Park Service,Department,Department of the Interior,National Park Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r160,Department -> Department of the Interior -> Office of Coal Research,Department,Department of the Interior,Office of Coal Research,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r161,Department -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,Department,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,X,X,X,X
10328,r162,Department -> Department of the Interior -> Office of the Secretary of the Interior,Department,Department of the Interior,Office of the Secretary of the Interior,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r163,Department -> Department of the Interior -> Office of Water Research and Technology,Department,Department of the Interior,Office of Water Research and Technology,,3,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r164,Department -> Department of the Interior -> Office of Water Research and Technology -> Office of Saline Water,Department,Department of the Interior,Office of Water Research and Technology,Office of Saline Water,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r165,Department -> Department of the Interior -> Office of Water Research and Technology -> Office of Water Resources Research,Department,Department of the Interior,Office of Water Research and Technology,Office of Water Resources Research,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r166,Department -> Department of Justice,Department,Department of Justice,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r167,Department -> Department of Justice -> Bureau of Prisons,Department,Department of Justice,Bureau of Prisons,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r168,Department -> Department of Justice -> Drug Enforcement Administration,Department,Department of Justice,Drug Enforcement Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r169,Department -> Department of Justice -> Federal Bureau of Investigation,Department,Department of Justice,Federal Bureau of Investigation,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r170,Department -> Department of Justice -> Immigration and Naturalization Service,Department,Department of Justice,Immigration and Naturalization Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r171,Department -> Department of Justice -> Office of Justice Programs,Department,Department of Justice,Office of Justice Programs,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r172,Department -> Department of Justice -> Office of Legal Policy,Department,Department of Justice,Office of Legal Policy,,3,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r173,Department -> Department of Labor,Department,Department of Labor,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r174,Department -> Department of Labor -> Bureau of Apprenticeship and Training,Department,Department of Labor,Bureau of Apprenticeship and Training,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r175,Department -> Department of Labor -> Bureau of Employment Security,Department,Department of Labor,Bureau of Employment Security,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r176,Department -> Department of Labor -> Bureau of Labor Statistics,Department,Department of Labor,Bureau of Labor Statistics,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T
10328,r177,Department -> Department of Labor -> Employee Benefits Security Administration,Department,Department of Labor,Employee Benefits Security Administration,,3,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r178,Department -> Department of Labor -> Employment and Training Administration,Department,Department of Labor,Employment and Training Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T
10328,r179,Department -> Department of Labor -> Employment Standards Administration,Department,Department of Labor,Employment Standards Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r180,Department -> Department of Labor -> Labor-Management Relations and Cooperative Programs,Department,Department of Labor,Labor-Management Relations and Cooperative Programs,,3,N,N,N,N,N,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r181,Department -> Department of Labor -> Labor-Management Services Administration,Department,Department of Labor,Labor-Management Services Administration,,3,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
