table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10160,r180,Hawaii,Hawaii,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r181,Hawaii -> Public,Hawaii,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r182,"Hawaii -> Public -> U. Hawaii, Hilo",Hawaii,Public,"U. Hawaii, Hilo",3,"['14,857', '']","['9,934', '']","['22,003', '']","['16,009', '']","['9,323', '']","['14,495', '']","['11,287', '']","['7,008', '']","['7,133', '']","['6,864', '']","['6,992', '']","['7,411', '']","['8,001', '']"
10160,r183,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['303,085', '']","['318,316', '']","['312,311', '']","['326,750', '']","['324,342', '']","['316,497', '']","['304,476', '']","['292,021', '']","['276,388', '']","['280,416', '']","['275,929', '']","['271,768', '']","['277,323', '']"
10160,r184,"Hawaii -> Public -> U. Hawaii, system office",Hawaii,Public,"U. Hawaii, system office",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['12,340', '']","['12,159', '']","['13,568', '']","['12,918', '']","['12,646', '']"
10160,r185,Hawaii -> Private,Hawaii,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r186,Hawaii -> Private -> Hawaii Pacific U.,Hawaii,Private,Hawaii Pacific U.,3,"['ne', '']","['1,436', '']","['1,390', '']","['1,043', '']","['1,524', '']","['1,241', '']","['2,371', '']","['2,175', '']","['2,114', '']","['1,980', '']","['1,796', '']","['1,849', '']","['3,302', '']"
10160,r187,Idaho,Idaho,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r188,Idaho -> Public,Idaho,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r189,Idaho -> Public -> Boise State U.,Idaho,Public,Boise State U.,3,"['18,731', '']","['24,204', '']","['27,920', '']","['25,690', '']","['26,568', '']","['31,341', '']","['32,085', '']","['34,992', '']","['41,382', '']","['39,824', '']","['43,307', '']","['46,065', '']","['47,617', '']"
10160,r190,Idaho -> Public -> Idaho State U.,Idaho,Public,Idaho State U.,3,"['20,495', '']","['21,450', '']","['21,179', '']","['22,147', '']","['20,610', '']","['17,866', '']","['20,447', '']","['18,564', '']","['18,081', '']","['14,972', '']","['14,478', '']","['13,953', '']","['16,615', '']"
10160,r191,Idaho -> Public -> U. Idaho,Idaho,Public,U. Idaho,3,"['87,207', '']","['96,229', '']","['97,227', '']","['95,891', '']","['95,594', '']","['97,493', '']","['102,457', '']","['109,537', '']","['111,590', '']","['113,107', '']","['112,810', '']","['105,895', '']","['115,603', '']"
10160,r192,Illinois,Illinois,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r193,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r194,Illinois -> Public -> Chicago State U.,Illinois,Public,Chicago State U.,3,"['1,598', '']","['2,014', '']","['565', '']","['ne', '']","['ne', '']","['ne', '']","['910', '']","['ne', '']","['1,154', '']","['898', '']","['ne', '']","['ne', '']","['3,701', '']"
10160,r195,Illinois -> Public -> Illinois State U.,Illinois,Public,Illinois State U.,3,"['18,417', '']","['17,833', '']","['17,760', '']","['17,589', '']","['19,159', '']","['18,742', '']","['20,408', '']","['20,080', '']","['21,055', '']","['27,082', '']","['31,539', '']","['24,152', '']","['25,510', '']"
10160,r196,Illinois -> Public -> Northeastern Illinois U.,Illinois,Public,Northeastern Illinois U.,3,"['711', '']","['533', '']","['ne', '']","['ne', '']","['703', '']","['ne', '']","['ne', '']","['1,403', '']","['2,442', '']","['2,478', '']","['2,018', '']","['1,913', '']","['2,224', '']"
10160,r197,Illinois -> Public -> Northern Illinois U.,Illinois,Public,Northern Illinois U.,3,"['27,036', '']","['21,748', '']","['21,823', '']","['23,027', '']","['16,427', '']","['17,722', '']","['21,225', '']","['19,150', '']","['23,280', '']","['26,570', '']","['25,420', '']","['25,261', '']","['27,068', '']"
10160,r198,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['69,924', '']","['71,130', '']","['71,097', '']","['70,854', '']","['65,256', '']","['57,509', '']","['53,172', '']","['48,416', '']","['49,636', '']","['41,729', '']","['41,617', '']","['47,210', '']","['46,967', '']"
10160,r199,"Illinois -> Public -> Southern Illinois U., Edwardsville",Illinois,Public,"Southern Illinois U., Edwardsville",3,"['31,781', '']","['33,736', '']","['26,992', '']","['25,807', '']","['18,915', '']","['19,051', '']","['18,780', '']","['17,393', '']","['18,420', '']","['18,088', '']","['18,273', '']","['18,044', '']","['19,152', '']"
10160,r200,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['362,939', '']","['380,828', '']","['388,625', '']","['367,848', '']","['347,888', '']","['354,560', '']","['337,296', '']","['372,619', '']","['361,690', '']","['382,949', '']","['412,147', '']","['429,585', '']","['440,573', '']"
10160,r201,"Illinois -> Public -> U. Illinois, Springfield",Illinois,Public,"U. Illinois, Springfield",3,"['2,096', '']","['2,002', '']","['2,370', '']","['2,276', '']","['1,916', '']","['2,070', '']","['1,683', '']","['2,900', '']","['2,164', '']","['1,876', '']","['3,406', '']","['2,612', '']","['2,881', '']"
10160,r202,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['515,133', '']","['545,669', '']","['583,754', '']","['743,487', '']","['621,733', '']","['639,817', '']","['625,180', '']","['642,084', '']","['652,709', '']","['677,523', '']","['689,176', '']","['731,268', '']","['765,909', '']"
10160,r203,Illinois -> Public -> Western Illinois U.,Illinois,Public,Western Illinois U.,3,"['1,221', '']","['1,528', '']","['4,514', '']","['1,983', '']","['1,349', '']","['860', '']","['ne', '']","['2,006', '']","['2,466', '']","['2,373', '']","['2,461', '']","['3,532', '']","['4,311', '']"
10160,r204,Illinois -> Private,Illinois,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r205,Illinois -> Private -> DePaul U.,Illinois,Private,DePaul U.,3,"['4,889', '']","['5,798', '']","['5,706', '']","['5,524', '']","['6,415', '']","['9,479', '']","['9,558', '']","['8,561', '']","['7,079', '']","['6,144', '']","['6,557', '']","['6,675', '']","['8,362', '']"
10160,r206,Illinois -> Private -> Erikson Institute,Illinois,Private,Erikson Institute,3,"['ne', '']","['1,212', '']","['2,511', '']","['2,001', '']","['1,321', '']","['2,397', '']","['3,117', '']","['3,965', '']","['3,583', '']","['2,279', '']","['1,992', '']","['1,723', '']","['2,068', '']"
10160,r207,Illinois -> Private -> Illinois Institute of Technology,Illinois,Private,Illinois Institute of Technology,3,"['36,554', '']","['44,463', '']","['32,576', '']","['36,722', '']","['31,356', '']","['34,336', '']","['29,826', '']","['32,659', '']","['33,280', '']","['34,334', '']","['29,122', '']","['29,698', '']","['29,791', '']"
10160,r208,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['43,903', '']","['42,708', '']","['45,903', '']","['51,676', '']","['50,774', '']","['48,664', '']","['42,672', '']","['39,738', '']","['39,332', '']","['39,223', '']","['39,365', '']","['44,036', '']","['46,169', '']"
10160,r209,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['3,626', '']","['4,022', '']","['5,200', '']","['6,292', '']","['7,310', '']","['8,560', '']","['7,732', '']","['9,207', '']","['10,173', '']","['10,343', '']","['10,479', '']","['10,961', '']","['11,069', '']"
10160,r210,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['575,078', '']","['618,980', '']","['631,078', '']","['639,781', '']","['645,333', '']","['656,167', '']","['713,491', '']","['751,809', '']","['805,672', '']","['857,069', '']","['874,671', '']","['913,178', '']","['1,000,695', '']"
10160,r211,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['12,426', '']","['14,261', '']","['15,587', '']","['17,401', '']","['17,794', '']","['16,604', '']","['16,760', '']","['17,006', '']","['16,765', '']","['16,126', '']","['14,601', '']","['13,805', '']","['12,988', '']"
10160,r212,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['73,398', '']","['79,212', '']","['80,300', '']","['81,770', '']","['80,551', '']","['79,048', '']","['73,351', '']","['74,062', '']","['89,101', '']","['96,267', '']","['94,438', '']","['107,398', '']","['114,874', '']"
10160,r213,"Illinois -> Private -> Toyota Technological Institute, Chicago",Illinois,Private,"Toyota Technological Institute, Chicago",3,"['ne', '']","['746', '']","['ne', '']","['ne', '']","['ne', '']","['2,543', '']","['2,710', '']","['2,880', '']","['3,251', '']","['3,681', '']","['5,887', '']","['4,967', '']","['4,470', '']"
10160,r214,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['437,721', '']","['453,562', '']","['419,631', '']","['402,621', '']","['390,082', '']","['412,536', '']","['420,997', '']","['433,328', '']","['423,993', '']","['459,171', '']","['458,891', '']","['497,651', '']","['591,805', '']"
10160,r215,Indiana,Indiana,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r216,Indiana -> Public,Indiana,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r217,Indiana -> Public -> Ball State U.,Indiana,Public,Ball State U.,3,"['20,477', '']","['18,765', '']","['11,740', '']","['10,357', '']","['9,209', '']","['10,548', '']","['11,763', '']","['8,797', '']","['11,163', '']","['12,145', '']","['9,429', '']","['8,826', '']","['9,932', '']"
10160,r218,Indiana -> Public -> Indiana State U.,Indiana,Public,Indiana State U.,3,"['1,541', '']","['1,980', '']","['1,857', '']","['1,238', '']","['1,436', '']","['1,541', '']","['1,763', '']","['1,284', '']","['1,323', '']","['1,682', '']","['1,471', '']","['1,042', '']","['1,354', '']"
10160,r219,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['177,520', '']","['184,096', '']","['184,486', '']","['197,897', '']","['206,039', '']","['485,076', '']","['508,766', '']","['540,421', '']","['566,907', '']","['668,157', '']","['710,850', '']","['695,258', '']","['751,309', '']"
10160,r220,"Indiana -> Public -> Indiana U.-Purdue U., Indianapolis",Indiana,Public,"Indiana U.-Purdue U., Indianapolis",3,"['296,194', '']","['322,617', '']","['316,914', '']","['332,760', '']","['324,261', '']","['55,973', '']","['57,853', '']","['58,056', '']","['60,501', '']","['67,635', '']","['70,778', '']","['65,330', '']","['64,162', '']"
10160,r221,"Indiana -> Public -> Purdue U., Fort Wayne",Indiana,Public,"Purdue U., Fort Wayne",3,"['8,523', '']","['8,864', '']","['8,570', '']","['8,128', '']","['7,882', '']","['7,052', '']","['5,952', '']","['5,254', '']","['4,945', '']","['2,416', '']","['2,264', '']","['2,495', '']","['2,134', '']"
10160,r222,"Indiana -> Public -> Purdue U., Northwest",Indiana,Public,"Purdue U., Northwest",3,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['8,924', '']","['8,062', '']","['5,272', '']","['5,839', '']","['5,647', '']","['6,387', '']"
10160,r223,"Indiana -> Public -> Purdue U., West Lafayette",Indiana,Public,"Purdue U., West Lafayette",3,"['548,980', '']","['578,231', '']","['602,501', '']","['595,739', '']","['564,923', '']","['558,611', '']","['606,302', '']","['622,813', '']","['631,574', '']","['663,927', '']","['687,144', '']","['679,482', '']","['754,627', '']"
10160,r224,Indiana -> Private,Indiana,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r225,Indiana -> Private -> Butler U.,Indiana,Private,Butler U.,3,"['ne', '']","['610', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,691', '']"
10160,r226,Indiana -> Private -> U. Notre Dame,Indiana,Private,U. Notre Dame,3,"['110,369', '']","['134,410', '']","['157,691', '']","['175,220', '']","['182,228', '']","['190,954', '']","['202,216', '']","['212,823', '']","['219,993', '']","['240,078', '']","['227,535', '']","['240,324', '']","['280,604', '']"
10160,r227,Iowa,Iowa,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r228,Iowa -> Public,Iowa,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r229,Iowa -> Public -> Iowa State U.,Iowa,Public,Iowa State U.,3,"['250,120', '']","['267,641', '']","['260,995', '']","['266,596', '']","['313,263', '']","['306,125', '']","['328,385', '']","['323,584', '']","['361,206', '']","['358,474', '']","['363,107', '']","['360,275', '']","['393,184', '']"
10160,r230,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['444,034', '']","['443,893', '']","['446,429', '']","['435,377', '']","['449,147', '']","['443,218', '']","['473,362', '']","['494,280', '']","['511,973', '']","['508,353', '']","['538,583', '']","['553,876', '']","['594,215', '']"
10160,r231,Iowa -> Public -> U. Northern Iowa,Iowa,Public,U. Northern Iowa,3,"['3,064', '']","['4,248', '']","['3,615', '']","['3,678', '']","['3,711', '']","['4,032', '']","['3,632', '']","['3,303', '']","['2,983', '']","['3,628', '']","['2,970', '']","['3,259', '']","['3,486', '']"
10160,r232,Iowa -> Private,Iowa,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r233,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['855', '']","['924', '']","['ne', '']","['ne', '']","['929', '']","['ne', '']","['1,401', '']","['1,416', '']","['1,423', '']","['1,954', '']","['5,021', '']","['5,164', 'i']","['5,307', '']"
10160,r234,Iowa -> Private -> Drake U.,Iowa,Private,Drake U.,3,"['1,033', '']","['966', '']","['ne', '']","['918', '']","['ne', '']","['ne', '']","['1,558', '']","['1,215', '']","['1,103', '']","['865', '']","['ne', '']","['1,488', '']","['1,691', '']"
10160,r235,Iowa -> Private -> Grinnell C.,Iowa,Private,Grinnell C.,3,"['2,069', '']","['1,340', '']","['2,735', '']","['4,023', '']","['3,974', '']","['3,723', '']","['4,183', '']","['4,953', '']","['5,573', '']","['5,500', '']","['5,826', '']","['4,122', '']","['5,867', '']"
10160,r236,"Iowa -> Private -> Palmer C. of Chiropractic, Davenport",Iowa,Private,"Palmer C. of Chiropractic, Davenport",3,"['4,693', '']","['4,861', '']","['4,507', '']","['3,774', '']","['2,736', 'i']","['1,698', '']","['1,510', '']","['1,836', '']","['1,600', '']","['1,650', '']","['1,900', '']","['2,233', '']","['2,050', '']"
10160,r237,Kansas,Kansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r238,Kansas -> Public,Kansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r239,Kansas -> Public -> Kansas State U.,Kansas,Public,Kansas State U.,3,"['160,679', '']","['169,167', '']","['176,141', '']","['183,096', '']","['184,945', '']","['188,721', '']","['193,254', '']","['196,478', '']","['218,299', '']","['218,622', '']","['213,900', '']","['203,846', '']","['212,974', '']"
10160,r240,Kansas -> Public -> Pittsburg State U.,Kansas,Public,Pittsburg State U.,3,"['1,759', '']","['1,687', '']","['1,479', '']","['1,536', '']","['2,475', '']","['2,210', '']","['2,162', '']","['2,255', '']","['2,253', '']","['2,513', '']","['2,173', '']","['2,730', '']","['2,884', '']"
10160,r241,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['267,961', '']","['274,727', '']","['286,262', '']","['298,498', '']","['301,534', '']","['311,383', '']","['297,933', '']","['300,319', '']","['339,046', '']","['352,643', '']","['368,811', '']","['385,637', '']","['405,267', '']"
10160,r242,Kansas -> Public -> Wichita State U.,Kansas,Public,Wichita State U.,3,"['51,524', '']","['63,538', '']","['61,279', '']","['61,388', '']","['58,859', '']","['59,940', '']","['65,930', '']","['78,514', '']","['81,137', '']","['128,795', '']","['153,816', '']","['192,042', '']","['261,519', '']"
10160,r243,Kentucky,Kentucky,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r244,Kentucky -> Public,Kentucky,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r245,Kentucky -> Public -> Kentucky State U.,Kentucky,Public,Kentucky State U.,3,"['4,912', '']","['4,562', '']","['6,859', '']","['5,605', '']","['5,694', '']","['6,017', '']","['7,178', '']","['8,151', 'i']","['9,125', '']","['8,433', '']","['7,963', '']","['8,756', '']","['9,284', '']"
10160,r246,Kentucky -> Public -> Morehead State U.,Kentucky,Public,Morehead State U.,3,"['2,145', '']","['2,018', '']","['2,174', '']","['2,631', '']","['1,892', '']","['1,838', '']","['2,399', '']","['2,860', '']","['2,434', '']","['2,028', '']","['1,883', '']","['1,754', '']","['2,880', '']"
10160,r247,Kentucky -> Public -> Murray State U.,Kentucky,Public,Murray State U.,3,"['3,396', '']","['3,718', '']","['3,345', '']","['2,192', '']","['2,080', '']","['2,371', '']","['2,124', '']","['2,459', '']","['2,872', '']","['3,710', '']","['3,019', '']","['3,844', '']","['3,371', '']"
10160,r248,Kentucky -> Public -> Northern Kentucky U.,Kentucky,Public,Northern Kentucky U.,3,"['2,316', '']","['2,397', '']","['2,201', '']","['1,810', '']","['2,052', '']","['2,026', '']","['1,846', '']","['1,649', '']","['1,653', '']","['2,363', '']","['2,693', '']","['3,403', '']","['3,888', '']"
10160,r249,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['359,944', '']","['372,932', '']","['360,776', '']","['339,764', '']","['328,239', '']","['331,705', '']","['349,661', '']","['378,374', '']","['393,034', '']","['410,581', '']","['417,674', '']","['429,241', '']","['476,517', '']"
10160,r250,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['189,090', '']","['197,438', '']","['196,842', '']","['186,772', '']","['183,376', '']","['163,262', '']","['172,907', '']","['177,588', '']","['176,655', '']","['177,862', '']","['198,818', '']","['200,362', '']","['229,582', '']"
10160,r251,Kentucky -> Public -> Western Kentucky U.,Kentucky,Public,Western Kentucky U.,3,"['9,943', '']","['8,344', '']","['10,639', '']","['9,322', '']","['8,280', '']","['7,854', '']","['8,926', '']","['10,814', '']","['9,617', '']","['9,281', '']","['8,241', '']","['6,944', '']","['7,720', '']"
10160,r252,Louisiana,Louisiana,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r253,Louisiana -> Public,Louisiana,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r254,Louisiana -> Public -> Grambling State U.,Louisiana,Public,Grambling State U.,3,"['993', '']","['2,135', '']","['2,179', '']","['1,695', '']","['1,469', '']","['1,863', '']","['1,570', '']","['5,911', '']","['2,981', '']","['2,836', '']","['2,427', '']","['2,124', '']","['2,306', 'i']"
10160,r255,"Louisiana -> Public -> Louisiana State U., Baton Rouge",Louisiana,Public,"Louisiana State U., Baton Rouge",3,"['289,872', '']","['287,841', '']","['285,395', '']","['283,400', '']","['290,076', '']","['281,154', '']","['291,972', '']","['265,168', '']","['286,726', '']","['296,497', '']","['286,733', '']","['296,673', '']","['344,556', '']"
10160,r256,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['59,776', '']","['57,007', '']","['53,712', '']","['49,443', '']","['45,486', '']","['46,840', '']","['43,067', '']","['40,785', '']","['38,989', '']","['40,914', '']","['43,419', '']","['44,370', '']","['53,995', '']"
10160,r257,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['30,817', '']","['31,021', '']","['29,365', '']","['28,266', '']","['25,004', '']","['24,069', '']","['23,353', '']","['22,560', '']","['24,463', '']","['26,262', '']","['25,321', '']","['24,600', '']","['29,502', '']"
10160,r258,Louisiana -> Public -> Louisiana Tech U.,Louisiana,Public,Louisiana Tech U.,3,"['26,020', '']","['27,583', '']","['26,546', '']","['24,949', '']","['22,942', '']","['23,827', '']","['23,104', '']","['22,741', '']","['24,655', '']","['26,143', '']","['26,585', '']","['27,417', '']","['26,591', '']"
10160,r259,Louisiana -> Public -> Northwestern State U. Louisiana,Louisiana,Public,Northwestern State U. Louisiana,3,"['1,464', '']","['1,189', '']","['1,102', '']","['1,022', '']","['792', '']","['ne', '']","['1,628', '']","['1,373', '']","['1,623', '']","['2,058', '']","['1,940', '']","['1,663', '']","['1,848', '']"
10160,r260,Louisiana -> Public -> Southeastern Louisiana U.,Louisiana,Public,Southeastern Louisiana U.,3,"['2,561', '']","['1,952', '']","['2,121', '']","['2,067', '']","['1,503', '']","['2,670', '']","['2,128', '']","['2,206', '']","['2,039', '']","['1,971', '']","['2,258', '']","['1,723', '']","['2,407', '']"
10160,r261,"Louisiana -> Public -> Southern U. and A&M C., Agricultural Research and Extension Center",Louisiana,Public,"Southern U. and A&M C., Agricultural Research and Extension Center",3,"['ne', '']","['6,143', '']","['8,122', '']","['5,530', '']","['5,606', '']","['4,761', '']","['4,704', '']","['5,000', 'i']","['5,296', '']","['5,448', '']","['4,475', '']","['6,164', '']","['7,048', '']"
10160,r262,"Louisiana -> Public -> Southern U. and A&M C., Baton Rouge",Louisiana,Public,"Southern U. and A&M C., Baton Rouge",3,"['6,865', '']","['6,819', 'i']","['6,773', '']","['4,920', '']","['4,812', '']","['4,766', '']","['4,322', '']","['4,043', '']","['4,171', '']","['4,492', '']","['3,849', '']","['4,943', '']","['4,344', '']"
10160,r263,"Louisiana -> Public -> U. Louisiana, Lafayette",Louisiana,Public,"U. Louisiana, Lafayette",3,"['69,412', '']","['69,978', '']","['65,275', '']","['61,887', '']","['67,580', '']","['77,300', '']","['80,099', '']","['100,956', '']","['124,713', '']","['144,187', '']","['164,070', '']","['181,400', '']","['205,201', '']"
10160,r264,"Louisiana -> Public -> U. Louisiana, Monroe",Louisiana,Public,"U. Louisiana, Monroe",3,"['2,884', '']","['2,812', '']","['2,469', '']","['2,781', '']","['2,267', '']","['1,672', '']","['2,441', '']","['2,297', '']","['2,123', '']","['2,364', '']","['2,362', '']","['2,198', '']","['3,128', '']"
10160,r265,Louisiana -> Public -> U. New Orleans,Louisiana,Public,U. New Orleans,3,"['35,021', '']","['35,359', '']","['28,450', '']","['24,607', '']","['20,614', '']","['18,960', '']","['15,719', '']","['15,939', '']","['14,437', '']","['15,328', '']","['16,594', '']","['16,979', '']","['21,911', '']"
10160,r266,Louisiana -> Private,Louisiana,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r267,Louisiana -> Private -> Dillard U.,Louisiana,Private,Dillard U.,3,"['8,425', '']","['7,936', 'i']","['7,448', '']","['7,741', '']","['6,939', '']","['9,387', '']","['9,566', '']","['7,095', '']","['6,573', '']","['2,772', '']","['2,523', '']","['2,528', '']","['2,270', '']"
10160,r268,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['165,513', '']","['171,703', '']","['164,373', '']","['160,414', '']","['157,825', '']","['152,658', '']","['165,438', '']","['180,993', '']","['193,294', '']","['196,933', '']","['204,430', '']","['205,206', '']","['222,605', '']"
10160,r269,Louisiana -> Private -> Xavier U. Louisiana,Louisiana,Private,Xavier U. Louisiana,3,"['8,029', '']","['9,849', '']","['10,606', '']","['8,789', '']","['9,346', '']","['9,588', '']","['12,084', '']","['12,424', '']","['11,784', '']","['10,152', '']","['11,387', '']","['12,799', '']","['14,156', '']"
10160,r270,Maine,Maine,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r271,Maine -> Public,Maine,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r272,Maine -> Public -> U. Maine,Maine,Public,U. Maine,3,"['111,282', '']","['111,600', '']","['92,135', '']","['77,583', '']","['101,247', '']","['79,500', '']","['79,222', '']","['99,502', '']","['106,694', '']","['129,913', '']","['134,183', '']","['146,801', '']","['171,931', '']"
10160,r273,Maine -> Public -> U. Southern Maine,Maine,Public,U. Southern Maine,3,"['16,358', '']","['16,938', '']","['13,915', '']","['11,725', '']","['9,408', 'i']","['7,091', 'i']","['4,773', '']","['7,147', '']","['7,414', '']","['6,654', '']","['5,635', '']","['5,480', '']","['5,498', '']"
10160,r274,Maine -> Private,Maine,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r275,Maine -> Private -> Bates C.,Maine,Private,Bates C.,3,"['1,590', '']","['1,897', '']","['2,070', '']","['2,514', '']","['1,584', '']","['2,791', '']","['1,781', '']","['1,853', '']","['1,635', '']","['2,135', '']","['2,303', '']","['2,620', '']","['2,468', '']"
10160,r276,Maine -> Private -> Bowdoin C.,Maine,Private,Bowdoin C.,3,"['2,627', '']","['2,877', '']","['4,732', '']","['4,292', '']","['3,126', '']","['2,991', '']","['3,204', '']","['2,340', '']","['2,724', '']","['2,991', '']","['2,719', '']","['2,417', '']","['2,648', '']"
10160,r277,Maine -> Private -> Colby C.,Maine,Private,Colby C.,3,"['1,782', '']","['1,772', '']","['1,996', '']","['1,822', '']","['1,673', '']","['1,748', '']","['1,903', '']","['2,071', '']","['2,240', '']","['1,852', '']","['1,536', '']","['1,672', '']","['2,530', '']"
10160,r278,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['3,560', '']","['4,016', '']","['5,224', '']","['6,637', '']","['7,650', '']","['7,498', '']","['7,566', '']","['8,064', '']","['6,700', '']","['7,346', '']","['6,886', '']","['6,234', '']","['6,664', '']"
10160,r279,Maryland,Maryland,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
