table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
3658,r076_9,,SED field of study information,Start year,,2,1958
3658,r076_10,,SED field of study information,End year,,2,Present
3658,r077_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1710
3658,r077_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biological and biomedical sciences, other"
3658,r077_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,107
3658,r077_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biotechnology
3658,r077_9,,SED field of study information,Start year,,2,1993
3658,r077_10,,SED field of study information,End year,,2,Present
3658,r078_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,199
3658,r078_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Biology/ biomedical sciences, other"
3658,r078_9,,SED field of study information,Start year,,2,1958
3658,r078_10,,SED field of study information,End year,,2,Present
3658,r079_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,2
3658,r079_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Computer and information sciences
3658,r079_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,21
3658,r079_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Computer and information sciences
3658,r079_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2101
3658,r079_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Computer science
3658,r079_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,400
3658,r079_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computer science
3658,r079_9,,SED field of study information,Start year,,2,1973
3658,r079_10,,SED field of study information,End year,,2,Present
3658,r080_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2102
3658,r080_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Information science, studies"
3658,r080_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,410
3658,r080_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Information science/ systems
3658,r080_9,,SED field of study information,Start year,,2,1983
3658,r080_10,,SED field of study information,End year,,2,Present
3658,r081_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2103
3658,r081_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Computer and information sciences, other"
3658,r081_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,418
3658,r081_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Computer and information sciences, general"
3658,r081_9,,SED field of study information,Start year,,2,2014
3658,r081_10,,SED field of study information,End year,,2,Present
3658,r082_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,419
3658,r082_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Computer/ information sciences, other"
3658,r082_9,,SED field of study information,Start year,,2,1999
3658,r082_10,,SED field of study information,End year,,2,Present
3658,r083_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,3
3658,r083_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Mathematics and statistics
3658,r083_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,31
3658,r083_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Mathematics and statistics
3658,r083_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3101
3658,r083_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Applied mathematics
3658,r083_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,420
3658,r083_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied mathematics
3658,r083_9,,SED field of study information,Start year,,2,1958
3658,r083_10,,SED field of study information,End year,,2,Present
3658,r084_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3102
3658,r084_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Mathematics
3658,r084_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,425
3658,r084_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Algebra
3658,r084_9,,SED field of study information,Start year,,2,1958
3658,r084_10,,SED field of study information,End year,,2,Present
3658,r085_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,430
3658,r085_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Analysis and functional analysis
3658,r085_9,,SED field of study information,Start year,,2,1958
3658,r085_10,,SED field of study information,End year,,2,Present
3658,r086_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,435
3658,r086_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geometry/ geometric analysis
3658,r086_9,,SED field of study information,Start year,,2,1958
3658,r086_10,,SED field of study information,End year,,2,Present
3658,r087_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,440
3658,r087_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Logic
3658,r087_9,,SED field of study information,Start year,,2,1958
3658,r087_10,,SED field of study information,End year,,2,Present
3658,r088_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,445
3658,r088_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Number theory
3658,r088_9,,SED field of study information,Start year,,2,1958
3658,r088_10,,SED field of study information,End year,,2,Present
3658,r089_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,455
3658,r089_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Topology/ foundations
3658,r089_9,,SED field of study information,Start year,,2,1958
3658,r089_10,,SED field of study information,End year,,2,Present
3658,r090_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,460
3658,r090_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computing theory and practice
3658,r090_9,,SED field of study information,Start year,,2,1960
3658,r090_10,,SED field of study information,End year,,2,Present
3658,r091_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,498
3658,r091_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Mathematics/ statistics, general"
3658,r091_9,,SED field of study information,Start year,,2,1958
3658,r091_10,,SED field of study information,End year,,2,Present
3658,r092_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3103
3658,r092_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Statistics
3658,r092_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,450
3658,r092_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Statistics
3658,r092_9,,SED field of study information,Start year,,2,1958
3658,r092_10,,SED field of study information,End year,,2,Present
3658,r093_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3104
3658,r093_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Mathematics and statistics, other"
3658,r093_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,465
3658,r093_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Operations research (mathematics)
3658,r093_9,,SED field of study information,Start year,,2,1973
3658,r093_10,,SED field of study information,End year,,2,Present
3658,r094_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,499
3658,r094_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Mathematics/ statistics, other"
3658,r094_9,,SED field of study information,Start year,,2,1958
3658,r094_10,,SED field of study information,End year,,2,Present
3658,r095_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,930
3658,r095_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Operations research (business management/  administration)
3658,r095_9,,SED field of study information,Start year,,2,1983
3658,r095_10,,SED field of study information,End year,,2,Present
3658,r096_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,4
3658,r096_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,"Physical sciences, geosciences, atmospheric, and ocean sciences"
3658,r096_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,41
3658,r096_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Astronomy and astrophysics
3658,r096_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4101
3658,r096_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Astronomy and astrophysics
3658,r096_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,500
3658,r096_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astronomy
3658,r096_9,,SED field of study information,Start year,,2,1969
3658,r096_10,,SED field of study information,End year,,2,Present
3658,r097_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,505
3658,r097_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astrophysics
3658,r097_9,,SED field of study information,Start year,,2,1969
3658,r097_10,,SED field of study information,End year,,2,Present
3658,r098_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,506
3658,r098_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astronomy and astrophysics
3658,r098_9,,SED field of study information,Start year,,2,1958
3658,r098_10,,SED field of study information,End year,,2,1969
3658,r099_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,509
3658,r099_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Astronomy, other"
3658,r099_9,,SED field of study information,Start year,,2,2010
3658,r099_10,,SED field of study information,End year,,2,Present
3658,r100_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,42
3658,r100_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Chemistry, except biochemistry"
3658,r100_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4201
3658,r100_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Inorganic chemistry
3658,r100_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,522
3658,r100_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Inorganic chemistry
3658,r100_9,,SED field of study information,Start year,,2,1958
3658,r100_10,,SED field of study information,End year,,2,Present
3658,r101_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4202
3658,r101_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Organic chemistry
3658,r101_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,526
3658,r101_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Organic chemistry
3658,r101_9,,SED field of study information,Start year,,2,1958
3658,r101_10,,SED field of study information,End year,,2,Present
3658,r102_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4203
3658,r102_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Chemistry, other, except biochemistry"
3658,r102_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,520
3658,r102_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Analytical chemistry
3658,r102_9,,SED field of study information,Start year,,2,1958
3658,r102_10,,SED field of study information,End year,,2,Present
3658,r103_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,521
3658,r103_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural/ food
3658,r103_9,,SED field of study information,Start year,,2,1958
3658,r103_10,,SED field of study information,End year,,2,1979
3658,r104_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,524
3658,r104_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nuclear chemistry
3658,r104_9,,SED field of study information,Start year,,2,1960
3658,r104_10,,SED field of study information,End year,,2,2003
3658,r105_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,527
3658,r105_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Chemical biology
3658,r105_9,,SED field of study information,Start year,,2,2016
3658,r105_10,,SED field of study information,End year,,2,Present
3658,r106_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,530
3658,r106_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Physical chemistry
3658,r106_9,,SED field of study information,Start year,,2,1958
3658,r106_10,,SED field of study information,End year,,2,Present
3658,r107_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,532
3658,r107_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Polymer chemistry
3658,r107_9,,SED field of study information,Start year,,2,1973
3658,r107_10,,SED field of study information,End year,,2,Present
3658,r108_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,534
3658,r108_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Theoretical chemistry
3658,r108_9,,SED field of study information,Start year,,2,1960
3658,r108_10,,SED field of study information,End year,,2,Present
3658,r109_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,538
3658,r109_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Chemistry, general"
3658,r109_9,,SED field of study information,Start year,,2,1958
3658,r109_10,,SED field of study information,End year,,2,Present
3658,r110_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,539
3658,r110_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Chemistry, other"
3658,r110_9,,SED field of study information,Start year,,2,1958
3658,r110_10,,SED field of study information,End year,,2,Present
3658,r111_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,43
3658,r111_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Geosciences, atmospheric, and ocean sciences"
3658,r111_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4301
3658,r111_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Atmospheric sciences and meteorology
3658,r111_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,510
3658,r111_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atmospheric chemistry and climatology
3658,r111_9,,SED field of study information,Start year,,2,1976
3658,r111_10,,SED field of study information,End year,,2,Present
3658,r112_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,512
3658,r112_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atmospheric physics and dynamics
3658,r112_9,,SED field of study information,Start year,,2,1976
3658,r112_10,,SED field of study information,End year,,2,Present
3658,r113_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,514
3658,r113_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Meteorology
3658,r113_9,,SED field of study information,Start year,,2,1958
3658,r113_10,,SED field of study information,End year,,2,Present
3658,r114_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,518
3658,r114_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Atmospheric science/ meteorology, general"
3658,r114_9,,SED field of study information,Start year,,2,1983
3658,r114_10,,SED field of study information,End year,,2,Present
3658,r115_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,519
3658,r115_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Atmospheric science/ meteorology, other"
3658,r115_9,,SED field of study information,Start year,,2,1976
3658,r115_10,,SED field of study information,End year,,2,Present
3658,r116_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4302
3658,r116_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Geological and earth sciences, geosciences"
3658,r116_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,540
3658,r116_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geology
3658,r116_9,,SED field of study information,Start year,,2,1958
3658,r116_10,,SED field of study information,End year,,2,Present
3658,r117_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,542
3658,r117_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geochemistry
3658,r117_9,,SED field of study information,Start year,,2,1968
3658,r117_10,,SED field of study information,End year,,2,Present
3658,r118_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,544
3658,r118_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geophysics and seismology
3658,r118_9,,SED field of study information,Start year,,2,1976
3658,r118_10,,SED field of study information,End year,,2,Present
3658,r119_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,545
3658,r119_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geophysics, solid earth"
3658,r119_9,,SED field of study information,Start year,,2,1958
3658,r119_10,,SED field of study information,End year,,2,1976
3658,r120_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,546
3658,r120_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Paleontology
3658,r120_9,,SED field of study information,Start year,,2,1958
3658,r120_10,,SED field of study information,End year,,2,Present
3658,r121_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,548
3658,r121_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mineralogy and petrology
3658,r121_9,,SED field of study information,Start year,,2,1969
3658,r121_10,,SED field of study information,End year,,2,Present
3658,r122_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,549
3658,r122_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mineralogy/ petrology/ geological chemistry
3658,r122_9,,SED field of study information,Start year,,2,1958
3658,r122_10,,SED field of study information,End year,,2,1969
3658,r123_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,550
3658,r123_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Stratigraphy and sedimentation
3658,r123_9,,SED field of study information,Start year,,2,1958
3658,r123_10,,SED field of study information,End year,,2,Present
3658,r124_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,552
3658,r124_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geomorphology and glacial geology
3658,r124_9,,SED field of study information,Start year,,2,1958
3658,r124_10,,SED field of study information,End year,,2,Present
3658,r125_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,554
3658,r125_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied geology
3658,r125_9,,SED field of study information,Start year,,2,1969
3658,r125_10,,SED field of study information,End year,,2,1991
3658,r126_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,555
3658,r126_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied geology/ geological engineering
3658,r126_9,,SED field of study information,Start year,,2,1958
3658,r126_10,,SED field of study information,End year,,2,1969
3658,r127_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,558
3658,r127_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geological and earth sciences, general"
3658,r127_9,,SED field of study information,Start year,,2,1959
3658,r127_10,,SED field of study information,End year,,2,Present
3658,r128_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,559
3658,r128_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geological and earth sciences, other"
3658,r128_9,,SED field of study information,Start year,,2,1958
3658,r128_10,,SED field of study information,End year,,2,Present
3658,r129_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,585
3658,r129_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Hydrology and water resources
3658,r129_9,,SED field of study information,Start year,,2,1959
3658,r129_10,,SED field of study information,End year,,2,Present
3658,r130_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4303
3658,r130_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Ocean sciences and marine sciences
3658,r130_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,152
3658,r130_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Marine biology and biological oceanography
3658,r130_9,,SED field of study information,Start year,,2,2012
3658,r130_10,,SED field of study information,End year,,2,Present
3658,r131_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,595
3658,r131_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Marine sciences
3658,r131_9,,SED field of study information,Start year,,2,1983
3658,r131_10,,SED field of study information,End year,,2,Present
3658,r132_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,599
3658,r132_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Ocean/ marine, other"
3658,r132_9,,SED field of study information,Start year,,2,1977
3658,r132_10,,SED field of study information,End year,,2,Present
3658,r133_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4304
3658,r133_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Oceanography, chemical and physical"
3658,r133_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,590
3658,r133_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Oceanography, chemical and physical"
3658,r133_9,,SED field of study information,Start year,,2,1958
3658,r133_10,,SED field of study information,End year,,2,Present
3658,r134_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,44
3658,r134_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Physics
3658,r134_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4401
3658,r134_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Physics
3658,r134_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,560
3658,r134_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Acoustics
3658,r134_9,,SED field of study information,Start year,,2,1958
3658,r134_10,,SED field of study information,End year,,2,Present
3658,r135_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,561
3658,r135_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atomic/ molecular/ chemical physics
3658,r135_9,,SED field of study information,Start year,,2,1958
3658,r135_10,,SED field of study information,End year,,2,Present
3658,r136_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,562
3658,r136_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electron physics
3658,r136_9,,SED field of study information,Start year,,2,1983
3658,r136_10,,SED field of study information,End year,,2,1991
3658,r137_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,563
3658,r137_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electromagnetism
3658,r137_9,,SED field of study information,Start year,,2,1958
3658,r137_10,,SED field of study information,End year,,2,1979
3658,r138_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,564
3658,r138_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Particle (elementary) physics
3658,r138_9,,SED field of study information,Start year,,2,1958
3658,r138_10,,SED field of study information,End year,,2,Present
3658,r139_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,565
3658,r139_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biophysics
3658,r139_9,,SED field of study information,Start year,,2,2004
3658,r139_10,,SED field of study information,End year,,2,Present
3658,r140_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,566
3658,r140_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fluids
3658,r140_9,,SED field of study information,Start year,,2,1959
3658,r140_10,,SED field of study information,End year,,2,2003
3658,r141_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,567
3658,r141_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mechanics
3658,r141_9,,SED field of study information,Start year,,2,1958
3658,r141_10,,SED field of study information,End year,,2,1976
3658,r142_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,568
3658,r142_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nuclear physics
3658,r142_9,,SED field of study information,Start year,,2,1958
3658,r142_10,,SED field of study information,End year,,2,Present
3658,r143_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,569
3658,r143_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Optics/ photonics
3658,r143_9,,SED field of study information,Start year,,2,1958
3658,r143_10,,SED field of study information,End year,,2,Present
3658,r144_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,570
3658,r144_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plasma/ fusion physics
3658,r144_9,,SED field of study information,Start year,,2,1967
3658,r144_10,,SED field of study information,End year,,2,Present
3658,r145_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,572
3658,r145_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Polymer physics
3658,r145_9,,SED field of study information,Start year,,2,1983
3658,r145_10,,SED field of study information,End year,,2,Present
3658,r146_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,573
3658,r146_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Thermal physics
3658,r146_9,,SED field of study information,Start year,,2,1960
3658,r146_10,,SED field of study information,End year,,2,1981
3658,r147_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,574
3658,r147_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Condensed matter/ low temperature physics
3658,r147_9,,SED field of study information,Start year,,2,1958
3658,r147_10,,SED field of study information,End year,,2,Present
3658,r148_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,576
3658,r148_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied physics
3658,r148_9,,SED field of study information,Start year,,2,2004
3658,r148_10,,SED field of study information,End year,,2,Present
3658,r149_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,578
3658,r149_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physics, general"
3658,r149_9,,SED field of study information,Start year,,2,1958
3658,r149_10,,SED field of study information,End year,,2,Present
3658,r150_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,579
3658,r150_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physics, other"
3658,r150_9,,SED field of study information,Start year,,2,1958
3658,r150_10,,SED field of study information,End year,,2,Present
3658,r151_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,5
3658,r151_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Psychology
3658,r151_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,51
3658,r151_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Psychology
3658,r151_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5101
3658,r151_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Clinical psychology
3658,r151_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,600
3658,r151_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Clinical psychology
3658,r151_9,,SED field of study information,Start year,,2,1958
3658,r151_10,,SED field of study information,End year,,2,Present
3658,r152_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5102
3658,r152_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Counseling and applied psychology
3658,r152_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,602
3658,r152_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Behavioral analysis
3658,r152_9,,SED field of study information,Start year,,2,2012
3658,r152_10,,SED field of study information,End year,,2,Present
3658,r153_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,609
3658,r153_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Counseling
3658,r153_9,,SED field of study information,Start year,,2,1958
3658,r153_10,,SED field of study information,End year,,2,Present
