table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_sciencea_all_science,field_sciencea_agricultural_sciences_and_natural_resources,field_sciencea_biological_and_biomedical_sciences,field_sciencea_computer_and_information_sciences,field_sciencea_geosciences_atmospheric_sciences_and_ocean_sciences,field_sciencea_health_sciencesb,field_sciencea_mathematics_and_statistics,field_sciencea_physical_sciences_and_earth_sciences,field_sciencea_psychology,field_sciencea_social_sciences,field_engineering
3288,r087,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),,,4,6733,5631,154,2198,175,93,592,230,677,776,829,1102
3288,r088,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r089,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,6,9.94,10.97,,5.78,7.43,,22.8,7.39,2.51,,14.11,4.63
3288,r090,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,6,16.07,17.6,,9.42,17.71,,9.12,50.0,22.16,,31.0,8.26
3288,r091,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",6,31.32,28.47,49.35,32.58,44.0,31.18,26.01,16.52,41.95,20.75,11.7,45.92
3288,r092,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,33.37,33.58,24.68,44.72,21.14,36.56,27.7,15.22,26.44,22.94,33.41,32.3
3288,r093,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>e</sup>,6,9.3,9.38,12.34,7.51,9.71,9.68,14.36,10.87,6.94,11.47,9.77,8.89
3288,r094,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),,,4,4280,3991,89,865,69,28,867,51,214,969,867,289
3288,r095,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r096,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,6,32.92,34.88,13.48,9.94,,,51.33,,4.21,48.81,39.79,5.88
3288,r097,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,6,10.07,10.35,6.74,7.05,,,4.61,,23.36,9.7,,6.23
3288,r098,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",6,14.39,13.56,35.96,23.35,24.64,,9.8,,19.63,10.63,,25.95
3288,r099,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,31.33,30.14,32.58,51.33,28.99,64.29,22.15,37.25,43.93,17.44,27.22,47.75
3288,r100,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>e</sup>,6,11.29,11.07,11.24,8.32,10.14,10.71,12.11,3.92,8.88,13.42,11.19,14.19
3288,r101,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),,,4,40518,37180,1487,11260,572,1441,4236,820,4696,8158,5951,3338
3288,r102,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r103,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Personal or family funds,6,17.2,18.27,10.76,8.11,17.83,4.23,36.5,5.73,3.58,31.56,21.56,5.27
3288,r104,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Teaching assistantship,6,17.73,18.75,12.78,12.34,11.01,17.49,9.02,55.12,21.89,19.96,30.87,6.44
3288,r105,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",6,27.35,26.28,41.69,31.63,28.5,38.65,16.67,13.17,42.27,22.25,13.63,39.25
3288,r106,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,29.61,28.66,26.09,42.14,30.42,35.11,22.17,19.27,28.17,16.28,26.89,40.2
3288,r107,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Other<sup>e</sup>,6,8.11,8.04,8.68,5.77,12.24,4.51,15.65,6.71,4.09,9.95,7.06,8.84
3288,r108,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),,,4,2057,1886,60,588,23,70,162,54,227,401,371,171
3288,r109,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r110,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,6,17.11,,,,,,32.1,,3.96,36.16,22.37,
3288,r111,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,6,17.16,17.97,,,,22.86,10.49,,24.67,16.46,25.61,8.19
3288,r112,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",6,22.95,21.9,40.0,26.87,,25.71,20.37,14.81,29.52,,10.78,34.5
3288,r113,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,37.24,,36.67,50.68,34.78,,24.07,20.37,38.33,,35.85,46.78
3288,r114,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Other<sup>e</sup>,6,5.54,5.3,,,8.7,5.71,12.96,1.85,3.52,6.98,5.39,
3288,r115,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),,,4,514,463,15,125,,,56,11,,100,106,51
3288,r116,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r117,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,6,16.34,,,7.2,0.0,20.0,28.57,0.0,5.26,24.0,25.47,
3288,r118,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,6,12.06,13.39,,7.2,,10.0,,27.27,18.42,14.0,21.7,0.0
3288,r119,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",6,12.65,,,19.2,8.33,,,0.0,,7.0,5.66,
3288,r120,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,22.57,22.25,,37.6,16.67,30.0,,27.27,13.16,9.0,24.53,25.49
3288,r121,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>e</sup>,6,36.38,35.85,33.33,28.8,66.67,30.0,46.43,45.45,42.11,46.0,22.64,41.18
3288,r122,All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number),All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),,,,3,1006,891,35,196,25,22,114,24,90,261,146,115
3288,r123,All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r124,All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,Personal or family funds,,5,3.98,4.26,0.0,3.06,12.0,0.0,9.65,0.0,1.11,3.83,4.79,1.74
3288,r125,All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,Teaching assistantship,,5,3.08,3.37,2.86,2.04,0.0,0.0,0.0,12.5,2.22,2.68,8.9,0.87
3288,r126,"All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,4.77,4.94,17.14,7.65,4.0,13.64,1.75,0.0,10.0,3.45,1.37,3.48
3288,r127,"All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,5.67,5.27,5.71,10.71,20.0,0.0,1.75,4.17,4.44,3.45,2.05,8.7
3288,r128,All recipients (number)<sup>c</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Ethnicity not reported (number),All sources,Other<sup>e</sup>,,5,82.5,82.15,74.29,76.53,64.0,86.36,86.84,83.33,82.22,86.59,82.88,85.22
3288,r129,All recipients (number)<sup>c</sup> -> Male (number),All recipients (number)<sup>c</sup>,Male (number),,,,,2,66161,50445,1992,14469,2981,2070,2452,3517,12149,4707,8178,15716
3288,r130,All recipients (number)<sup>c</sup> -> Male (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r131,All recipients (number)<sup>c</sup> -> Male (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),All sources,Personal or family funds,,,4,10.5,11.58,10.24,6.25,13.18,6.76,25.73,5.52,4.07,28.43,20.59,7.02
3288,r132,All recipients (number)<sup>c</sup> -> Male (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),All sources,Teaching assistantship,,,4,17.42,20.78,10.74,11.77,9.8,15.89,15.38,54.99,20.82,22.88,28.8,6.64
3288,r133,"All recipients (number)<sup>c</sup> -> Male (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),All sources,"Research assistantship, traineeship, or internship",,,4,33.45,29.94,44.43,30.75,43.01,42.13,23.21,13.34,46.6,17.76,11.62,44.73
3288,r134,"All recipients (number)<sup>c</sup> -> Male (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,,4,27.43,27.55,20.53,42.94,18.32,27.29,19.74,17.03,20.87,17.14,28.19,27.02
3288,r135,All recipients (number)<sup>c</sup> -> Male (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Male (number),All sources,Other<sup>e</sup>,,,4,11.2,10.15,14.06,8.29,15.7,7.92,15.95,9.13,7.64,13.79,10.81,14.59
3288,r136,All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number),All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),,,,3,4440,3390,107,1090,150,117,164,200,643,419,617,1050
3288,r137,All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r138,All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,Personal or family funds,,5,11.17,12.27,11.21,5.23,,6.84,27.44,,4.2,29.83,18.96,7.62
3288,r139,All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,Teaching assistantship,,5,14.93,17.7,7.48,8.53,10.67,17.09,14.02,48.0,19.44,15.51,28.2,6.0
3288,r140,"All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,"Research assistantship, traineeship, or internship",,5,24.26,20.86,28.97,22.57,,31.62,17.07,,32.66,15.04,8.91,35.24
3288,r141,"All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,38.4,38.61,33.64,54.95,22.0,38.46,29.27,28.0,35.15,23.15,34.68,37.71
3288,r142,All recipients (number)<sup>c</sup> -> Male (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Male (number),Hispanic or Latino<sup>f</sup> (number),All sources,Other<sup>e</sup>,,5,11.24,10.56,18.69,8.72,16.67,5.98,12.2,8.5,8.55,16.47,9.24,13.43
3288,r143,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,,,,3,,,,,,,,,,,,
3288,r144,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,4,168,138,8,21,,,14,6,,18,45,30
3288,r145,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r146,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,6,16.67,,,,,0.0,35.71,0.0,,,22.22,
3288,r147,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,6,19.05,,,,0.0,,,,34.78,,,
3288,r148,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",6,14.88,13.04,,28.57,0.0,0.0,,0.0,,,,23.33
3288,r149,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,29.76,,,38.1,0.0,,,0.0,30.43,,35.56,
3288,r150,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>e</sup>,6,19.64,19.57,,,66.67,0.0,21.43,,21.74,11.11,15.56,20.0
3288,r151,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),,,4,6712,4401,91,1602,439,99,246,335,979,213,496,2311
3288,r152,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r153,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,6,7.18,7.61,,5.81,9.11,,19.51,5.37,3.27,,10.28,6.36
3288,r154,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,6,15.49,19.36,,8.86,12.07,,11.38,49.55,23.6,,35.28,8.14
3288,r155,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",6,37.66,31.74,57.14,29.71,46.47,44.44,28.46,14.03,46.48,19.25,10.48,48.94
3288,r156,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,28.74,31.22,15.38,47.07,17.31,24.24,22.36,21.19,17.67,24.88,35.89,24.02
3288,r157,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>e</sup>,6,10.92,10.07,14.29,8.55,15.03,12.12,18.29,9.85,8.99,9.86,8.06,12.55
3288,r158,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),,,4,2692,2136,89,523,110,35,224,85,269,257,579,556
3288,r159,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r160,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,6,24.29,27.39,20.22,12.24,,,52.68,,5.58,41.25,40.41,12.41
3288,r161,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,6,13.37,14.61,13.48,6.69,,,9.82,,29.74,8.17,,8.63
3288,r162,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",6,18.42,15.92,35.96,22.75,18.18,,10.71,,26.77,11.67,,28.06
3288,r163,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,30.35,29.12,15.73,49.52,31.82,37.14,13.84,25.88,29.0,22.96,21.42,35.07
3288,r164,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>e</sup>,6,13.56,12.97,14.61,8.8,22.73,11.43,12.95,10.59,8.92,15.95,15.54,15.83
3288,r165,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),,,4,48149,37376,1594,10398,2059,1712,1651,2621,9596,3529,5928,10773
3288,r166,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r167,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,Personal or family funds,6,10.37,11.31,10.16,6.24,13.79,6.31,23.38,5.57,4.12,28.36,20.29,7.14
3288,r168,All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,Teaching assistantship,6,18.6,22.07,11.29,13.18,9.76,16.36,17.75,58.53,20.61,25.3,30.35,6.56
3288,r169,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",6,35.45,32.14,46.93,32.51,45.8,43.87,25.44,14.12,49.09,19.13,12.94,46.94
3288,r170,"All recipients (number)<sup>c</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,26.47,26.37,20.58,41.29,17.92,26.99,19.56,15.45,20.28,15.81,27.56,26.82
