table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_businesses,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_organizations,field_any_public_private_partnership_fundinga
12493,r090,All agencies -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Department of Commerce,National Telecommunications and Information Administration,,,,3,"['7,310', 'i']","['7,310', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r091,All agencies -> Department of Commerce -> National Telecommunications and Information Administration -> Institute for Telecommunication Sciences,All agencies,Department of Commerce,National Telecommunications and Information Administration,Institute for Telecommunication Sciences,,,4,"['7,310', 'i']","['7,310', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r092,All agencies -> Department of Defense,All agencies,Department of Defense,,,,,2,"['20,864,136', ' ']","['20,680,994', ' ']","['1,194', ' ']","['26,497', ' ']","['6,147', ' ']","['149,304', ' ']",Yes
12493,r093,All agencies -> Department of Defense -> Defense Information Systems Agency,All agencies,Department of Defense,Defense Information Systems Agency,,,,3,"['64,816', '']","['63,366', '']","['0', '']","['1,058', '']","['0', '']","['392', '']",Yes
12493,r094,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,,,,3,"['6,364,822', 'i']","['6,364,822', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r095,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command,All agencies,Department of Defense,Department of the Air Force,Materiel Command,,,4,"['6,364,822', 'i']","['6,364,822', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r096,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Civil Engineer Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Civil Engineer Center,,5,"['27,922', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r097,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Life Cycle Management Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Life Cycle Management Center,,5,"['2,560,962', 'i']","['2,560,962', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r098,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Nuclear Weapons Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Nuclear Weapons Center,,5,"['511,311', 'i']","['511,311', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r099,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Research Laboratory,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Research Laboratory,,5,"['2,670,981', 'i']","['2,670,981', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r100,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Test Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Test Center,,5,"['593,645', 'i']","['593,645', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r101,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,,,,3,"['5,816,747', ' ']","['5,765,621', ' ']","['1,121', ' ']","['9,799', ' ']","['6,100', ' ']","['34,107', ' ']",Yes
12493,r102,All agencies -> Department of Defense -> Department of the Army -> Army Cyber Command,All agencies,Department of Defense,Department of the Army,Army Cyber Command,,,4,"['455,350', 'i']","['455,350', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r103,All agencies -> Department of Defense -> Department of the Army -> Army Engineer Research and Development Center,All agencies,Department of Defense,Department of the Army,Army Engineer Research and Development Center,,,4,"['725,537', '']","['718,545', '']","['1,121', '']","['5,090', '']","['0', '']","['781', '']",Yes
12493,r104,All agencies -> Department of Defense -> Department of the Army -> Army Medical Research and Development Command,All agencies,Department of Defense,Department of the Army,Army Medical Research and Development Command,,,4,"['472,520', '']","['458,435', '']","['0', '']","['4,684', '']","['6,100', '']","['3,301', '']",No
12493,r105,All agencies -> Department of Defense -> Department of the Army -> Army Research Institute for the Behavioral and Social Sciences,All agencies,Department of Defense,Department of the Army,Army Research Institute for the Behavioral and Social Sciences,,,4,"['455,350', 'i']","['455,350', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r106,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM),All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),,,4,"['3,630,576', '']","['3,630,552', '']","['0', '']","['24', '']","['0', '']","['0', '']",Yes
12493,r107,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Armaments Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Armaments Center,,5,"['708,689', '']","['708,672', '']","['0', '']","['18', '']","['0', '']","['0', '']",Yes
12493,r108,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Army Research Laboratory,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Army Research Laboratory,,5,"['251,882', '']","['251,882', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r109,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Aviation and Missile Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Aviation and Missile Center,,5,"['1,920,096', '']","['1,920,090', '']","['0', '']","['6', '']","['0', '']","['0', '']",No
12493,r110,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Chemical Biological Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Chemical Biological Center,,5,"['102,085', '']","['102,085', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r111,"All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),"Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",,5,"['214,162', '']","['214,162', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r112,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Data and Analysis Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Data and Analysis Center,,5,"['10,018', '']","['10,018', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r113,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> DEVCOM Headquarters,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),DEVCOM Headquarters,,5,"['88,100', '']","['88,100', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r114,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Ground Vehicle Systems Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Ground Vehicle Systems Center,,5,"['236,569', '']","['236,569', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r115,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Soldier Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Soldier Center,,5,"['98,974', '']","['98,974', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r116,All agencies -> Department of Defense -> Department of the Army -> Space and Missile Defense Command,All agencies,Department of Defense,Department of the Army,Space and Missile Defense Command,,,4,"['77,414', '']","['47,388', '']","['0', '']","['0', '']","['0', '']","['30,026', '']",Yes
12493,r117,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,,,,3,"['5,783,576', ' ']","['5,662,867', ' ']","['73', ' ']","['6,133', ' ']","['48', ' ']","['114,455', ' ']",Yes
12493,r118,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,,,4,"['129,796', '']","['128,050', '']","['0', '']","['30', '']","['48', '']","['1,668', '']",Yes
12493,r119,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup>,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,,5,"['129,796', '']","['128,050', '']","['0', '']","['30', '']","['48', '']","['1,668', '']",Yes
12493,r120,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Health Research Center,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Health Research Center,6,"['26,826', '']","['26,530', '']","['0', '']","['0', '']","['0', '']","['296', '']",Yes
12493,r121,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Medical Research Unit - Dayton,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Medical Research Unit - Dayton,6,"['22,122', '']","['22,122', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r122,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Medical Research Unit - INDO PACIFIC,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Medical Research Unit - INDO PACIFIC,6,"['1,314', '']","['1,314', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r123,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Medical Research Unit - San Antonio,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Medical Research Unit - San Antonio,6,"['11,803', '']","['11,764', '']","['0', '']","['0', '']","['0', '']","['39', '']",Yes
12493,r124,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Medical Research Unit - South,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Medical Research Unit - South,6,"['9,466', '']","['8,310', '']","['0', '']","['30', '']","['48', '']","['1,078', '']",Yes
12493,r125,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>b</sup> -> Naval Submarine Medical Research Laboratory,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>b</sup>,Naval Submarine Medical Research Laboratory,6,"['8,990', '']","['8,990', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r126,All agencies -> Department of Defense -> Department of the Navy -> Marine Corps,All agencies,Department of Defense,Department of the Navy,Marine Corps,,,4,"['287,952', 'i']","['287,952', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r127,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Aircraft Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Aircraft Division,,,4,"['857,385', '']","['738,422', '']","['73', '']","['6,103', '']","['0', '']","['112,787', '']",No
12493,r128,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Weapon Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Weapon Division,,,4,"['777,721', '']","['777,721', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r129,All agencies -> Department of Defense -> Department of the Navy -> Naval Facilities Engineering and Expeditionary Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Facilities Engineering and Expeditionary Warfare Center,,,4,"['57,092', '']","['57,092', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r130,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,,,4,"['565,094', '']","['565,094', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r131,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Atlantic,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Atlantic,,5,"['145,315', '']","['145,315', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r132,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Pacific,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Pacific,,5,"['419,779', '']","['419,779', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r133,All agencies -> Department of Defense -> Department of the Navy -> Naval Observatory,All agencies,Department of Defense,Department of the Navy,Naval Observatory,,,4,"['29,941', 'i']","['29,941', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r134,All agencies -> Department of Defense -> Department of the Navy -> Naval Oceanographic Office,All agencies,Department of Defense,Department of the Navy,Naval Oceanographic Office,,,4,"['29,941', 'i']","['29,941', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']",Not provided
12493,r135,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,,,4,"['2,180,415', '']","['2,180,415', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r136,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Surface Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Surface Warfare Center,,5,"['1,842,591', '']","['1,842,591', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r137,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Undersea Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Undersea Warfare Center,,5,"['337,824', '']","['337,824', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r138,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,,,4,"['868,240', '']","['868,240', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r139,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research -> Naval Research Laboratory,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,Naval Research Laboratory,,5,"['868,240', '']","['868,240', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r140,All agencies -> Department of Defense -> Missile Defense Agency,All agencies,Department of Defense,Missile Defense Agency,,,,3,"['420,524', '']","['420,524', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r141,All agencies -> Department of Defense -> Space Force,All agencies,Department of Defense,Space Force,,,,3,"['2,413,651', '']","['2,403,794', '']","['0', '']","['9,507', '']","['0', '']","['350', '']",Yes
12493,r142,All agencies -> Department of Defense -> Space Force -> Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,All agencies,Department of Defense,Space Force,Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,,,4,"['27,003', '']","['27,003', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r143,All agencies -> Department of Defense -> Space Force -> Commercial Satellite Communications (SATCOM),All agencies,Department of Defense,Space Force,Commercial Satellite Communications (SATCOM),,,4,"['20,205', '']","['20,205', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r144,All agencies -> Department of Defense -> Space Force -> Counter Communications System,All agencies,Department of Defense,Space Force,Counter Communications System,,,4,"['5,895', '']","['5,895', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r145,All agencies -> Department of Defense -> Space Force -> Electro-Optical/ Infrared Weather Systems,All agencies,Department of Defense,Space Force,Electro-Optical/ Infrared Weather Systems,,,4,"['1,862', '']","['1,862', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r146,All agencies -> Department of Defense -> Space Force -> Evolved Strategic SATCOM,All agencies,Department of Defense,Space Force,Evolved Strategic SATCOM,,,4,"['108,519', '']","['108,519', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r147,All agencies -> Department of Defense -> Space Force -> Global Positioning Systems III Follow-on,All agencies,Department of Defense,Space Force,Global Positioning Systems III Follow-on,,,4,"['138,971', '']","['138,971', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r148,All agencies -> Department of Defense -> Space Force -> Ground Based Optical Sensor System,All agencies,Department of Defense,Space Force,Ground Based Optical Sensor System,,,4,"['45,388', '']","['45,388', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r149,All agencies -> Department of Defense -> Space Force -> Joint Execution and Tasking System for Space,All agencies,Department of Defense,Space Force,Joint Execution and Tasking System for Space,,,4,"['2,087', '']","['2,087', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r150,All agencies -> Department of Defense -> Space Force -> National Security Space Launch,All agencies,Department of Defense,Space Force,National Security Space Launch,,,4,"['91,491', '']","['91,491', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r151,All agencies -> Department of Defense -> Space Force -> NAVSTAR Global Positioning System (User Equipment),All agencies,Department of Defense,Space Force,NAVSTAR Global Positioning System (User Equipment),,,4,"['290,005', '']","['290,005', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r152,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,,,4,"['334,688', '']","['334,688', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r153,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Polar,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Polar,,,4,"['343,144', '']","['343,144', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r154,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),,,4,"['311,140', '']","['311,140', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r155,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Integration,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Integration,,,4,"['23,796', '']","['23,796', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r156,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Space Mod Initiative,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Space Mod Initiative,,,4,"['56,529', '']","['56,529', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r157,All agencies -> Department of Defense -> Space Force -> Polar MILSATCOM Enhanced Polar System Recapitalization,All agencies,Department of Defense,Space Force,Polar MILSATCOM Enhanced Polar System Recapitalization,,,4,"['50,402', '']","['50,402', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r158,All agencies -> Department of Defense -> Space Force -> Protected Tactical Enterprise Service,All agencies,Department of Defense,Space Force,Protected Tactical Enterprise Service,,,4,"['51,780', '']","['51,780', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r159,All agencies -> Department of Defense -> Space Force -> Protected Tactical Service,All agencies,Department of Defense,Space Force,Protected Tactical Service,,,4,"['185,948', '']","['185,948', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r160,All agencies -> Department of Defense -> Space Force -> Rocket System Launch Program,All agencies,Department of Defense,Space Force,Rocket System Launch Program,,,4,"['21,481', '']","['21,481', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r161,All agencies -> Department of Defense -> Space Force -> Space Control Technology,All agencies,Department of Defense,Space Force,Space Control Technology,,,4,"['31,361', '']","['31,361', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r162,All agencies -> Department of Defense -> Space Force -> Space Rapid Capabilities Office,All agencies,Department of Defense,Space Force,Space Rapid Capabilities Office,,,4,"['83,186', '']","['83,186', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r163,All agencies -> Department of Defense -> Space Force -> Space Situation Awareness Systems,All agencies,Department of Defense,Space Force,Space Situation Awareness Systems,,,4,"['100,674', '']","['100,674', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r164,All agencies -> Department of Defense -> Space Force -> Space Situational Awareness Environmental Monitoring,All agencies,Department of Defense,Space Force,Space Situational Awareness Environmental Monitoring,,,4,"['364', '']","['364', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r165,All agencies -> Department of Defense -> Space Force -> Space Systems Prototype Transitions Assault Breaker II,All agencies,Department of Defense,Space Force,Space Systems Prototype Transitions Assault Breaker II,,,4,"['49,909', '']","['49,909', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r166,All agencies -> Department of Defense -> Space Force -> Space Test and Training Range Development,All agencies,Department of Defense,Space Force,Space Test and Training Range Development,,,4,"['742', '']","['742', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r167,All agencies -> Department of Defense -> Space Force -> Space Test Program,All agencies,Department of Defense,Space Force,Space Test Program,,,4,"['24,717', '']","['14,860', '']","['0', '']","['9,507', '']","['0', '']","['350', '']",Yes
12493,r168,All agencies -> Department of Defense -> Space Force -> Weather System Follow-On,All agencies,Department of Defense,Space Force,Weather System Follow-On,,,4,"['12,364', '']","['12,364', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r169,All agencies -> Department of Energy,All agencies,Department of Energy,,,,,2,"['100,005', '']","['99,508', '']","['0', 'i']","['0', 'i']","['0', 'i']","['497', 'i']",No
12493,r170,All agencies -> Department of Energy -> National Energy Technology Laboratory,All agencies,Department of Energy,National Energy Technology Laboratory,,,,3,"['100,005', '']","['99,508', '']","['0', 'i']","['0', 'i']","['0', 'i']","['497', 'i']",No
12493,r171,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,,,,2,"['3,359,936', '']","['3,321,851', '']","['0', '']","['17,337', '']","['2,569', '']","['18,178', '']",Yes
12493,r172,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,3,"['145,593', '']","['145,152', '']","['0', '']","['0', '']","['110', '']","['331', '']",Yes
12493,r173,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Emerging and Zoonotic Infectious Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Emerging and Zoonotic Infectious Diseases,,,4,"['3,094', '']","['3,094', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r174,"All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,"National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",,,4,"['28,238', '']","['28,238', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r175,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Immunization and Respiratory Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Immunization and Respiratory Diseases,,,4,"['44,783', '']","['44,783', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r176,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center on Birth Defects and Developmental Disabilities,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center on Birth Defects and Developmental Disabilities,,,4,"['243', '']","['0', '']","['0', '']","['0', '']","['0', '']","['243', '']",Yes
12493,r177,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Institute for Occupational Safety and Health,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Institute for Occupational Safety and Health,,,4,"['69,235', '']","['69,037', '']","['0', '']","['0', '']","['110', '']","['88', '']",No
12493,r178,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,,,,3,"['458,410', '']","['458,397', '']","['0', '']","['0', '']","['13', '']","['0', '']",Yes
12493,r179,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Biologics Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Biologics Evaluation and Research,,,4,"['66,565', '']","['66,565', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r180,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Devices and Radiological Health,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Devices and Radiological Health,,,4,"['7,913', '']","['7,900', '']","['0', '']","['0', '']","['13', '']","['0', '']",Yes
12493,r181,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Drug Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Drug Evaluation and Research,,,4,"['73,608', '']","['73,608', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r182,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Food Safety and Applied Nutrition,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Food Safety and Applied Nutrition,,,4,"['95,059', '']","['95,059', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r183,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Tobacco Products,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Tobacco Products,,,4,"['93,521', '']","['93,521', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r184,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Veterinary Medicine,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Veterinary Medicine,,,4,"['20,184', '']","['20,184', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r185,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> National Center for Toxicological Research,All agencies,Department of Health and Human Services,Food and Drug Administration,National Center for Toxicological Research,,,4,"['88,645', '']","['88,645', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r186,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Office of Regulatory Affairs,All agencies,Department of Health and Human Services,Food and Drug Administration,Office of Regulatory Affairs,,,4,"['3,000', '']","['3,000', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
