table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_othera
2469,r166,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,650363,325133,0,325230,0,0,0
2469,r167,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,719045,0,0,719045,0,0,0
2469,r168,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,2341500,0,0,2341500,0,0,0
2469,r169,United States<sup>b</sup> -> Maine -> Technology Institute,United States<sup>b</sup>,Maine,Technology Institute,3,27745717,6857815,0,8670134,2467740,0,9750028
2469,r170,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,1136000,0,0,0,0,1136000,0
2469,r171,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,29107768,357910,1181872,1625725,22520611,1735096,1686554
2469,r172,"United States<sup>b</sup> -> Maryland -> Education, Department of",United States<sup>b</sup>,Maryland,"Education, Department of",3,638402,0,0,0,0,0,638402
2469,r173,United States<sup>b</sup> -> Maryland -> Energy Administration,United States<sup>b</sup>,Maryland,Energy Administration,3,1032429,0,1025000,7429,0,0,0
2469,r174,"United States<sup>b</sup> -> Maryland -> Health and Mental Hygiene, Department of",United States<sup>b</sup>,Maryland,"Health and Mental Hygiene, Department of",3,13000000,0,0,0,13000000,0,0
2469,r175,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,1476425,354160,131872,990393,0,0,0
2469,r176,United States<sup>b</sup> -> Maryland -> Technology Development Corporation,United States<sup>b</sup>,Maryland,Technology Development Corporation,3,10620513,3750,25000,3750,9520611,19250,1048152
2469,r177,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,2339999,0,0,624153,0,1715846,0
2469,r178,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,28425439,50000,5049247,8938925,6632267,4425000,3330000
2469,r179,United States<sup>b</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>b</sup>,Massachusetts,Clean Energy Technology Center,3,4999247,0,4999247,0,0,0,0
2469,r180,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,288925,0,0,288925,0,0,0
2469,r181,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,8550000,50000,0,8500000,0,0,0
2469,r182,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2125000,0,0,0,2095000,0,30000
2469,r183,United States<sup>b</sup> -> Massachusetts -> Life Sciences Center,United States<sup>b</sup>,Massachusetts,Life Sciences Center,3,1000000,0,0,0,1000000,0,0
2469,r184,United States<sup>b</sup> -> Massachusetts -> Massventures,United States<sup>b</sup>,Massachusetts,Massventures,3,3300000,0,0,0,0,0,3300000
2469,r185,"United States<sup>b</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>b</sup>,Massachusetts,"Mental Health, Department of",3,1300000,0,0,0,1300000,0,0
2469,r186,"United States<sup>b</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>b</sup>,Massachusetts,"Public Health, Department of ",3,2237267,0,0,0,2237267,0,0
2469,r187,"United States<sup>b</sup> -> Massachusetts -> Transportation, Department of",United States<sup>b</sup>,Massachusetts,"Transportation, Department of",3,4425000,0,0,0,0,4425000,0
2469,r188,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,200000,0,50000,150000,0,0,0
2469,r189,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,8023318,1246732,0,1555898,88488,5132200,0
2469,r190,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1246732,1246732,0,0,0,0,0
2469,r191,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,639875,0,0,639875,0,0,0
2469,r192,United States<sup>b</sup> -> Michigan -> Health and Human Services,United States<sup>b</sup>,Michigan,Health and Human Services,3,88488,0,0,0,88488,0,0
2469,r193,"United States<sup>b</sup> -> Michigan -> Natural Resources, Department of",United States<sup>b</sup>,Michigan,"Natural Resources, Department of",3,916023,0,0,916023,0,0,0
2469,r194,"United States<sup>b</sup> -> Michigan -> Transportation, Department of",United States<sup>b</sup>,Michigan,"Transportation, Department of",3,5132200,0,0,0,0,5132200,0
2469,r195,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,20150907,3701150,0,5356934,0,11092823,0
2469,r196,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,6177224,3701150,0,2476074,0,0,0
2469,r197,United States<sup>b</sup> -> Minnesota -> Forest Resources Council,United States<sup>b</sup>,Minnesota,Forest Resources Council,3,140000,0,0,140000,0,0,0
2469,r198,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,1462164,0,0,1462164,0,0,0
2469,r199,United States<sup>b</sup> -> Minnesota -> Pollution Control Agency,United States<sup>b</sup>,Minnesota,Pollution Control Agency,3,100277,0,0,100277,0,0,0
2469,r200,"United States<sup>b</sup> -> Minnesota -> Transportation, Department of",United States<sup>b</sup>,Minnesota,"Transportation, Department of",3,12271242,0,0,1178419,0,11092823,0
2469,r201,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,12170278,599632,0,5579050,0,5991596,0
2469,r202,"United States<sup>b</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>b</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,97454,97454,0,0,0,0,0
2469,r203,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,1157390,0,0,1157390,0,0,0
2469,r204,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,661034,502178,0,158856,0,0,0
2469,r205,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,2141085,0,0,2141085,0,0,0
2469,r206,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,5991596,0,0,0,0,5991596,0
2469,r207,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2121719,0,0,2121719,0,0,0
2469,r208,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,15055845,1153575,0,11968316,103760,1830194,0
2469,r209,"United States<sup>b</sup> -> Missouri -> Agriculture, Department of",United States<sup>b</sup>,Missouri,"Agriculture, Department of",3,79966,66800,0,13166,0,0,0
2469,r210,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,11163017,0,0,11163017,0,0,0
2469,r211,United States<sup>b</sup> -> Missouri -> Health and Senior Services,United States<sup>b</sup>,Missouri,Health and Senior Services,3,28760,0,0,0,28760,0,0
2469,r212,"United States<sup>b</sup> -> Missouri -> Natural Resources, Department of",United States<sup>b</sup>,Missouri,"Natural Resources, Department of",3,792133,0,0,792133,0,0,0
2469,r213,United States<sup>b</sup> -> Missouri -> Technology Corporation,United States<sup>b</sup>,Missouri,Technology Corporation,3,615000,140000,0,0,75000,400000,0
2469,r214,"United States<sup>b</sup> -> Missouri -> Transportation, Department of",United States<sup>b</sup>,Missouri,"Transportation, Department of",3,1430194,0,0,0,0,1430194,0
2469,r215,United States<sup>b</sup> -> Missouri -> Wine and Grape Board,United States<sup>b</sup>,Missouri,Wine and Grape Board,3,946775,946775,0,0,0,0,0
2469,r216,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,8794140,3132570,0,4146533,311826,820527,382684
2469,r217,"United States<sup>b</sup> -> Montana -> Agriculture, Department of",United States<sup>b</sup>,Montana,"Agriculture, Department of",3,3132570,3132570,0,0,0,0,0
2469,r218,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,153592,0,0,153592,0,0,0
2469,r219,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks",3,3833321,0,0,3833321,0,0,0
2469,r220,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,59620,0,0,59620,0,0,0
2469,r221,"United States<sup>b</sup> -> Montana -> Research and Commercialization, Board of",United States<sup>b</sup>,Montana,"Research and Commercialization, Board of",3,794510,0,0,100000,311826,0,382684
2469,r222,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,820527,0,0,0,0,820527,0
2469,r223,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,28167688,2851678,4000,4757681,18986705,1409861,157763
2469,r224,"United States<sup>b</sup> -> Nebraska -> Agriculture, Department of",United States<sup>b</sup>,Nebraska,"Agriculture, Department of",3,1193067,1193067,0,0,0,0,0
2469,r225,United States<sup>b</sup> -> Nebraska -> Corn Board,United States<sup>b</sup>,Nebraska,Corn Board,3,1107026,697047,0,409979,0,0,0
2469,r226,United States<sup>b</sup> -> Nebraska -> Dry Bean Commission,United States<sup>b</sup>,Nebraska,Dry Bean Commission,3,192000,192000,0,0,0,0,0
2469,r227,"United States<sup>b</sup> -> Nebraska -> Economic Development, Department of",United States<sup>b</sup>,Nebraska,"Economic Development, Department of",3,1111752,430078,0,100000,423911,0,157763
2469,r228,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,2857952,0,0,2857952,0,0,0
2469,r229,United States<sup>b</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>b</sup>,Nebraska,Grain Sorghum Board,3,15000,11000,4000,0,0,0,0
2469,r230,United States<sup>b</sup> -> Nebraska -> Health and Human Services,United States<sup>b</sup>,Nebraska,Health and Human Services,3,18562794,0,0,0,18562794,0,0
2469,r231,"United States<sup>b</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>b</sup>,Nebraska,"Natural Resources, Department of",3,1346572,0,0,1346572,0,0,0
2469,r232,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,1453039,0,0,43178,0,1409861,0
2469,r233,United States<sup>b</sup> -> Nebraska -> Wheat Board,United States<sup>b</sup>,Nebraska,Wheat Board,3,328486,328486,0,0,0,0,0
2469,r234,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,7871899,184774,0,128914,0,973452,6584759
2469,r235,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,184774,184774,0,0,0,0,0
2469,r236,"United States<sup>b</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>b</sup>,Nevada,"Economic Development, Governor's office of",3,6584759,0,0,0,0,0,6584759
2469,r237,"United States<sup>b</sup> -> Nevada -> Transportation, Department of",United States<sup>b</sup>,Nevada,"Transportation, Department of",3,1102366,0,0,128914,0,973452,0
2469,r238,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,8432696,114949,8938,101215,0,807378,7400216
2469,r239,"United States<sup>b</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>b</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,154699,114949,0,39750,0,0,0
2469,r240,United States<sup>b</sup> -> New Hampshire -> Business and Economic Affairs,United States<sup>b</sup>,New Hampshire,Business and Economic Affairs,3,7275000,0,0,0,0,0,7275000
2469,r241,"United States<sup>b</sup> -> New Hampshire -> Natural & Cultural Resources, Department of",United States<sup>b</sup>,New Hampshire,"Natural & Cultural Resources, Department of",3,61465,0,0,61465,0,0,0
2469,r242,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,941532,0,8938,0,0,807378,125216
2469,r243,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,23886758,0,0,2192254,15865431,2717094,3111979
2469,r244,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,310000,0,0,0,0,0,310000
2469,r245,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,301979,0,0,0,0,0,301979
2469,r246,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,2474000,0,0,1545000,929000,0,0
2469,r247,"United States<sup>b</sup> -> New Jersey -> Health, Department of",United States<sup>b</sup>,New Jersey,"Health, Department of",3,1936431,0,0,0,1936431,0,0
2469,r248,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,647254,0,0,647254,0,0,0
2469,r249,"United States<sup>b</sup> -> New Jersey -> Research Initiatives, Office of",United States<sup>b</sup>,New Jersey,"Research Initiatives, Office of",3,13000000,0,0,0,13000000,0,0
2469,r250,"United States<sup>b</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>b</sup>,New Jersey,"Secretary of Higher Education, Office of",3,2500000,0,0,0,0,0,2500000
2469,r251,"United States<sup>b</sup> -> New Jersey -> Transit, New Jersey",United States<sup>b</sup>,New Jersey,"Transit, New Jersey",3,103000,0,0,0,0,103000,0
2469,r252,"United States<sup>b</sup> -> New Jersey -> Transportation, Department of",United States<sup>b</sup>,New Jersey,"Transportation, Department of",3,2614094,0,0,0,0,2614094,0
2469,r253,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,3585944,0,82970,2108672,0,1377302,17000
2469,r254,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,17000,0,0,0,0,0,17000
2469,r255,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,1000000,0,0,1000000,0,0,0
2469,r256,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,1659400,0,82970,199128,0,1377302,0
2469,r257,United States<sup>b</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>b</sup>,New Mexico,Western State Air Resources Council,3,909544,0,0,909544,0,0,0
2469,r258,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,448501735,10612279,51407945,33457115,315479125,8842589,28702682
2469,r259,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,9864543,9504543,0,360000,0,0,0
2469,r260,"United States<sup>b</sup> -> New York -> Economic Development, Department of",United States<sup>b</sup>,New York,"Economic Development, Department of",3,39780251,246490,5352405,356094,5367044,0,28458218
2469,r261,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,53546621,0,38192117,10934755,0,4419749,0
2469,r262,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,8942166,0,0,8942166,0,0,0
2469,r263,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,82781352,368437,0,2210623,80202292,0,0
2469,r264,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,156275133,0,0,0,156275133,0,0
2469,r265,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,1849940,0,0,0,1605476,0,244464
2469,r266,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,8707710,104360,7863423,630958,108969,0,0
2469,r267,United States<sup>b</sup> -> New York -> Roswell Park Cancer Institute,United States<sup>b</sup>,New York,Roswell Park Cancer Institute,3,71920211,0,0,0,71920211,0,0
2469,r268,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,10022519,0,0,10022519,0,0,0
2469,r269,United States<sup>b</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>b</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,388449,388449,0,0,0,0,0
2469,r270,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,4422840,0,0,0,0,4422840,0
2469,r271,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,32754090,14132932,1656680,7935915,778247,7959645,290671
2469,r272,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,0,0,0,0
2469,r273,"United States<sup>b</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>b</sup>,North Carolina,"Environmental Quality, Department of",3,3460387,0,0,3460387,0,0,0
2469,r274,"United States<sup>b</sup> -> North Carolina -> Golden Leaf, The",United States<sup>b</sup>,North Carolina,"Golden Leaf, The",3,65000,65000,0,0,0,0,0
2469,r275,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,3473399,0,0,3431450,0,0,41949
2469,r276,"United States<sup>b</sup> -> North Carolina -> Science, Technology & Innovation, Board of",United States<sup>b</sup>,North Carolina,"Science, Technology & Innovation, Board of",3,1201990,98959,150000,0,778247,0,174784
2469,r277,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,9010403,0,6680,1044078,0,7959645,0
2469,r278,United States<sup>b</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>b</sup>,North Carolina,Wine and Grape Growers Council,3,120000,46062,0,0,0,0,73938
2469,r279,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,12140358,2998472,6229265,1546256,29510,1336855,0
2469,r280,"United States<sup>b</sup> -> North Dakota -> Agriculture, Department of",United States<sup>b</sup>,North Dakota,"Agriculture, Department of",3,299153,299153,0,0,0,0,0
2469,r281,United States<sup>b</sup> -> North Dakota -> Dairy Promotion Commission,United States<sup>b</sup>,North Dakota,Dairy Promotion Commission,3,155170,155170,0,0,0,0,0
2469,r282,United States<sup>b</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>b</sup>,North Dakota,Dry Pea and Lentil Commission,3,135023,135023,0,0,0,0,0
2469,r283,"United States<sup>b</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>b</sup>,North Dakota,"Game and Fish, Department of",3,1375151,0,0,1375151,0,0,0
2469,r284,United States<sup>b</sup> -> North Dakota -> Industrial Commission,United States<sup>b</sup>,North Dakota,Industrial Commission,3,6226265,0,6226265,0,0,0,0
2469,r285,United States<sup>b</sup> -> North Dakota -> Soybean Council,United States<sup>b</sup>,North Dakota,Soybean Council,3,1573679,1312380,3000,171105,29510,57684,0
2469,r286,"United States<sup>b</sup> -> North Dakota -> Transportation, Department of",United States<sup>b</sup>,North Dakota,"Transportation, Department of",3,1279171,0,0,0,0,1279171,0
2469,r287,United States<sup>b</sup> -> North Dakota -> Wheat Commission,United States<sup>b</sup>,North Dakota,Wheat Commission,3,1096746,1096746,0,0,0,0,0
2469,r288,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,,2,97758379,0,14557578,58098202,3200453,6886766,15015380
2469,r289,United States<sup>b</sup> -> Ohio -> Development Services Agency,United States<sup>b</sup>,Ohio,Development Services Agency,3,85774800,0,14557578,53616065,3200453,324,14400380
2469,r290,"United States<sup>b</sup> -> Ohio -> Education, Department of",United States<sup>b</sup>,Ohio,"Education, Department of",3,615000,0,0,0,0,0,615000
2469,r291,United States<sup>b</sup> -> Ohio -> Environmental Protection Agency,United States<sup>b</sup>,Ohio,Environmental Protection Agency,3,20174,0,0,20174,0,0,0
2469,r292,"United States<sup>b</sup> -> Ohio -> Natural Resources, Department of",United States<sup>b</sup>,Ohio,"Natural Resources, Department of",3,2940286,0,0,2940286,0,0,0
2469,r293,"United States<sup>b</sup> -> Ohio -> Transportation, Department of",United States<sup>b</sup>,Ohio,"Transportation, Department of",3,6886442,0,0,0,0,6886442,0
2469,r294,United States<sup>b</sup> -> Ohio -> Water Development Authority,United States<sup>b</sup>,Ohio,Water Development Authority,3,1521677,0,0,1521677,0,0,0
2469,r295,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,,2,29607888,1058791,684211,3697616,16263121,6849411,1054738
2469,r296,"United States<sup>b</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>b</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,5753552,423987,684211,112333,3324582,287945,920494
2469,r297,"United States<sup>b</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>b</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,634804,634804,0,0,0,0,0
2469,r298,"United States<sup>b</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>b</sup>,Oklahoma,"Environmental Quality, Department of",3,80399,0,0,0,30399,50000,0
2469,r299,"United States<sup>b</sup> -> Oklahoma -> Health, Department of",United States<sup>b</sup>,Oklahoma,"Health, Department of",3,608140,0,0,0,608140,0,0
2469,r300,"United States<sup>b</sup> -> Oklahoma -> Human Services, Department of",United States<sup>b</sup>,Oklahoma,"Human Services, Department of",3,134244,0,0,0,0,0,134244
2469,r301,United States<sup>b</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>b</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12300000,0,0,0,12300000,0,0
2469,r302,"United States<sup>b</sup> -> Oklahoma -> Transportation, Department of",United States<sup>b</sup>,Oklahoma,"Transportation, Department of",3,6511466,0,0,0,0,6511466,0
2469,r303,"United States<sup>b</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>b</sup>,Oklahoma,"Wildlife Conservation, Department of",3,3585283,0,0,3585283,0,0,0
2469,r304,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,,2,44222659,1638762,4550000,19896508,6000000,5411595,6725794
2469,r305,"United States<sup>b</sup> -> Oregon -> Agriculture, Department of",United States<sup>b</sup>,Oregon,"Agriculture, Department of",3,388762,388762,0,0,0,0,0
2469,r306,United States<sup>b</sup> -> Oregon -> Business Oregon,United States<sup>b</sup>,Oregon,Business Oregon,3,14800000,1250000,4550000,2250000,6000000,750000,0
2469,r307,"United States<sup>b</sup> -> Oregon -> Education, Department of",United States<sup>b</sup>,Oregon,"Education, Department of",3,657595,0,0,0,0,0,657595
2469,r308,"United States<sup>b</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>b</sup>,Oregon,"Environmental Quality, Department of",3,458000,0,0,0,0,0,458000
2469,r309,"United States<sup>b</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>b</sup>,Oregon,"Fish and Wildlife, Department of",3,14235414,0,0,14235414,0,0,0
2469,r310,"United States<sup>b</sup> -> Oregon -> Forestry, Department of",United States<sup>b</sup>,Oregon,"Forestry, Department of",3,522777,0,0,522777,0,0,0
2469,r311,"United States<sup>b</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>b</sup>,Oregon,"Geology and Mineral Industries, Department of",3,814431,0,0,739960,0,0,74471
2469,r312,"United States<sup>b</sup> -> Oregon -> Human Services, Department of",United States<sup>b</sup>,Oregon,"Human Services, Department of",3,5535728,0,0,0,0,0,5535728
2469,r313,"United States<sup>b</sup> -> Oregon -> Transportation, Department of",United States<sup>b</sup>,Oregon,"Transportation, Department of",3,5090034,0,0,428439,0,4661595,0
2469,r314,United States<sup>b</sup> -> Oregon -> Water Resources Department,United States<sup>b</sup>,Oregon,Water Resources Department,3,810484,0,0,810484,0,0,0
2469,r315,United States<sup>b</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>b</sup>,Oregon,Watershed Enhancement Board,3,909434,0,0,909434,0,0,0
2469,r316,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,,2,85050999,3187000,5323743,8385384,53335777,3913899,10905196
2469,r317,"United States<sup>b</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>b</sup>,Pennsylvania,"Agriculture, Department of",3,2187000,2187000,0,0,0,0,0
2469,r318,"United States<sup>b</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>b</sup>,Pennsylvania,"Community and Economic Development, Department of",3,21600000,1000000,5000000,0,5000000,0,10600000
2469,r319,"United States<sup>b</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>b</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,42124,0,0,42124,0,0,0
2469,r320,"United States<sup>b</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>b</sup>,Pennsylvania,"Environmental Protection, Department of",3,1445473,0,323743,1121730,0,0,0
2469,r321,United States<sup>b</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>b</sup>,Pennsylvania,Fish and Boat Commission,3,131845,0,0,131845,0,0,0
2469,r322,United States<sup>b</sup> -> Pennsylvania -> Game Commission,United States<sup>b</sup>,Pennsylvania,Game Commission,3,9287658,0,0,6939685,2042777,0,305196
2469,r323,"United States<sup>b</sup> -> Pennsylvania -> Health, Department of",United States<sup>b</sup>,Pennsylvania,"Health, Department of",3,46293000,0,0,0,46293000,0,0
2469,r324,United States<sup>b</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>b</sup>,Pennsylvania,Susquehanna River Basin Commission,3,150000,0,0,150000,0,0,0
2469,r325,"United States<sup>b</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>b</sup>,Pennsylvania,"Transportation, Department of",3,3913899,0,0,0,0,3913899,0
2469,r326,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,,2,5512380,49042,0,3507663,150000,1225000,580675
2469,r327,United States<sup>b</sup> -> Rhode Island -> Commerce Corporation,United States<sup>b</sup>,Rhode Island,Commerce Corporation,3,1203652,49042,0,423935,150000,0,580675
2469,r328,"United States<sup>b</sup> -> Rhode Island -> Environmental Management, Department of",United States<sup>b</sup>,Rhode Island,"Environmental Management, Department of",3,3028728,0,0,3028728,0,0,0
