table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1220,r090,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,6,16.5,19.0,,9.5,15.8,,45.4,21.6,23.1,31.0,6.1
1220,r091,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",6,31.4,28.0,45.2,30.4,48.1,37.7,16.2,43.9,20.8,14.5,46.5
1220,r092,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,35.8,36.0,22.2,48.4,21.9,32.5,17.6,25.7,23.3,31.9,34.7
1220,r093,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>c</sup>,6,7.8,8.0,14.3,6.8,7.1,7.8,13.0,6.5,8.9,7.1,8.5
1220,r094,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),,,4,3313,3029,87,837,67,23,43,187,880,905,284
1220,r095,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r096,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,6,27.0,29.0,13.8,,32.8,,,,46.5,38.8,7.4
1220,r097,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,6,11.3,12.0,5.7,,,0.0,48.8,27.3,10.8,14.5,2.8
1220,r098,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",6,14.8,14.0,42.5,,,,,22.5,10.8,7.0,27.1
1220,r099,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,37.2,36.0,27.6,57.9,35.8,,25.6,,20.3,29.8,51.1
1220,r100,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>c</sup>,6,9.7,10.0,10.3,7.6,9.0,8.7,7.0,6.4,11.6,9.9,11.6
1220,r101,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),,,4,36226,33102,1324,11316,527,1189,868,3096,8112,6670,3124
1220,r102,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r103,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Personal or family funds,6,15.4,16.0,12.2,6.2,19.7,4.3,7.1,3.1,33.2,23.4,5.1
1220,r104,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Teaching assistantship,6,18.5,20.0,13.4,12.1,9.5,17.7,54.3,22.0,20.0,29.5,5.3
1220,r105,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",6,27.1,26.0,36.9,29.3,29.2,37.3,13.4,44.0,22.2,14.0,38.7
1220,r106,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,32.4,31.0,28.2,47.3,29.0,36.8,19.5,26.9,16.1,26.4,43.1
1220,r107,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,White (number),All sources,Other<sup>c</sup>,6,6.5,6.0,9.4,5.1,12.5,3.8,5.8,4.0,8.6,6.7,7.8
1220,r108,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),,,4,1666,1500,39,536,24,39,36,141,361,324,166
1220,r109,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r110,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,6,15.6,17.0,,5.6,,,,,34.9,26.5,3.6
1220,r111,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,6,16.3,17.0,,9.3,,,58.3,24.1,,,6.0
1220,r112,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",6,24.0,23.0,,25.6,37.5,25.6,,,,,36.7
1220,r113,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,39.4,39.0,,56.3,25.0,,,36.2,18.8,34.9,46.4
1220,r114,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,More than one race (number),All sources,Other<sup>c</sup>,6,4.7,5.0,2.6,3.2,12.5,7.7,0.0,3.5,6.4,4.6,7.2
1220,r115,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),,,4,392,352,11,111,,,,27,81,92,40
1220,r116,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r117,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,6,12.8,,9.1,7.2,,12.5,0.0,0.0,21.0,21.7,
1220,r118,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,6,14.3,16.0,18.2,9.0,22.2,0.0,46.2,22.2,9.9,22.8,2.5
1220,r119,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",6,17.3,,18.2,22.5,,,7.7,29.6,7.4,7.6,
1220,r120,"All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,27.8,,9.1,45.0,11.1,25.0,,18.5,16.0,27.2,
1220,r121,All recipients (number)<sup>a</sup> -> Female (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>c</sup>,6,27.8,27.0,45.5,16.2,33.3,25.0,30.8,29.6,45.7,20.7,32.5
1220,r122,All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number),All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),,,,3,958,835,37,203,22,24,30,62,294,163,123
1220,r123,All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources,All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r124,All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,Personal or family funds,,5,3.5,4.0,0.0,3.9,9.1,0.0,0.0,1.6,4.8,4.9,0.8
1220,r125,All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,Teaching assistantship,,5,4.4,5.0,2.7,3.9,0.0,0.0,23.3,3.2,3.1,9.2,0.0
1220,r126,"All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,4.8,5.0,8.1,10.3,4.5,12.5,0.0,9.7,1.7,2.5,2.4
1220,r127,"All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship","Fellowship, scholarship, or grant<sup>b</sup>",6,6.8,6.0,8.1,11.3,22.7,4.2,3.3,6.5,3.1,4.3,9.8
1220,r128,All recipients (number)<sup>a</sup> -> Female (number) -> Ethnicity not reported (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Female (number),Ethnicity not reported (number),All sources,Other<sup>c</sup>,,5,80.5,80.0,81.1,70.4,63.6,83.3,73.3,79.0,87.4,79.1,87.0
1220,r129,All recipients (number)<sup>a</sup> -> Male (number),All recipients (number)<sup>a</sup>,Male (number),,,,,2,62551,47342,1801,14029,3269,1792,3341,9712,4507,8891,15209
1220,r130,All recipients (number)<sup>a</sup> -> Male (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r131,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,,,4,9.9,11.0,12.0,5.2,13.1,6.6,5.0,3.3,28.0,21.4,6.7
1220,r132,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),All sources,Teaching assistantship,,,4,16.8,20.0,8.4,11.1,8.3,14.6,54.0,20.0,23.2,29.2,5.8
1220,r133,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),All sources,"Research assistantship, traineeship, or internship",,,4,33.0,29.0,41.6,28.3,43.9,42.3,12.9,47.9,17.6,12.4,44.6
1220,r134,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,,4,29.9,31.0,23.1,48.4,20.8,28.6,19.5,21.9,18.4,27.3,28.2
1220,r135,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),All sources,Other<sup>c</sup>,,,4,10.4,9.0,14.8,7.0,14.0,7.9,8.5,6.9,12.7,9.7,14.7
1220,r136,All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number),All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),,,,3,3796,2883,104,969,147,87,170,484,337,585,913
1220,r137,All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r138,All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,Personal or family funds,,5,10.2,11.0,11.5,5.7,,8.0,,2.7,31.5,16.6,6.8
1220,r139,All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,Teaching assistantship,,5,15.0,18.0,8.7,7.0,,21.8,,20.2,17.5,30.3,5.8
1220,r140,"All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Research assistantship, traineeship, or internship",,5,24.2,21.0,30.8,19.9,,29.9,,33.7,13.9,10.3,36.0
1220,r141,"All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,5,39.7,41.0,31.7,59.3,25.9,35.6,31.8,34.5,24.3,32.8,36.7
1220,r142,All recipients (number)<sup>a</sup> -> Male (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Hispanic or Latino<sup>d</sup> (number),All sources,Other<sup>c</sup>,,5,10.9,10.0,17.3,8.0,13.6,4.6,8.2,8.9,12.8,10.1,14.7
1220,r143,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,,,,3,,,,,,,,,,,
1220,r144,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,4,163,132,9,19,,,,,22,52,31
1220,r145,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r146,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,6,18.4,,,,0.0,,0.0,,31.8,28.8,
1220,r147,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,6,15.3,,,,0.0,,,,,,
1220,r148,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",6,16.0,,,,,,0.0,,,,
1220,r149,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,36.2,,,,,,0.0,,22.7,34.6,
1220,r150,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>c</sup>,6,14.1,14.0,11.1,15.8,33.3,0.0,,13.3,4.5,,12.9
1220,r151,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),,,4,5893,3794,72,1432,476,70,309,758,185,492,2099
1220,r152,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r153,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,6,6.7,7.0,,4.9,11.6,,4.2,3.0,19.5,11.6,6.2
1220,r154,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,6,14.0,18.0,,7.4,9.5,,48.5,22.0,22.7,35.4,6.4
1220,r155,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",6,37.5,31.0,52.8,27.6,45.8,47.1,12.6,46.4,19.5,11.6,49.7
1220,r156,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,31.2,35.0,13.9,53.1,17.6,24.3,23.9,19.7,25.9,33.7,25.2
1220,r157,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>c</sup>,6,10.5,10.0,16.7,7.1,15.5,15.7,10.7,8.8,12.4,7.7,12.4
1220,r158,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),,,4,2425,1868,71,505,109,33,98,242,204,606,557
1220,r159,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r160,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,6,21.8,25.0,26.8,,27.5,,,,39.7,43.2,11.7
1220,r161,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,6,14.1,16.0,8.5,,,,51.0,,11.8,15.7,7.9
1220,r162,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",6,18.3,16.0,28.2,,,,,27.3,10.8,7.8,27.6
1220,r163,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,34.5,33.0,23.9,56.6,27.5,,28.6,,24.0,21.1,38.2
1220,r164,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>c</sup>,6,11.3,10.0,12.7,6.9,20.2,3.0,6.1,7.9,13.7,12.2,14.5
1220,r165,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),,,4,46510,35866,1456,10314,2304,1502,2518,7667,3506,6599,10644
1220,r166,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r167,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,Personal or family funds,6,9.8,11.0,11.7,5.1,12.8,6.3,5.0,3.5,28.3,20.9,6.9
1220,r168,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,Teaching assistantship,6,17.9,22.0,8.9,12.4,8.6,14.8,57.4,19.7,25.0,30.7,5.8
1220,r169,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",6,34.8,31.0,44.0,29.9,46.5,43.9,14.0,50.6,18.9,13.6,46.6
1220,r170,"All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>b</sup>",6,29.3,30.0,23.3,46.9,21.2,28.5,18.1,21.2,17.4,27.1,28.4
1220,r171,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,White (number),All sources,Other<sup>c</sup>,6,8.2,7.0,12.2,5.6,11.0,6.5,5.5,5.0,10.4,7.7,12.2
1220,r172,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number),All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),,,4,1626,1267,21,428,84,43,87,265,104,235,359
1220,r173,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r174,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,6,7.9,9.0,,,,,,,26.0,22.1,3.6
1220,r175,All recipients (number)<sup>a</sup> -> Male (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,6,16.8,20.0,0.0,9.1,,,52.9,23.8,,,5.3
