table_id,row_id,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_7,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1295,r107,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,7,84000,0.05,,,91000,,79000,
1295,r108,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,,5,90000,86000,,99000,84000,,90000,86000
1295,r109,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,29 and younger,,6,69000,65000,,60000,64000,,73000,S
1295,r110,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,30&#8211;39,,6,94000,95000,,107000,85000,,90000,86000
1295,r111,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,40&#8211;49,,6,101000,105000,,119000,98000,,98000,
1295,r112,Both sexes -> Female&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,50&#8211;75,,6,119000,164000,,101000,S,,124000,
1295,r113,Both sexes -> Female&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160;,Both sexes,Female&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,,,,4,70000,62000,66000,86000,60000,89000,68000,83000
1295,r114,Both sexes -> Female&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 29 and younger,Both sexes,Female&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,29 and younger,,,5,53000,53000,S,54000,49000,,52000,60000
1295,r115,Both sexes -> Female&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 30&#8211;39,Both sexes,Female&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,30&#8211;39,,,5,70000,60000,S,89000,55000,,68000,88000
1295,r116,Both sexes -> Female&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 40&#8211;49,Both sexes,Female&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,40&#8211;49,,,5,76000,80000,,90000,59000,S,74000,97000
1295,r117,Both sexes -> Female&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 50&#8211;75,Both sexes,Female&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,50&#8211;75,,,5,80000,62000,S,99000,83000,S,78000,62000
1295,r118,Both sexes -> Female&#160; -> All occupations -> Non-S&E occupations,Both sexes,Female&#160;,All occupations,Non-S&E occupations,,,,4,58000,52000,45000,70000,47000,87000,60000,52000
1295,r119,Both sexes -> Female&#160; -> All occupations -> Non-S&E occupations -> 29 and younger,Both sexes,Female&#160;,All occupations,Non-S&E occupations,29 and younger,,,5,40000,39000,0.05,46000,39000,S,40000,42000
1295,r120,Both sexes -> Female&#160; -> All occupations -> Non-S&E occupations -> 30&#8211;39,Both sexes,Female&#160;,All occupations,Non-S&E occupations,30&#8211;39,,,5,60000,59000,73000,77000,45000,90000,60000,55000
1295,r121,Both sexes -> Female&#160; -> All occupations -> Non-S&E occupations -> 40&#8211;49,Both sexes,Female&#160;,All occupations,Non-S&E occupations,40&#8211;49,,,5,67000,59000,,69000,48000,S,70000,71000
1295,r122,Both sexes -> Female&#160; -> All occupations -> Non-S&E occupations -> 50&#8211;75,Both sexes,Female&#160;,All occupations,Non-S&E occupations,50&#8211;75,,,5,68000,50000,S,66000,59000,,70000,66000
1295,r123,Both sexes -> Male&#160;,Both sexes,Male&#160;,,,,,,2,,,,,,,,
1295,r124,Both sexes -> Male&#160; -> All occupations,Both sexes,Male&#160;,All occupations,,,,,3,90000,79000,75000,100000,70000,82000,93000,79000
1295,r125,Both sexes -> Male&#160; -> All occupations -> 29 and younger,Both sexes,Male&#160;,All occupations,29 and younger,,,,4,59000,52000,S,65000,48000,S,60000,59000
1295,r126,Both sexes -> Male&#160; -> All occupations -> 30&#8211;39,Both sexes,Male&#160;,All occupations,30&#8211;39,,,,4,82000,74000,75000,97000,58000,100000,80000,76000
1295,r127,Both sexes -> Male&#160; -> All occupations -> 40&#8211;49,Both sexes,Male&#160;,All occupations,40&#8211;49,,,,4,105000,93000,80000,120000,82000,85000,106000,89000
1295,r128,Both sexes -> Male&#160; -> All occupations -> 50&#8211;75,Both sexes,Male&#160;,All occupations,50&#8211;75,,,,4,103000,98000,S,107000,79000,77000,105000,112000
1295,r129,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup>,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,,,,4,95000,79000,75000,100000,80000,84000,96000,90000
1295,r130,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,5,66000,52000,S,72000,54000,S,68000,60000
1295,r131,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,5,90000,80000,108000,100000,77000,118000,89000,90000
1295,r132,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,5,105000,93000,S,115000,82000,83000,107000,96000
1295,r133,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,5,110000,99000,94000,116000,95000,68000,110000,114000
1295,r134,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,5,95000,70000,62000,103000,75000,78000,95000,90000
1295,r135,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,6,62000,S,,75000,51000,,65000,55000
1295,r136,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,6,90000,72000,,99000,70000,S,85000,89000
1295,r137,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,6,103000,81000,S,115000,72000,,105000,90000
1295,r138,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,6,107000,89000,91000,119000,92000,S,106000,122000
1295,r139,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,,6,61000,54000,0.05,58000,90000,0.05,62000,56000
1295,r140,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,29 and younger,7,43000,32000,,33000,,,44000,S
1295,r141,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,30&#8211;39,7,55000,47000,,48000,S,,57000,64000
1295,r142,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,40&#8211;49,7,87000,91000,,79000,,,88000,S
1295,r143,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,50&#8211;75,7,95000,100000,,88000,99000,,95000,
1295,r144,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,6,100000,79000,S,108000,76000,75000,100000,97000
1295,r145,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,7,75000,63000,,85000,51000,,75000,66000
1295,r146,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,7,97000,75000,S,105000,79000,,95000,96000
1295,r147,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,7,109000,93000,,120000,71000,,110000,92000
1295,r148,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,7,110000,93000,,121000,88000,,109000,124000
1295,r149,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,6,81000,65000,,98000,,,84000,112000
1295,r150,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,7,62000,S,,72000,,,60000,0.05
1295,r151,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,7,71000,S,,99000,S,,78000,S
1295,r152,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,7,99000,,,93000,S,,107000,
1295,r153,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,7,97000,,,125000,95000,,95000,
1295,r154,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,6,80000,80000,S,64000,65000,,86000,70000
1295,r155,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,7,33000,,,24000,,,34000,
1295,r156,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,7,67000,51000,,61000,64000,,70000,
1295,r157,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,7,81000,80000,,103000,,,92000,
1295,r158,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,7,105000,63000,,100000,110000,,107000,
1295,r159,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,6,79000,73000,,98000,S,,79000,
1295,r160,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,7,S,S,,,,,,
1295,r161,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,7,69000,,,,,,68000,
1295,r162,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,7,82000,,,,,,82000,
1295,r163,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,7,92000,86000,,S,,,90000,
1295,r164,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,6,70000,S,,96000,108000,,83000,68000
1295,r165,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,7,S,S,,S,,,53000,
1295,r166,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,7,70000,70000,,83000,S,,64000,62000
1295,r167,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,7,89000,79000,,115000,S,,88000,
1295,r168,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,7,103000,S,,99000,141000,,103000,
1295,r169,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,,5,97000,90000,75000,99000,90000,108000,99000,85000
1295,r170,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,29 and younger,,6,70000,74000,,70000,71000,,70000,67000
1295,r171,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,30&#8211;39,,6,90000,90000,,95000,84000,0.05,90000,90000
1295,r172,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,40&#8211;49,,6,109000,106000,S,113000,90000,109000,109000,107000
1295,r173,Both sexes -> Male&#160; -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations&#160; -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E occupations<sup>b</sup>,Engineering occupations&#160;,50&#8211;75,,6,115000,109000,,110000,101000,,117000,111000
1295,r174,Both sexes -> Male&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160;,Both sexes,Male&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,,,,4,95000,92000,163000,109000,64000,70000,95000,73000
1295,r175,Both sexes -> Male&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 29 and younger,Both sexes,Male&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,29 and younger,,,5,55000,54000,,57000,39000,S,55000,68000
1295,r176,Both sexes -> Male&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 30&#8211;39,Both sexes,Male&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,30&#8211;39,,,5,76000,77000,S,103000,54000,,74000,63000
1295,r177,Both sexes -> Male&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 40&#8211;49,Both sexes,Male&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,40&#8211;49,,,5,110000,92000,,147000,93000,S,107000,68000
1295,r178,Both sexes -> Male&#160; -> All occupations -> S&E-related occupations<sup>c</sup>&#160; -> 50&#8211;75,Both sexes,Male&#160;,All occupations,S&E-related occupations<sup>c</sup>&#160;,50&#8211;75,,,5,115000,103000,S,110000,98000,,118000,128000
1295,r179,Both sexes -> Male&#160; -> All occupations -> Non-S&E occupations,Both sexes,Male&#160;,All occupations,Non-S&E occupations,,,,4,85000,73000,55000,85000,59000,85000,90000,69000
1295,r180,Both sexes -> Male&#160; -> All occupations -> Non-S&E occupations -> 29 and younger,Both sexes,Male&#160;,All occupations,Non-S&E occupations,29 and younger,,,5,49000,57000,S,55000,48000,S,47000,54000
1295,r181,Both sexes -> Male&#160; -> All occupations -> Non-S&E occupations -> 30&#8211;39,Both sexes,Male&#160;,All occupations,Non-S&E occupations,30&#8211;39,,,5,75000,64000,74000,91000,52000,59000,77000,74000
1295,r182,Both sexes -> Male&#160; -> All occupations -> Non-S&E occupations -> 40&#8211;49,Both sexes,Male&#160;,All occupations,Non-S&E occupations,40&#8211;49,,,5,100000,95000,,106000,79000,S,104000,71000
1295,r183,Both sexes -> Male&#160; -> All occupations -> Non-S&E occupations -> 50&#8211;75,Both sexes,Male&#160;,All occupations,Non-S&E occupations,50&#8211;75,,,5,95000,89000,57000,63000,63000,S,100000,S
