table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
8140,r076_9,,SED field of study information,Start year,,2,1958
8140,r076_10,,SED field of study information,End year,,2,Present
8140,r077_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1710
8140,r077_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biological and biomedical sciences, other"
8140,r077_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,107
8140,r077_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biotechnology
8140,r077_9,,SED field of study information,Start year,,2,1993
8140,r077_10,,SED field of study information,End year,,2,Present
8140,r078_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,199
8140,r078_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Biology/ biomedical sciences, other"
8140,r078_9,,SED field of study information,Start year,,2,1958
8140,r078_10,,SED field of study information,End year,,2,Present
8140,r079_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,2
8140,r079_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Computer and information sciences
8140,r079_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,21
8140,r079_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Computer and information sciences
8140,r079_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2101
8140,r079_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Computer science
8140,r079_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,400
8140,r079_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computer science
8140,r079_9,,SED field of study information,Start year,,2,1973
8140,r079_10,,SED field of study information,End year,,2,Present
8140,r080_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2102
8140,r080_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Information science, studies"
8140,r080_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,410
8140,r080_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Information science/ systems
8140,r080_9,,SED field of study information,Start year,,2,1983
8140,r080_10,,SED field of study information,End year,,2,Present
8140,r081_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,2103
8140,r081_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Computer and information sciences, other"
8140,r081_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,418
8140,r081_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Computer and information sciences, general"
8140,r081_9,,SED field of study information,Start year,,2,2014
8140,r081_10,,SED field of study information,End year,,2,Present
8140,r082_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,419
8140,r082_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Computer/ information sciences, other"
8140,r082_9,,SED field of study information,Start year,,2,1999
8140,r082_10,,SED field of study information,End year,,2,Present
8140,r083_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,3
8140,r083_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Mathematics and statistics
8140,r083_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,31
8140,r083_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Mathematics and statistics
8140,r083_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3101
8140,r083_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Applied mathematics
8140,r083_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,420
8140,r083_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied mathematics
8140,r083_9,,SED field of study information,Start year,,2,1958
8140,r083_10,,SED field of study information,End year,,2,Present
8140,r084_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,461
8140,r084_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computational Mathematics
8140,r084_9,,SED field of study information,Start year,,2,2018
8140,r084_10,,SED field of study information,End year,,2,Present
8140,r085_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3102
8140,r085_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Mathematics
8140,r085_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,425
8140,r085_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Algebra
8140,r085_9,,SED field of study information,Start year,,2,1958
8140,r085_10,,SED field of study information,End year,,2,Present
8140,r086_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,430
8140,r086_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Analysis and functional analysis
8140,r086_9,,SED field of study information,Start year,,2,1958
8140,r086_10,,SED field of study information,End year,,2,Present
8140,r087_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,435
8140,r087_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geometry/ geometric analysis
8140,r087_9,,SED field of study information,Start year,,2,1958
8140,r087_10,,SED field of study information,End year,,2,Present
8140,r088_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,440
8140,r088_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Logic
8140,r088_9,,SED field of study information,Start year,,2,1958
8140,r088_10,,SED field of study information,End year,,2,Present
8140,r089_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,445
8140,r089_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Number theory
8140,r089_9,,SED field of study information,Start year,,2,1958
8140,r089_10,,SED field of study information,End year,,2,Present
8140,r090_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,455
8140,r090_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Topology/ foundations
8140,r090_9,,SED field of study information,Start year,,2,1958
8140,r090_10,,SED field of study information,End year,,2,Present
8140,r091_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,460
8140,r091_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computing theory and practice
8140,r091_9,,SED field of study information,Start year,,2,1960
8140,r091_10,,SED field of study information,End year,,2,Present
8140,r092_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,498
8140,r092_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Mathematics/ statistics, general"
8140,r092_9,,SED field of study information,Start year,,2,1958
8140,r092_10,,SED field of study information,End year,,2,Present
8140,r093_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3103
8140,r093_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Statistics
8140,r093_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,450
8140,r093_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Statistics
8140,r093_9,,SED field of study information,Start year,,2,1958
8140,r093_10,,SED field of study information,End year,,2,Present
8140,r094_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,3104
8140,r094_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Mathematics and statistics, other"
8140,r094_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,465
8140,r094_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Operations research (mathematics)
8140,r094_9,,SED field of study information,Start year,,2,1973
8140,r094_10,,SED field of study information,End year,,2,Present
8140,r095_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,499
8140,r095_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Mathematics/ statistics, other"
8140,r095_9,,SED field of study information,Start year,,2,1958
8140,r095_10,,SED field of study information,End year,,2,Present
8140,r096_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,930
8140,r096_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Operations research (business management/ administration)
8140,r096_9,,SED field of study information,Start year,,2,1983
8140,r096_10,,SED field of study information,End year,,2,Present
8140,r097_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,4
8140,r097_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,"Physical sciences, geosciences, atmospheric, and ocean sciences"
8140,r097_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,41
8140,r097_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Astronomy and astrophysics
8140,r097_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4101
8140,r097_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Astronomy and astrophysics
8140,r097_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,500
8140,r097_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astronomy
8140,r097_9,,SED field of study information,Start year,,2,1969
8140,r097_10,,SED field of study information,End year,,2,Present
8140,r098_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,505
8140,r098_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astrophysics
8140,r098_9,,SED field of study information,Start year,,2,1969
8140,r098_10,,SED field of study information,End year,,2,Present
8140,r099_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,506
8140,r099_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Astronomy and astrophysics
8140,r099_9,,SED field of study information,Start year,,2,1958
8140,r099_10,,SED field of study information,End year,,2,1969
8140,r100_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,509
8140,r100_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Astronomy, other"
8140,r100_9,,SED field of study information,Start year,,2,2010
8140,r100_10,,SED field of study information,End year,,2,Present
8140,r101_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,42
8140,r101_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Chemistry, except biochemistry"
8140,r101_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4201
8140,r101_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Inorganic chemistry
8140,r101_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,522
8140,r101_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Inorganic chemistry
8140,r101_9,,SED field of study information,Start year,,2,1958
8140,r101_10,,SED field of study information,End year,,2,Present
8140,r102_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4202
8140,r102_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Organic chemistry
8140,r102_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,526
8140,r102_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Organic chemistry
8140,r102_9,,SED field of study information,Start year,,2,1958
8140,r102_10,,SED field of study information,End year,,2,Present
8140,r103_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4203
8140,r103_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Chemistry, other, except biochemistry"
8140,r103_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,520
8140,r103_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Analytical chemistry
8140,r103_9,,SED field of study information,Start year,,2,1958
8140,r103_10,,SED field of study information,End year,,2,Present
8140,r104_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,521
8140,r104_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural/ food
8140,r104_9,,SED field of study information,Start year,,2,1958
8140,r104_10,,SED field of study information,End year,,2,1979
8140,r105_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,524
8140,r105_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nuclear chemistry
8140,r105_9,,SED field of study information,Start year,,2,1960
8140,r105_10,,SED field of study information,End year,,2,2003
8140,r106_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,527
8140,r106_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Chemical biology
8140,r106_9,,SED field of study information,Start year,,2,2016
8140,r106_10,,SED field of study information,End year,,2,Present
8140,r107_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,530
8140,r107_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Physical chemistry
8140,r107_9,,SED field of study information,Start year,,2,1958
8140,r107_10,,SED field of study information,End year,,2,Present
8140,r108_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,532
8140,r108_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Polymer chemistry
8140,r108_9,,SED field of study information,Start year,,2,1973
8140,r108_10,,SED field of study information,End year,,2,Present
8140,r109_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,534
8140,r109_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Theoretical chemistry
8140,r109_9,,SED field of study information,Start year,,2,1960
8140,r109_10,,SED field of study information,End year,,2,Present
8140,r110_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,538
8140,r110_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Chemistry, general"
8140,r110_9,,SED field of study information,Start year,,2,1958
8140,r110_10,,SED field of study information,End year,,2,Present
8140,r111_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,539
8140,r111_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Chemistry, other"
8140,r111_9,,SED field of study information,Start year,,2,1958
8140,r111_10,,SED field of study information,End year,,2,Present
8140,r112_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,43
8140,r112_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Geosciences, atmospheric, and ocean sciences"
8140,r112_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4301
8140,r112_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Atmospheric sciences and meteorology
8140,r112_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,510
8140,r112_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atmospheric chemistry and climatology
8140,r112_9,,SED field of study information,Start year,,2,1976
8140,r112_10,,SED field of study information,End year,,2,Present
8140,r113_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,512
8140,r113_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atmospheric physics and dynamics
8140,r113_9,,SED field of study information,Start year,,2,1976
8140,r113_10,,SED field of study information,End year,,2,Present
8140,r114_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,514
8140,r114_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Meteorology
8140,r114_9,,SED field of study information,Start year,,2,1958
8140,r114_10,,SED field of study information,End year,,2,Present
8140,r115_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,518
8140,r115_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Atmospheric science/ meteorology, general"
8140,r115_9,,SED field of study information,Start year,,2,1983
8140,r115_10,,SED field of study information,End year,,2,Present
8140,r116_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,519
8140,r116_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Atmospheric science/ meteorology, other"
8140,r116_9,,SED field of study information,Start year,,2,1976
8140,r116_10,,SED field of study information,End year,,2,Present
8140,r117_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4302
8140,r117_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Geological and earth sciences, geosciences"
8140,r117_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,540
8140,r117_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geology
8140,r117_9,,SED field of study information,Start year,,2,1958
8140,r117_10,,SED field of study information,End year,,2,Present
8140,r118_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,542
8140,r118_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geochemistry
8140,r118_9,,SED field of study information,Start year,,2,1968
8140,r118_10,,SED field of study information,End year,,2,Present
8140,r119_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,544
8140,r119_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geophysics and seismology
8140,r119_9,,SED field of study information,Start year,,2,1976
8140,r119_10,,SED field of study information,End year,,2,Present
8140,r120_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,545
8140,r120_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geophysics, solid earth"
8140,r120_9,,SED field of study information,Start year,,2,1958
8140,r120_10,,SED field of study information,End year,,2,1976
8140,r121_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,546
8140,r121_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Paleontology
8140,r121_9,,SED field of study information,Start year,,2,1958
8140,r121_10,,SED field of study information,End year,,2,Present
8140,r122_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,548
8140,r122_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mineralogy and petrology
8140,r122_9,,SED field of study information,Start year,,2,1969
8140,r122_10,,SED field of study information,End year,,2,Present
8140,r123_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,549
8140,r123_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mineralogy/ petrology/ geological chemistry
8140,r123_9,,SED field of study information,Start year,,2,1958
8140,r123_10,,SED field of study information,End year,,2,1969
8140,r124_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,550
8140,r124_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Stratigraphy and sedimentation
8140,r124_9,,SED field of study information,Start year,,2,1958
8140,r124_10,,SED field of study information,End year,,2,Present
8140,r125_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,552
8140,r125_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Geomorphology and glacial geology
8140,r125_9,,SED field of study information,Start year,,2,1958
8140,r125_10,,SED field of study information,End year,,2,Present
8140,r126_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,554
8140,r126_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied geology
8140,r126_9,,SED field of study information,Start year,,2,1969
8140,r126_10,,SED field of study information,End year,,2,1991
8140,r127_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,555
8140,r127_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied geology/ geological engineering
8140,r127_9,,SED field of study information,Start year,,2,1958
8140,r127_10,,SED field of study information,End year,,2,1969
8140,r128_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,558
8140,r128_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geological and earth sciences, general"
8140,r128_9,,SED field of study information,Start year,,2,1959
8140,r128_10,,SED field of study information,End year,,2,Present
8140,r129_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,559
8140,r129_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Geological and earth sciences, other"
8140,r129_9,,SED field of study information,Start year,,2,1958
8140,r129_10,,SED field of study information,End year,,2,Present
8140,r130_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,585
8140,r130_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Hydrology and water resources
8140,r130_9,,SED field of study information,Start year,,2,1959
8140,r130_10,,SED field of study information,End year,,2,Present
8140,r131_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4303
8140,r131_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Ocean sciences and marine sciences
8140,r131_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,152
8140,r131_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Marine biology and biological oceanography
8140,r131_9,,SED field of study information,Start year,,2,2012
8140,r131_10,,SED field of study information,End year,,2,Present
8140,r132_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,595
8140,r132_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Marine sciences
8140,r132_9,,SED field of study information,Start year,,2,1983
8140,r132_10,,SED field of study information,End year,,2,Present
8140,r133_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,599
8140,r133_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Ocean/ marine, other"
8140,r133_9,,SED field of study information,Start year,,2,1977
8140,r133_10,,SED field of study information,End year,,2,Present
8140,r134_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4304
8140,r134_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Oceanography, chemical and physical"
8140,r134_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,590
8140,r134_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Oceanography, chemical and physical"
8140,r134_9,,SED field of study information,Start year,,2,1958
8140,r134_10,,SED field of study information,End year,,2,Present
8140,r135_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,44
8140,r135_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Physics
8140,r135_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,4401
8140,r135_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Physics
8140,r135_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,560
8140,r135_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Acoustics
8140,r135_9,,SED field of study information,Start year,,2,1958
8140,r135_10,,SED field of study information,End year,,2,Present
8140,r136_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,561
8140,r136_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Atomic/ molecular/ chemical physics
8140,r136_9,,SED field of study information,Start year,,2,1958
8140,r136_10,,SED field of study information,End year,,2,Present
8140,r137_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,562
8140,r137_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electron physics
8140,r137_9,,SED field of study information,Start year,,2,1983
8140,r137_10,,SED field of study information,End year,,2,1991
8140,r138_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,563
8140,r138_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Electromagnetism
8140,r138_9,,SED field of study information,Start year,,2,1958
8140,r138_10,,SED field of study information,End year,,2,1979
8140,r139_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,564
8140,r139_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Particle (elementary) physics
8140,r139_9,,SED field of study information,Start year,,2,1958
8140,r139_10,,SED field of study information,End year,,2,Present
8140,r140_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,565
8140,r140_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biophysics
8140,r140_9,,SED field of study information,Start year,,2,2004
8140,r140_10,,SED field of study information,End year,,2,Present
8140,r141_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,566
8140,r141_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fluids
8140,r141_9,,SED field of study information,Start year,,2,1959
8140,r141_10,,SED field of study information,End year,,2,2003
8140,r142_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,567
8140,r142_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Mechanics
8140,r142_9,,SED field of study information,Start year,,2,1958
8140,r142_10,,SED field of study information,End year,,2,1976
8140,r143_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,568
8140,r143_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nuclear physics
8140,r143_9,,SED field of study information,Start year,,2,1958
8140,r143_10,,SED field of study information,End year,,2,Present
8140,r144_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,569
8140,r144_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Optics/ phototonics
8140,r144_9,,SED field of study information,Start year,,2,1958
8140,r144_10,,SED field of study information,End year,,2,Present
8140,r145_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,570
8140,r145_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plasma/ fusion physics
8140,r145_9,,SED field of study information,Start year,,2,1967
8140,r145_10,,SED field of study information,End year,,2,Present
8140,r146_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,572
8140,r146_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Polymer physics
8140,r146_9,,SED field of study information,Start year,,2,1983
8140,r146_10,,SED field of study information,End year,,2,Present
8140,r147_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,573
8140,r147_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Thermal physics
8140,r147_9,,SED field of study information,Start year,,2,1960
8140,r147_10,,SED field of study information,End year,,2,1981
8140,r148_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,574
8140,r148_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Condensed matter/ low temperature physics
8140,r148_9,,SED field of study information,Start year,,2,1958
8140,r148_10,,SED field of study information,End year,,2,Present
8140,r149_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,576
8140,r149_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Applied physics
8140,r149_9,,SED field of study information,Start year,,2,2004
8140,r149_10,,SED field of study information,End year,,2,Present
8140,r150_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,578
8140,r150_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physics, general"
8140,r150_9,,SED field of study information,Start year,,2,1958
8140,r150_10,,SED field of study information,End year,,2,Present
8140,r151_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,579
8140,r151_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physics, other"
8140,r151_9,,SED field of study information,Start year,,2,1958
8140,r151_10,,SED field of study information,End year,,2,Present
8140,r152_1,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,5
8140,r152_2,,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,Psychology
8140,r152_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,51
8140,r152_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Psychology
8140,r152_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5101
8140,r152_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Clinical psychology
8140,r152_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,600
8140,r152_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Clinical psychology
8140,r152_9,,SED field of study information,Start year,,2,1958
8140,r152_10,,SED field of study information,End year,,2,Present
8140,r153_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,5102
8140,r153_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Counseling and applied psychology
8140,r153_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,602
8140,r153_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Behavioral analysis
8140,r153_9,,SED field of study information,Start year,,2,2012
8140,r153_10,,SED field of study information,End year,,2,Present
