table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_fields,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7655,r085,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,In tenure track faculty position (%),5,41.4,40.8,81.8,25.7,35.2,33.3,52.4
7655,r086,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,Not in tenure track position (%),5,55.5,56.8,17.1,71.0,62.7,64.5,45.8
7655,r087,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Government,,4,7.5,4.6,,4.1,2.7,,9.0
7655,r088,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Industry or business<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Industry or business<sup>f</sup>,,4,31.9,9.5,13.3,8.5,7.5,8.7,12.5
7655,r089,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Nonprofit organization,,4,7.5,6.6,,5.4,7.0,,9.4
7655,r090,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Other or unknown<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Other or unknown<sup>g</sup>,,4,8.2,16.2,2.5,27.3,9.0,8.1,4.3
7655,r091,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,,4,,,,,,,
7655,r092,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Research and development,5,35.9,17.3,46.1,10.8,10.2,15.2,24.0
7655,r093,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Teaching,5,30.7,46.6,32.9,40.6,70.3,59.4,42.6
7655,r094,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Management or administration,5,12.1,22.3,12.7,33.8,9.1,11.6,14.8
7655,r095,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Professional services and other,5,21.3,13.8,8.4,14.8,10.4,13.8,18.6
7655,r096,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,,4,,,,,,,
7655,r097,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Research and development,5,26.2,30.6,34.6,25.0,37.8,32.6,34.8
7655,r098,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Teaching,5,14.3,20.2,48.7,16.9,11.8,12.3,20.9
7655,r099,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Management or administration,5,12.0,10.0,4.6,10.5,11.3,9.4,10.9
7655,r100,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Professional services and other,5,10.0,7.9,4.3,9.3,7.2,7.2,7.6
7655,r101,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,No secondary activity,5,37.4,31.4,7.8,38.3,31.9,38.4,25.8
7655,r102,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Activity unknown,,4,5.1,5.3,3.6,6.1,4.8,7.4,4.3
7655,r103,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,,,3,,,,,,,
7655,r104,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,,4,91.8,91.3,79.1,95.1,89.6,87.4,92.7
7655,r105,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Midwest,5,16.3,17.9,15.8,19.1,16.1,16.6,18.9
7655,r106,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,Northeast,5,21.0,17.9,13.7,15.1,22.5,30.7,18.1
7655,r107,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> South,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,South,5,29.8,37.4,33.8,43.9,31.6,22.6,34.9
7655,r108,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> United States<sup>j</sup> -> West,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,United States<sup>j</sup>,West,5,23.9,17.3,14.8,16.3,18.5,17.6,19.6
7655,r109,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Outside the United States,,4,8.2,8.6,20.6,4.9,10.2,12.6,6.9
7655,r110,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>i</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>i</sup>,Location unknown,,4,0.1,0.1,0.3,0.0,0.1,0.0,0.3
7655,r111,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,3,40.8,47.0,21.6,63.1,39.2,35.2,35.3
