table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_total_r_d_expenditures_all_r_d,field_total_r_d_expenditures_basic_research,field_total_r_d_expenditures_applied_research,field_total_r_d_expenditures_experimental_development,field_federally_funded_all_federal_r_d,field_federally_funded_basic_research,field_federally_funded_applied_research,field_federally_funded_experimental_development,field_nonfederally_funded_all_nonfederal_r_d,field_nonfederally_funded_basic_research,field_nonfederally_funded_applied_research,field_nonfederally_funded_experimental_development
12491,r072,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Climate Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Climate Program Office,,5,"['36,844', '']","['0', '']","['25,262', '']","['11,582', '']","['36,844', '']","['0', '']","['25,262', '']","['11,582', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r073,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Earth System Research Laboratories,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Earth System Research Laboratories,,5,"['2,995', '']","['0', '']","['2,127', '']","['868', '']","['2,995', '']","['0', '']","['2,127', '']","['868', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r074,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Geophysical Fluid Dynamics Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Geophysical Fluid Dynamics Laboratory,,5,"['26,840', '']","['0', '']","['24,860', '']","['1,981', '']","['26,840', '']","['0', '']","['24,860', '']","['1,981', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r075,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Monitoring Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Monitoring Laboratory,,5,"['18,811', '']","['0', '']","['16,919', '']","['1,892', '']","['18,811', '']","['0', '']","['16,919', '']","['1,892', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r076,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Ocean Monitoring and Observing Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Ocean Monitoring and Observing Program,,5,"['16,745', '']","['0', '']","['10,206', '']","['6,539', '']","['16,745', '']","['0', '']","['10,206', '']","['6,539', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r077,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Systems Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Systems Laboratory,,5,"['15,959', '']","['0', '']","['8,796', '']","['7,163', '']","['15,959', '']","['0', '']","['8,796', '']","['7,163', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r078,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Great Lakes Environmental Research Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Great Lakes Environmental Research Laboratory,,5,"['12,660', '']","['0', '']","['12,568', '']","['92', '']","['12,660', '']","['0', '']","['12,568', '']","['92', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r079,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Sea Grant College Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Sea Grant College Program,,5,"['21,562', '']","['0', '']","['20,810', '']","['752', '']","['21,562', '']","['0', '']","['20,810', '']","['752', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r080,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Severe Storms Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Severe Storms Laboratory,,5,"['26,747', '']","['0', '']","['20,769', '']","['5,978', '']","['26,747', '']","['0', '']","['20,769', '']","['5,978', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r081,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Ocean Acidification Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Ocean Acidification Program,,5,"['1,475', '']","['0', '']","['1,471', '']","['4', '']","['1,475', '']","['0', '']","['1,471', '']","['4', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r082,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Ocean Exploration and Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Ocean Exploration and Research,,5,"['24,242', '']","['0', '']","['23,401', '']","['841', '']","['24,242', '']","['0', '']","['23,401', '']","['841', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r083,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Research Transition and Application,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Research Transition and Application,,5,"['7,988', '']","['0', '']","['6,616', '']","['1,372', '']","['7,988', '']","['0', '']","['6,616', '']","['1,372', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r084,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Pacific Marine Environment Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Pacific Marine Environment Laboratory,,5,"['26,030', '']","['0', '']","['21,173', '']","['4,858', '']","['26,030', '']","['0', '']","['21,173', '']","['4,858', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r085,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Physical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Physical Sciences Laboratory,,5,"['19,840', '']","['0', '']","['16,962', '']","['2,877', '']","['19,840', '']","['0', '']","['16,962', '']","['2,877', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r086,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Weather Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Weather Program Office,,5,"['23,007', '']","['0', '']","['17,852', '']","['5,156', '']","['23,007', '']","['0', '']","['17,852', '']","['5,156', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r087,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,,4,"['25,577', '']","['0', '']","['25,156', '']","['420', '']","['25,577', '']","['0', '']","['25,156', '']","['420', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r088,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> Marine and Aviation Operations Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,Marine and Aviation Operations Center,,5,"['5,424', '']","['0', '']","['5,004', '']","['420', '']","['5,424', '']","['0', '']","['5,004', '']","['420', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r089,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> National Oceanic and Atmospheric Administration Corps,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,National Oceanic and Atmospheric Administration Corps,,5,"['20,152', '']","['0', '']","['20,152', '']","['0', '']","['20,152', '']","['0', '']","['20,152', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r090,All agencies -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Department of Commerce,National Telecommunications and Information Administration,,,,3,"['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r091,All agencies -> Department of Commerce -> National Telecommunications and Information Administration -> Institute for Telecommunication Sciences,All agencies,Department of Commerce,National Telecommunications and Information Administration,Institute for Telecommunication Sciences,,,4,"['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['7,310', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r092,All agencies -> Department of Defense,All agencies,Department of Defense,,,,,2,"['20,864,136', ' ']","['763,485', ' ']","['2,784,669', 'i']","['17,315,982', ' ']","['20,680,994', ' ']","['763,377', ' ']","['2,757,171', 'i']","['17,160,446', ' ']","['183,142', ' ']","['107', ' ']","['27,498', ' ']","['155,537', ' ']"
12491,r093,All agencies -> Department of Defense -> Defense Information Systems Agency,All agencies,Department of Defense,Defense Information Systems Agency,,,,3,"['64,816', '']","['0', '']","['0', '']","['64,816', '']","['63,366', '']","['0', '']","['0', '']","['63,366', '']","['1,450', '']","['0', '']","['0', '']","['1,450', '']"
12491,r094,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,,,,3,"['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r095,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command,All agencies,Department of Defense,Department of the Air Force,Materiel Command,,,4,"['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r096,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Civil Engineer Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Civil Engineer Center,,5,"['27,922', 'i']","['0', 'i']","['0', 'i']","['27,922', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r097,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Life Cycle Management Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Life Cycle Management Center,,5,"['2,560,962', 'i']","['0', 'i']","['0', 'i']","['2,560,962', 'i']","['2,560,962', 'i']","['0', 'i']","['0', 'i']","['2,560,962', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r098,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Nuclear Weapons Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Nuclear Weapons Center,,5,"['511,311', 'i']","['0', 'i']","['0', 'i']","['511,311', 'i']","['511,311', 'i']","['0', 'i']","['0', 'i']","['511,311', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r099,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Research Laboratory,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Research Laboratory,,5,"['2,670,981', 'i']","['170,459', 'i']","['1,225,972', 'i']","['1,274,549', 'i']","['2,670,981', 'i']","['170,459', 'i']","['1,225,972', 'i']","['1,274,549', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r100,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Test Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Test Center,,5,"['593,645', 'i']","['0', 'i']","['0', 'i']","['593,645', 'i']","['593,645', 'i']","['0', 'i']","['0', 'i']","['593,645', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r101,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,,,,3,"['5,816,747', ' ']","['273,149', ' ']","['997,694', ' ']","['4,545,904', ' ']","['5,765,621', ' ']","['273,149', ' ']","['971,580', ' ']","['4,520,892', ' ']","['51,126', ' ']","['0', ' ']","['26,114', ' ']","['25,012', ' ']"
12491,r102,All agencies -> Department of Defense -> Department of the Army -> Army Cyber Command,All agencies,Department of Defense,Department of the Army,Army Cyber Command,,,4,"['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r103,All agencies -> Department of Defense -> Department of the Army -> Army Engineer Research and Development Center,All agencies,Department of Defense,Department of the Army,Army Engineer Research and Development Center,,,4,"['725,537', '']","['20,058', '']","['103,211', '']","['602,268', '']","['718,545', '']","['20,058', '']","['102,184', '']","['596,303', '']","['6,992', '']","['0', '']","['1,027', '']","['5,965', '']"
12491,r104,All agencies -> Department of Defense -> Department of the Army -> Army Medical Research and Development Command,All agencies,Department of Defense,Department of the Army,Army Medical Research and Development Command,,,4,"['472,520', '']","['27,494', '']","['207,055', '']","['237,970', '']","['458,435', '']","['27,494', '']","['193,037', '']","['237,905', '']","['14,085', '']","['0', '']","['14,019', '']","['66', '']"
12491,r105,All agencies -> Department of Defense -> Department of the Army -> Army Research Institute for the Behavioral and Social Sciences,All agencies,Department of Defense,Department of the Army,Army Research Institute for the Behavioral and Social Sciences,,,4,"['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r106,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM),All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),,,4,"['3,630,576', '']","['182,018', '']","['515,149', '']","['2,933,410', '']","['3,630,552', '']","['182,018', '']","['515,131', '']","['2,933,404', '']","['24', '']","['0', '']","['18', '']","['6', '']"
12491,r107,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Armaments Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Armaments Center,,5,"['708,689', '']","['3,221', '']","['101,516', '']","['603,953', '']","['708,672', '']","['3,221', '']","['101,498', '']","['603,953', '']","['18', '']","['0', '']","['18', '']","['0', '']"
12491,r108,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Army Research Laboratory,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Army Research Laboratory,,5,"['251,882', '']","['61,449', '']","['88,896', '']","['101,536', '']","['251,882', '']","['61,449', '']","['88,896', '']","['101,536', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r109,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Aviation and Missile Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Aviation and Missile Center,,5,"['1,920,096', '']","['17,042', '']","['199,335', '']","['1,703,719', '']","['1,920,090', '']","['17,042', '']","['199,335', '']","['1,703,713', '']","['6', '']","['0', '']","['0', '']","['6', '']"
12491,r110,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Chemical Biological Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Chemical Biological Center,,5,"['102,085', '']","['3,725', '']","['12,025', '']","['86,335', '']","['102,085', '']","['3,725', '']","['12,025', '']","['86,335', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r111,"All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),"Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",,5,"['214,162', '']","['2,100', '']","['35,802', '']","['176,260', '']","['214,162', '']","['2,100', '']","['35,802', '']","['176,260', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r112,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Data and Analysis Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Data and Analysis Center,,5,"['10,018', '']","['0', '']","['7,378', '']","['2,640', '']","['10,018', '']","['0', '']","['7,378', '']","['2,640', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r113,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> DEVCOM Headquarters,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),DEVCOM Headquarters,,5,"['88,100', '']","['16,834', '']","['1,131', '']","['70,135', '']","['88,100', '']","['16,834', '']","['1,131', '']","['70,135', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r114,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Ground Vehicle Systems Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Ground Vehicle Systems Center,,5,"['236,569', '']","['75,106', '']","['31,837', '']","['129,626', '']","['236,569', '']","['75,106', '']","['31,837', '']","['129,626', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r115,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Soldier Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Soldier Center,,5,"['98,974', '']","['2,541', '']","['37,228', '']","['59,206', '']","['98,974', '']","['2,541', '']","['37,228', '']","['59,206', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r116,All agencies -> Department of Defense -> Department of the Army -> Space and Missile Defense Command,All agencies,Department of Defense,Department of the Army,Space and Missile Defense Command,,,4,"['77,414', '']","['814', '']","['16,075', '']","['60,525', '']","['47,388', '']","['814', '']","['5,024', '']","['41,550', '']","['30,026', '']","['0', '']","['11,051', '']","['18,975', '']"
12491,r117,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,,,,3,"['5,783,576', ' ']","['236,690', ' ']","['561,003', ' ']","['4,985,883', ' ']","['5,662,867', ' ']","['236,583', ' ']","['559,619', ' ']","['4,866,665', ' ']","['120,709', ' ']","['107', ' ']","['1,384', ' ']","['119,218', ' ']"
12491,r118,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,,,4,"['129,796', '']","['18,897', '']","['68,364', '']","['42,535', '']","['128,050', '']","['18,790', '']","['66,981', '']","['42,279', '']","['1,746', '']","['107', '']","['1,384', '']","['255', '']"
12491,r119,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup>,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,,5,"['129,796', '']","['18,897', '']","['68,364', '']","['42,535', '']","['128,050', '']","['18,790', '']","['66,981', '']","['42,279', '']","['1,746', '']","['107', '']","['1,384', '']","['255', '']"
12491,r120,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Health Research Center,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Health Research Center,6,"['26,826', '']","['5,538', '']","['17,484', '']","['3,804', '']","['26,530', '']","['5,538', '']","['17,188', '']","['3,804', '']","['296', '']","['0', '']","['296', '']","['0', '']"
12491,r121,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - Dayton,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - Dayton,6,"['22,122', '']","['1,759', '']","['3,097', '']","['17,266', '']","['22,122', '']","['1,759', '']","['3,097', '']","['17,266', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r122,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - INDO PACIFIC,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - INDO PACIFIC,6,"['1,314', '']","['0', '']","['0', '']","['1,314', '']","['1,314', '']","['0', '']","['0', '']","['1,314', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r123,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - San Antonio,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - San Antonio,6,"['11,803', '']","['1,903', '']","['2,416', '']","['7,484', '']","['11,764', '']","['1,864', '']","['2,416', '']","['7,484', '']","['39', '']","['39', '']","['0', '']","['0', '']"
12491,r124,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - South,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - South,6,"['9,466', '']","['5,847', '']","['2,015', '']","['1,604', '']","['8,310', '']","['5,778', '']","['928', '']","['1,604', '']","['1,156', '']","['68', '']","['1,088', '']","['0', '']"
12491,r125,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Submarine Medical Research Laboratory,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Submarine Medical Research Laboratory,6,"['8,990', '']","['525', '']","['4,384', '']","['4,080', '']","['8,990', '']","['525', '']","['4,384', '']","['4,080', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r126,All agencies -> Department of Defense -> Department of the Navy -> Marine Corps,All agencies,Department of Defense,Department of the Navy,Marine Corps,,,4,"['287,952', 'i']","['11,784', 'i']","['27,931', 'i']","['248,237', 'i']","['287,952', 'i']","['11,784', 'i']","['27,931', 'i']","['248,237', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r127,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Aircraft Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Aircraft Division,,,4,"['857,385', '']","['1,538', '']","['4,558', '']","['851,288', '']","['738,422', '']","['1,538', '']","['4,558', '']","['732,326', '']","['118,963', '']","['0', '']","['0', '']","['118,963', '']"
12491,r128,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Weapon Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Weapon Division,,,4,"['777,721', '']","['3,719', '']","['22,073', '']","['751,928', '']","['777,721', '']","['3,719', '']","['22,073', '']","['751,928', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r129,All agencies -> Department of Defense -> Department of the Navy -> Naval Facilities Engineering and Expeditionary Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Facilities Engineering and Expeditionary Warfare Center,,,4,"['57,092', '']","['611', '']","['948', '']","['55,534', '']","['57,092', '']","['611', '']","['948', '']","['55,534', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r130,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,,,4,"['565,094', '']","['10,824', '']","['49,168', '']","['505,102', '']","['565,094', '']","['10,824', '']","['49,168', '']","['505,102', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r131,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Atlantic,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Atlantic,,5,"['145,315', '']","['2,044', '']","['12,510', '']","['130,761', '']","['145,315', '']","['2,044', '']","['12,510', '']","['130,761', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r132,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Pacific,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Pacific,,5,"['419,779', '']","['8,780', '']","['36,658', '']","['374,341', '']","['419,779', '']","['8,780', '']","['36,658', '']","['374,341', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r133,All agencies -> Department of Defense -> Department of the Navy -> Naval Observatory,All agencies,Department of Defense,Department of the Navy,Naval Observatory,,,4,"['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r134,All agencies -> Department of Defense -> Department of the Navy -> Naval Oceanographic Office,All agencies,Department of Defense,Department of the Navy,Naval Oceanographic Office,,,4,"['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['29,941', 'i']","['1,225', 'i']","['2,904', 'i']","['25,811', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12491,r135,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,,,4,"['2,180,415', '']","['20,580', '']","['138,245', '']","['2,021,590', '']","['2,180,415', '']","['20,580', '']","['138,245', '']","['2,021,590', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r136,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Surface Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Surface Warfare Center,,5,"['1,842,591', '']","['17,143', '']","['106,587', '']","['1,718,861', '']","['1,842,591', '']","['17,143', '']","['106,587', '']","['1,718,861', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r137,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Undersea Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Undersea Warfare Center,,5,"['337,824', '']","['3,437', '']","['31,658', '']","['302,729', '']","['337,824', '']","['3,437', '']","['31,658', '']","['302,729', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12491,r138,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,,,4,"['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['868,240', '']","['166,286', '']","['243,907', '']","['458,047', '']","['0', '']","['0', '']","['0', '']","['0', '']"
