table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_level_6,_b_characteristic_b_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4692,r071,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Activity unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Activity unknown,,5,5.5,6.5,5.8,5.2,5.2,4.9,6.2,5.2,6.7
4692,r072,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,,,4,,,,,,,,,
4692,r073,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,,5,88.6,90.5,89.3,87.5,85.3,89.8,91.9,87.5,82.4
4692,r074,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> New England,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,New England,6,8.3,11.5,9.4,6.6,8.8,7.4,4.2,7.9,6.2
4692,r075,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Middle Atlantic,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Middle Atlantic,6,11.6,11.3,10.9,13.5,13.4,9.2,10.7,16.0,12.1
4692,r076,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East North Central,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East North Central,6,10.8,11.3,9.7,9.7,10.0,10.8,14.6,11.3,12.6
4692,r077,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West North Central,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West North Central,6,4.2,6.0,2.6,2.7,4.6,3.3,6.8,6.2,5.1
4692,r078,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> South Atlantic,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,South Atlantic,6,14.3,16.2,12.9,11.5,17.8,12.3,19.1,14.6,15.2
4692,r079,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East South Central,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East South Central,6,3.7,4.1,2.6,1.9,3.4,3.3,8.1,5.8,4.9
4692,r080,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West South Central,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West South Central,6,7.2,6.4,6.6,5.1,6.1,7.7,10.7,9.4,9.7
4692,r081,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Mountain,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Mountain,6,6.3,5.4,8.4,4.2,5.4,7.7,7.4,4.0,4.9
4692,r082,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Pacific and insular,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Pacific and insular,6,21.6,17.9,25.7,31.5,15.2,27.5,10.0,11.4,10.2
4692,r083,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Not in United States,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Not in United States,,5,11.4,9.5,10.7,12.4,14.7,10.1,8.1,12.5,17.5
4692,r084,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Location unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Location unknown,,5,0.05,0.05,0.0,0.1,0.05,0.1,0.0,0.0,0.1
4692,r085,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),,,,,2,25392,7007,2068,1095,5358,2593,3259,2423,1589
4692,r086,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,,,,3,,,,,,,,,
4692,r087,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,,4,6099,2379,726,214,1609,576,224,245,126
4692,r088,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment,,,4,9904,1912,571,555,1990,1003,1913,1037,923
4692,r089,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,,4,6377,1937,590,233,1038,745,754,789,291
4692,r090,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Other<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Other<sup>e</sup>,,,4,747,292,46,13,123,55,90,87,41
4692,r091,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,,,4,,,,,,,,,
4692,r092,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Postdoc fellowship or research associateship,,5,93.6,94.8,97.7,96.3,88.9,95.0,92.0,95.9,94.4
4692,r093,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Other or unknown<sup>g</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Other or unknown<sup>g</sup>,,5,6.4,5.2,2.3,3.7,11.1,5.0,8.0,4.1,5.6
4692,r094,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,,,4,,,,,,,,,
4692,r095,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Academe,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Academe,,5,48.7,40.5,21.5,35.7,53.5,16.1,54.7,75.1,73.1
4692,r096,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Government,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Government,,5,7.7,10.6,13.0,5.6,10.9,7.6,3.7,3.1,6.7
4692,r097,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Industry or business<sup>i</sup>,,5,28.0,36.5,59.2,54.2,20.1,71.5,7.6,5.5,13.1
4692,r098,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Nonprofit organization,,5,6.9,9.3,3.7,2.0,9.8,3.3,6.3,8.1,4.1
4692,r099,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Other or unknown<sup>j</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Other or unknown<sup>j</sup>,,5,8.7,3.2,2.6,2.5,5.7,1.6,27.7,8.2,2.9
4692,r100,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,,5,,,,,,,,,
4692,r101,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,R&D,6,36.2,41.8,63.3,62.2,33.5,69.6,12.1,10.5,39.8
4692,r102,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Teaching,6,34.0,26.6,17.3,25.0,34.3,7.4,41.9,68.6,38.5
4692,r103,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Management or administration,6,12.8,10.0,4.7,2.2,9.6,3.8,30.4,11.3,12.0
4692,r104,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Professional services,6,16.4,21.2,13.3,10.2,22.1,18.2,14.9,9.2,9.5
4692,r105,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Other,6,0.6,0.5,1.3,0.4,0.5,1.0,0.6,0.4,0.2
4692,r106,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,,5,,,,,,,,,
4692,r107,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,R&D,6,26.4,26.4,15.0,21.7,30.2,11.8,26.5,36.4,33.3
4692,r108,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Teaching,6,15.5,10.3,2.9,9.3,18.9,8.0,19.1,11.0,36.5
4692,r109,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Management or administration,6,9.8,13.5,14.6,5.0,9.6,11.3,8.8,8.2,4.4
4692,r110,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Professional services,6,6.6,7.2,5.7,5.0,7.2,5.4,6.9,6.8,5.7
4692,r111,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Other,6,0.6,0.7,1.1,1.3,0.5,0.7,0.6,0.4,0.1
4692,r112,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> No secondary activity,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,No secondary activity,6,41.1,41.9,60.8,57.8,33.6,62.7,38.1,37.1,20.0
4692,r113,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Activity unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Activity unknown,,5,5.2,6.1,4.0,2.7,5.6,4.6,5.2,6.5,4.3
4692,r114,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,,,4,,,,,,,,,
4692,r115,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,,5,92.2,92.8,92.0,89.7,92.1,93.0,94.2,90.7,89.3
4692,r116,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> New England,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,New England,6,8.9,10.4,10.8,7.8,9.3,9.9,4.7,8.3,7.5
4692,r117,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Middle Atlantic,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Middle Atlantic,6,13.1,13.3,12.0,13.9,14.6,8.6,10.9,16.9,13.9
4692,r118,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East North Central,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East North Central,6,10.9,10.0,9.6,8.3,10.9,10.5,13.8,12.0,11.2
4692,r119,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West North Central,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West North Central,6,5.2,5.5,4.0,2.7,5.7,3.7,6.2,5.6,5.5
4692,r120,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> South Atlantic,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,South Atlantic,6,17.6,19.1,17.3,14.0,17.9,13.5,19.4,14.7,19.7
4692,r121,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East South Central,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East South Central,6,4.3,4.1,2.5,1.7,3.1,3.0,8.5,5.5,5.2
4692,r122,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West South Central,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West South Central,6,8.0,6.8,5.0,5.9,7.4,8.6,11.5,9.0,10.2
4692,r123,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Mountain,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Mountain,6,6.1,4.8,8.6,4.8,6.2,7.3,7.6,5.6,5.1
4692,r124,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Pacific and insular,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Pacific and insular,6,17.5,17.9,21.3,29.4,16.4,27.4,11.1,12.5,9.5
4692,r125,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Not in United States,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Not in United States,,5,7.7,7.2,8.0,10.1,7.9,6.9,5.8,9.3,10.7
4692,r126,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Location unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Location unknown,,5,0.05,0.05,0.0,0.1,0.05,0.1,0.0,0.0,0.0
