table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_engineering_fields,field_aerospace_aeronautical_astronautical_and_space_engineering,field_biological_biomedical_and_biosystems_engineering,field_chemical_and_petroleum_engineering,field_civil_environmental_and_transportation_engineering,field_electrical_and_computer_engineering,field_engineering_technologies,field_industrial_engineering_and_operations_research,field_materials_and_mining_engineering,field_mechanical_engineering,field_engineering_other
11745,r079,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,3,2.3,0.0,3.8,1.2,2.7,1.4,2.5,1.8,1.7,2.0,3.1
11745,r080,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,3,,,,,,,,,,,
11745,r081,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,4,95.5,,93.5,95.5,98.0,92.9,100.0,76.5,98.4,100.0,95.3
11745,r082,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,4,4.5,,6.5,4.5,2.0,7.1,0.0,23.5,1.6,0.0,4.7
11745,r083,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,3,,,,,,,,,,,
11745,r084,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,4,14.7,,8.0,,17.5,11.3,,27.9,,16.9,
11745,r085,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),5,46.1,54.5,,,40.0,69.6,,51.6,,54.5,
11745,r086,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),5,51.7,,,72.7,56.0,26.1,54.5,45.2,55.6,45.5,60.0
11745,r087,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,4,6.2,13.0,3.7,3.0,13.3,3.4,,8.1,6.7,5.4,
11745,r088,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Industry or business<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Industry or business<sup>e</sup>,,4,73.6,50.0,83.0,86.7,62.2,81.4,61.5,58.6,80.8,71.5,55.1
11745,r089,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Nonprofit organization,,4,4.1,,3.7,,5.6,2.5,,4.5,,3.8,7.2
11745,r090,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Other or unknown<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Other or unknown<sup>f</sup>,,4,1.5,2.2,1.6,0.6,1.4,1.5,0.0,0.9,1.7,2.3,2.9
11745,r091,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,,4,,,,,,,,,,,
11745,r092,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Research and development,5,60.3,62.2,59.0,73.1,35.7,74.9,43.6,51.9,72.6,56.9,47.8
11745,r093,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Teaching,5,8.7,11.1,,,,,,,,12.2,
11745,r094,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Management or administration,5,1.9,0.0,,,,,,,,0.0,
11745,r095,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Professional services and other,5,29.2,26.7,36.1,22.5,50.7,17.6,30.8,26.4,21.2,30.9,31.3
11745,r096,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,,4,,,,,,,,,,,
11745,r097,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Research and development,5,17.7,17.8,14.2,10.6,30.0,13.1,28.2,21.7,,21.1,
11745,r098,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Teaching,5,3.8,,,0.0,,3.5,,8.5,,4.9,
11745,r099,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Management or administration,5,12.5,,,16.9,14.3,7.5,,7.5,14.2,11.4,19.4
11745,r100,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Professional services and other,5,11.7,15.6,8.7,12.5,12.9,14.6,12.8,13.2,8.0,11.4,7.5
11745,r101,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,No secondary activity,5,54.3,51.1,59.0,60.0,40.0,61.3,46.2,49.1,61.9,51.2,44.8
11745,r102,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Activity unknown,,4,3.3,2.2,2.7,3.0,2.1,2.5,0.0,4.5,5.8,5.4,2.9
11745,r103,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,,,3,,,,,,,,,,,
11745,r104,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,,4,94.8,,96.4,95.3,94.7,93.5,89.5,93.0,94.5,94.9,94.6
11745,r105,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Midwest,5,13.7,14.3,14.8,17.2,12.3,6.2,15.8,12.5,14.9,18.5,13.4
11745,r106,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Northeast,5,22.7,15.9,33.2,25.4,19.3,18.8,10.5,25.8,17.7,19.1,20.5
11745,r107,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> South,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,South,5,25.2,28.6,21.2,25.0,35.2,22.3,29.8,28.9,22.7,18.5,28.6
11745,r108,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> West,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,West,5,32.9,38.1,26.5,27.6,27.9,45.4,31.6,25.8,39.2,38.8,32.1
11745,r109,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Outside the United States,,4,5.1,0.0,3.6,4.7,5.3,6.2,10.5,6.3,5.5,5.1,5.4
11745,r110,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Location unknown,,4,0.1,,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.0
11745,r111,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,3,37.2,33.3,43.3,30.6,43.9,31.5,31.6,43.0,38.1,34.3,32.1
