table_id,row_id,time_period,all_employed_doctoral_scientists_and_engineers_in_2015_level_1,all_employed_doctoral_scientists_and_engineers_in_2015_level_2,all_employed_doctoral_scientists_and_engineers_in_2015_hierarchy_depth,value
6335,r275,Total -> Disability status in 2015 -> Without disability,Retired in 2019,Number,2,32250
6335,r276,Total -> Disability status in 2015 -> Without disability,Retired in 2019,SE,2,900
6335,r277,Total -> Disability status in 2015 -> Without disability,Retired in 2019,Percent,2,4.35
6335,r278,Total -> Disability status in 2015 -> Without disability,Retired in 2019,SE,2,0.15
6335,r279,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All employed doctoral scientists and engineers in 2015,Number,2,561000
6335,r280,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All employed doctoral scientists and engineers in 2015,SE,2,2100
6335,r281,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r282,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2017,Number,2,12600
6335,r283,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2017,SE,2,600
6335,r284,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2017,Percent,2,2.25
6335,r285,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2017,SE,2,0.15
6335,r286,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2019,Number,2,29450
6335,r287,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2019,SE,2,875
6335,r288,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2019,Percent,2,5.25
6335,r289,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Retired in 2019,SE,2,0.2
6335,r290,Total -> Citizenship at graduation -> Temporary visa holder,All employed doctoral scientists and engineers in 2015,Number,2,246350
6335,r291,Total -> Citizenship at graduation -> Temporary visa holder,All employed doctoral scientists and engineers in 2015,SE,2,1575
6335,r292,Total -> Citizenship at graduation -> Temporary visa holder,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r293,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2017,Number,2,3000
6335,r294,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2017,SE,2,375
6335,r295,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2017,Percent,2,1.22
6335,r296,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2017,SE,2,0.15
6335,r297,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2019,Number,2,6900
6335,r298,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2019,SE,2,500
6335,r299,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2019,Percent,2,2.79
6335,r300,Total -> Citizenship at graduation -> Temporary visa holder,Retired in 2019,SE,2,0.2
