table_id,row_id,time_period,all_scientists_and_engineers_employed_in_all_three_surveys_level_1,all_scientists_and_engineers_employed_in_all_three_surveys_level_2,all_scientists_and_engineers_employed_in_all_three_surveys_level_3,all_scientists_and_engineers_employed_in_all_three_surveys_hierarchy_depth,value
6339,r253,Total -> Years since degree -> &#8804; 10 years,All scientists and engineers employed in all three surveys,Number,,2,150000
6339,r254,Total -> Years since degree -> &#8804; 10 years,All scientists and engineers employed in all three surveys,SE,,2,875
6339,r255,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),0,Total,3,109800
6339,r256,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),0,SE,3,1150
6339,r257,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),1,Total,3,29250
6339,r258,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),1,SE,3,750
6339,r259,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),2,Total,3,10950
6339,r260,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (number),2,SE,3,550
6339,r261,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),0,Percent,3,73.2
6339,r262,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),0,SE,3,0.6
6339,r263,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),1,Percent,3,19.49
6339,r264,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),1,SE,3,0.5
6339,r265,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),2,Percent,3,7.3
6339,r266,Total -> Years since degree -> &#8804; 10 years,Employment sector changes (%),2,SE,3,0.4
6339,r267,Total -> Years since degree -> 11&#8211;20 years,All scientists and engineers employed in all three surveys,Number,,2,270400
6339,r268,Total -> Years since degree -> 11&#8211;20 years,All scientists and engineers employed in all three surveys,SE,,2,1150
6339,r269,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),0,Total,3,221650
6339,r270,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),0,SE,3,1475
6339,r271,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),1,Total,3,34950
6339,r272,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),1,SE,3,1125
6339,r273,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),2,Total,3,13800
6339,r274,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (number),2,SE,3,725
6339,r275,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),0,Percent,3,81.97
6339,r276,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),0,SE,3,0.5
6339,r277,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),1,Percent,3,12.92
6339,r278,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),1,SE,3,0.45
6339,r279,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),2,Percent,3,5.11
6339,r280,Total -> Years since degree -> 11&#8211;20 years,Employment sector changes (%),2,SE,3,0.3
6339,r281,Total -> Years since degree -> 21&#8211;30 years,All scientists and engineers employed in all three surveys,Number,,2,214150
6339,r282,Total -> Years since degree -> 21&#8211;30 years,All scientists and engineers employed in all three surveys,SE,,2,1450
6339,r283,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),0,Total,3,179000
6339,r284,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),0,SE,3,1700
6339,r285,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),1,Total,3,24800
6339,r286,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),1,SE,3,925
6339,r287,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),2,Total,3,10350
6339,r288,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (number),2,SE,3,725
6339,r289,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),0,Percent,3,83.58
6339,r290,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),0,SE,3,0.55
6339,r291,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),1,Percent,3,11.58
6339,r292,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),1,SE,3,0.45
6339,r293,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),2,Percent,3,4.84
6339,r294,Total -> Years since degree -> 21&#8211;30 years,Employment sector changes (%),2,SE,3,0.35
6339,r295,Total -> Years since degree -> > 30 years,All scientists and engineers employed in all three surveys,Number,,2,110850
6339,r296,Total -> Years since degree -> > 30 years,All scientists and engineers employed in all three surveys,SE,,2,1150
6339,r297,Total -> Years since degree -> > 30 years,Employment sector changes (number),0,Total,3,91050
6339,r298,Total -> Years since degree -> > 30 years,Employment sector changes (number),0,SE,3,1150
6339,r299,Total -> Years since degree -> > 30 years,Employment sector changes (number),1,Total,3,13900
6339,r300,Total -> Years since degree -> > 30 years,Employment sector changes (number),1,SE,3,750
6339,r301,Total -> Years since degree -> > 30 years,Employment sector changes (number),2,Total,3,5900
6339,r302,Total -> Years since degree -> > 30 years,Employment sector changes (number),2,SE,3,450
6339,r303,Total -> Years since degree -> > 30 years,Employment sector changes (%),0,Percent,3,82.14
6339,r304,Total -> Years since degree -> > 30 years,Employment sector changes (%),0,SE,3,0.7
6339,r305,Total -> Years since degree -> > 30 years,Employment sector changes (%),1,Percent,3,12.52
6339,r306,Total -> Years since degree -> > 30 years,Employment sector changes (%),1,SE,3,0.65
6339,r307,Total -> Years since degree -> > 30 years,Employment sector changes (%),2,Percent,3,5.33
6339,r308,Total -> Years since degree -> > 30 years,Employment sector changes (%),2,SE,3,0.4
6339,r309,Total -> Residence location in 2015 -> U.S. residing,All scientists and engineers employed in all three surveys,Number,,2,643500
6339,r310,Total -> Residence location in 2015 -> U.S. residing,All scientists and engineers employed in all three surveys,SE,,2,1950
6339,r311,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),0,Total,3,519250
6339,r312,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),0,SE,3,2275
6339,r313,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),1,Total,3,89400
6339,r314,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),1,SE,3,1475
6339,r315,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),2,Total,3,34850
6339,r316,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (number),2,SE,3,1150
6339,r317,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),0,Percent,3,80.69
6339,r318,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),0,SE,3,0.3
6339,r319,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),1,Percent,3,13.89
6339,r320,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),1,SE,3,0.25
6339,r321,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),2,Percent,3,5.42
6339,r322,Total -> Residence location in 2015 -> U.S. residing,Employment sector changes (%),2,SE,3,0.2
6339,r323,Total -> Residence location in 2015 -> Non-U.S. residing,All scientists and engineers employed in all three surveys,Number,,2,101900
6339,r324,Total -> Residence location in 2015 -> Non-U.S. residing,All scientists and engineers employed in all three surveys,SE,,2,1225
6339,r325,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),0,Total,3,82250
6339,r326,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),0,SE,3,1300
6339,r327,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),1,Total,3,13500
6339,r328,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),1,SE,3,625
6339,r329,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),2,Total,3,6200
6339,r330,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (number),2,SE,3,500
6339,r331,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),0,Percent,3,80.7
6339,r332,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),0,SE,3,0.8
6339,r333,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),1,Percent,3,13.23
6339,r334,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),1,SE,3,0.6
6339,r335,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),2,Percent,3,6.08
6339,r336,Total -> Residence location in 2015 -> Non-U.S. residing,Employment sector changes (%),2,SE,3,0.5
6339,r337,Total -> Disability status in 2015 -> With disability,All scientists and engineers employed in all three surveys,Number,,2,58050
6339,r338,Total -> Disability status in 2015 -> With disability,All scientists and engineers employed in all three surveys,SE,,2,1200
6339,r339,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),0,Total,3,47150
6339,r340,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),0,SE,3,1175
6339,r341,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),1,Total,3,7450
6339,r342,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),1,SE,3,575
6339,r343,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),2,Total,3,3450
6339,r344,Total -> Disability status in 2015 -> With disability,Employment sector changes (number),2,SE,3,350
6339,r345,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),0,Percent,3,81.22
6339,r346,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),0,SE,3,1.15
6339,r347,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),1,Percent,3,12.85
6339,r348,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),1,SE,3,0.95
6339,r349,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),2,Percent,3,5.93
6339,r350,Total -> Disability status in 2015 -> With disability,Employment sector changes (%),2,SE,3,0.6
6339,r351,Total -> Disability status in 2015 -> Without disability,All scientists and engineers employed in all three surveys,Number,,2,687350
6339,r352,Total -> Disability status in 2015 -> Without disability,All scientists and engineers employed in all three surveys,SE,,2,2250
6339,r353,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),0,Total,3,554350
6339,r354,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),0,SE,3,2450
6339,r355,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),1,Total,3,95400
6339,r356,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),1,SE,3,1550
6339,r357,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),2,Total,3,37600
6339,r358,Total -> Disability status in 2015 -> Without disability,Employment sector changes (number),2,SE,3,1250
6339,r359,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),0,Percent,3,80.65
6339,r360,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),0,SE,3,0.3
6339,r361,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),1,Percent,3,13.88
6339,r362,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),1,SE,3,0.25
6339,r363,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),2,Percent,3,5.47
6339,r364,Total -> Disability status in 2015 -> Without disability,Employment sector changes (%),2,SE,3,0.2
6339,r365,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All scientists and engineers employed in all three surveys,Number,,2,513900
6339,r366,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,All scientists and engineers employed in all three surveys,SE,,2,2075
6339,r367,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),0,Total,3,410300
6339,r368,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),0,SE,3,2225
6339,r369,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),1,Total,3,75150
6339,r370,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),1,SE,3,1375
6339,r371,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),2,Total,3,28450
6339,r372,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (number),2,SE,3,1000
6339,r373,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),0,Percent,3,79.84
6339,r374,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),0,SE,3,0.3
6339,r375,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),1,Percent,3,14.62
6339,r376,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),1,SE,3,0.3
6339,r377,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),2,Percent,3,5.54
6339,r378,Total -> Citizenship at graduation -> U.S. citizen and permanent resident,Employment sector changes (%),2,SE,3,0.2
6339,r379,Total -> Citizenship at graduation -> Temporary visa holder,All scientists and engineers employed in all three surveys,Number,,2,231500
6339,r380,Total -> Citizenship at graduation -> Temporary visa holder,All scientists and engineers employed in all three surveys,SE,,2,1600
6339,r381,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),0,Total,3,191150
6339,r382,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),0,SE,3,1750
6339,r383,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),1,Total,3,27750
6339,r384,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),1,SE,3,925
6339,r385,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),2,Total,3,12600
6339,r386,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (number),2,SE,3,700
6339,r387,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),0,Percent,3,82.58
6339,r388,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),0,SE,3,0.5
6339,r389,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),1,Percent,3,11.98
6339,r390,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),1,SE,3,0.4
6339,r391,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),2,Percent,3,5.44
6339,r392,Total -> Citizenship at graduation -> Temporary visa holder,Employment sector changes (%),2,SE,3,0.3
