table_id,row_id,time_period,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_1,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_2,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_3,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_4,total_employed_in_all_survey_cycles_2015_2017_and_2019_hierarchy_depth,value
6336,r167,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,459300
6336,r168,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,2025
6336,r169,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,In field in 2017,Number,,3,413500
6336,r170,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,In field in 2017,SE,,3,2150
6336,r171,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2017,Voluntarily,Number,4,10100
6336,r172,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2017,Voluntarily,SE,4,575
6336,r173,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2017,Involuntarily,Number,4,4500
6336,r174,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2017,Involuntarily,SE,4,375
6336,r175,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,In field in 2019,Number,,3,412200
6336,r176,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,In field in 2019,SE,,3,2075
6336,r177,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2019,Voluntarily,Number,4,10900
6336,r178,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2019,Voluntarily,SE,4,625
6336,r179,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2019,Involuntarily,Number,4,4950
6336,r180,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",In field in 2015,Out of field in 2019,Involuntarily,SE,4,425
6336,r181,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,In field in 2017,Number,,3,14350
6336,r182,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,In field in 2017,SE,,3,750
6336,r183,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,10600
6336,r184,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,550
6336,r185,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,6250
6336,r186,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,525
6336,r187,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,In field in 2019,Number,,3,15600
6336,r188,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,In field in 2019,SE,,3,825
6336,r189,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,10550
6336,r190,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,600
6336,r191,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,5050
6336,r192,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,400
6336,r193,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,9000
6336,r194,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,425
6336,r195,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,In field in 2017,Number,,3,8050
6336,r196,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,In field in 2017,SE,,3,450
6336,r197,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2017,Voluntarily,Number,4,150
6336,r198,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2017,Voluntarily,SE,4,50
6336,r199,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2017,Involuntarily,Number,4,150
6336,r200,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2017,Involuntarily,SE,4,50
6336,r201,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,In field in 2019,Number,,3,7900
6336,r202,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,In field in 2019,SE,,3,450
6336,r203,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2019,Voluntarily,Number,4,300
6336,r204,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2019,Voluntarily,SE,4,100
6336,r205,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2019,Involuntarily,Number,4,200
6336,r206,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",In field in 2015,Out of field in 2019,Involuntarily,SE,4,75
6336,r207,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,In field in 2017,Number,,3,200
6336,r208,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,In field in 2017,SE,,3,75
6336,r209,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,200
6336,r210,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,50
6336,r211,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,250
6336,r212,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,100
6336,r213,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,In field in 2019,Number,,3,350
6336,r214,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,In field in 2019,SE,,3,100
6336,r215,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,150
6336,r216,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,50
6336,r217,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,150
6336,r218,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,50
6336,r219,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,553950
6336,r220,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,1500
6336,r221,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,In field in 2017,Number,,3,499500
6336,r222,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,In field in 2017,SE,,3,1775
6336,r223,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2017,Voluntarily,Number,4,11150
6336,r224,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2017,Voluntarily,SE,4,675
6336,r225,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2017,Involuntarily,Number,4,5400
6336,r226,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2017,Involuntarily,SE,4,400
6336,r227,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,In field in 2019,Number,,3,496950
6336,r228,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,In field in 2019,SE,,3,1725
6336,r229,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2019,Voluntarily,Number,4,12750
6336,r230,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2019,Voluntarily,SE,4,625
6336,r231,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2019,Involuntarily,Number,4,6350
6336,r232,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",In field in 2015,Out of field in 2019,Involuntarily,SE,4,450
6336,r233,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,In field in 2017,Number,,3,17500
6336,r234,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,In field in 2017,SE,,3,750
6336,r235,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,11900
6336,r236,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,650
6336,r237,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,8450
6336,r238,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,550
6336,r239,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,In field in 2019,Number,,3,18450
6336,r240,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,In field in 2019,SE,,3,775
6336,r241,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,12150
6336,r242,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,675
6336,r243,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,7250
6336,r244,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,550
6336,r245,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,189050
6336,r246,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,950
6336,r247,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,In field in 2017,Number,,3,168450
6336,r248,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,In field in 2017,SE,,3,1150
6336,r249,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2017,Voluntarily,Number,4,4450
6336,r250,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2017,Voluntarily,SE,4,425
6336,r251,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2017,Involuntarily,Number,4,2200
6336,r252,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2017,Involuntarily,SE,4,275
6336,r253,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,In field in 2019,Number,,3,167850
6336,r254,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,In field in 2019,SE,,3,1150
6336,r255,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2019,Voluntarily,Number,4,4900
6336,r256,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2019,Voluntarily,SE,4,400
6336,r257,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2019,Involuntarily,Number,4,2350
6336,r258,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",In field in 2015,Out of field in 2019,Involuntarily,SE,4,275
6336,r259,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,In field in 2017,Number,,3,7350
6336,r260,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,In field in 2017,SE,,3,425
6336,r261,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,3900
6336,r262,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,375
6336,r263,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,2650
6336,r264,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,300
6336,r265,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,In field in 2019,Number,,3,7250
6336,r266,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,In field in 2019,SE,,3,450
6336,r267,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,4450
6336,r268,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,425
6336,r269,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,2250
6336,r270,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,300
6336,r271,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,26100
6336,r272,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,375
6336,r273,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,In field in 2017,Number,,3,24650
6336,r274,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,In field in 2017,SE,,3,375
6336,r275,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2017,Voluntarily,Number,4,300
6336,r276,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2017,Voluntarily,SE,4,100
6336,r277,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2017,Involuntarily,Number,4,200
6336,r278,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2017,Involuntarily,SE,4,75
6336,r279,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,In field in 2019,Number,,3,24550
6336,r280,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,In field in 2019,SE,,3,375
6336,r281,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2019,Voluntarily,Number,4,450
6336,r282,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2019,Voluntarily,SE,4,125
6336,r283,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2019,Involuntarily,Number,4,150
6336,r284,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",In field in 2015,Out of field in 2019,Involuntarily,SE,4,75
6336,r285,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,In field in 2017,Number,,3,350
6336,r286,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,In field in 2017,SE,,3,125
6336,r287,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,450
6336,r288,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,150
6336,r289,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,150
6336,r290,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,75
6336,r291,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,In field in 2019,Number,,3,600
6336,r292,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,In field in 2019,SE,,3,150
6336,r293,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,250
6336,r294,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Computer and information sciences",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,100
6336,r295,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,33650
6336,r296,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,475
6336,r297,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,In field in 2017,Number,,3,30650
6336,r298,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,In field in 2017,SE,,3,525
6336,r299,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2017,Voluntarily,Number,4,500
6336,r300,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2017,Voluntarily,SE,4,125
6336,r301,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2017,Involuntarily,Number,4,450
6336,r302,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2017,Involuntarily,SE,4,125
6336,r303,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,In field in 2019,Number,,3,30500
6336,r304,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,In field in 2019,SE,,3,525
6336,r305,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2019,Voluntarily,Number,4,650
6336,r306,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2019,Voluntarily,SE,4,200
6336,r307,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2019,Involuntarily,Number,4,450
6336,r308,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",In field in 2015,Out of field in 2019,Involuntarily,SE,4,100
6336,r309,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,In field in 2017,Number,,3,950
6336,r310,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,In field in 2017,SE,,3,225
6336,r311,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,650
6336,r312,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,150
6336,r313,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,500
6336,r314,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,175
6336,r315,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,In field in 2019,Number,,3,1150
6336,r316,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,In field in 2019,SE,,3,225
6336,r317,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,650
6336,r318,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,175
6336,r319,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,250
6336,r320,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Mathematics and statistics",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,125
6336,r321,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,120550
6336,r322,"All employed for all survey cycles (2015, 2017, and 2019) -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,625
