table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2016,field_2017,field_2018,field_2019_total,field_2019_principal_investigators,field_2019_other_personnel
3191,r168,Georgia -> Public -> Georgia Institute of Technology,Georgia,Public,Georgia Institute of Technology,3,"['3,297', 'i']","['3,445', '']","['3,669', '']","['3,447', '']","['1,495', '']","['1,952', '']"
3191,r169,Georgia -> Public -> Georgia Southern U.,Georgia,Public,Georgia Southern U.,3,"['477', '']","['486', '']","['435', '']","['447', '']","['91', '']","['356', '']"
3191,r170,Georgia -> Public -> Georgia State U.,Georgia,Public,Georgia State U.,3,"['4,795', '']","['4,616', '']","['4,283', '']","['4,287', '']","['462', '']","['3,825', '']"
3191,r171,Georgia -> Public -> Kennesaw State U.,Georgia,Public,Kennesaw State U.,3,"['95', '']","['427', '']","['379', '']","['950', '']","['600', '']","['350', '']"
3191,r172,Georgia -> Public -> Savannah State U.,Georgia,Public,Savannah State U.,3,"['466', '']","['494', '']","['80', '']","['80', '']","['14', '']","['66', '']"
3191,r173,Georgia -> Public -> U. Georgia,Georgia,Public,U. Georgia,3,"['7,593', '']","['7,927', '']","['8,366', '']","['8,381', '']","['1,272', '']","['7,109', '']"
3191,r174,Georgia -> Public -> U. North Georgia,Georgia,Public,U. North Georgia,3,"['ne', '']","['150', '']","['105', '']","['74', '']","['38', '']","['36', '']"
3191,r175,Georgia -> Private,Georgia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r176,Georgia -> Private -> Clark Atlanta U.,Georgia,Private,Clark Atlanta U.,3,"['149', '']","['211', '']","['159', '']","['154', '']","['15', '']","['139', '']"
3191,r177,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['7,360', '']","['6,150', '']","['6,373', '']","['6,660', '']","['1,400', '']","['5,260', '']"
3191,r178,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['361', '']","['356', '']","['555', '']","['602', '']","['36', '']","['566', '']"
3191,r179,Georgia -> Private -> Morehouse C.,Georgia,Private,Morehouse C.,3,"['127', '']","['144', '']","['144', '']","['144', '']","['22', '']","['122', '']"
3191,r180,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['460', '']","['445', '']","['375', '']","['437', '']","['110', '']","['327', '']"
3191,r181,Georgia -> Private -> Spelman C.,Georgia,Private,Spelman C.,3,"['43', '']","['89', '']","['118', '']","['148', '']","['46', '']","['102', '']"
3191,r182,Hawaii,Hawaii,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r183,Hawaii -> Public,Hawaii,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r184,"Hawaii -> Public -> U. Hawaii, Hilo",Hawaii,Public,"U. Hawaii, Hilo",3,"['264', '']","['174', '']","['127', '']","['134', '']","['16', '']","['118', '']"
3191,r185,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['3,929', '']","['3,486', '']","['3,421', '']","['3,225', '']","['459', '']","['2,766', '']"
3191,r186,"Hawaii -> Public -> U. Hawaii, system office",Hawaii,Public,"U. Hawaii, system office",3,"['ne', '']","['ne', '']","['48', '']","['51', '']","['0', '']","['51', '']"
3191,r187,Hawaii -> Private,Hawaii,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r188,Hawaii -> Private -> Hawaii Pacific U.,Hawaii,Private,Hawaii Pacific U.,3,"['46', '']","['48', '']","['70', '']","['73', '']","['18', '']","['55', '']"
3191,r189,Idaho,Idaho,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r190,Idaho -> Public,Idaho,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r191,Idaho -> Public -> Boise State U.,Idaho,Public,Boise State U.,3,"['728', 'i']","['740', 'i']","['808', 'i']","['786', 'i']","['149', 'i']","['637', 'i']"
3191,r192,Idaho -> Public -> Idaho State U.,Idaho,Public,Idaho State U.,3,"['596', '']","['726', '']","['538', '']","['632', '']","['80', '']","['552', '']"
3191,r193,Idaho -> Public -> U. Idaho,Idaho,Public,U. Idaho,3,"['2,289', '']","['2,490', '']","['2,584', '']","['2,447', '']","['387', '']","['2,060', '']"
3191,r194,Illinois,Illinois,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r195,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r196,Illinois -> Public -> Chicago State U.,Illinois,Public,Chicago State U.,3,"['14', '']","['ne', '']","['35', '']","['35', 'i']","['9', 'i']","['26', 'i']"
3191,r197,Illinois -> Public -> Illinois State U.,Illinois,Public,Illinois State U.,3,"['721', '']","['771', '']","['820', '']","['810', '']","['61', '']","['749', '']"
3191,r198,Illinois -> Public -> Northeastern Illinois U.,Illinois,Public,Northeastern Illinois U.,3,"['ne', '']","['42', '']","['70', '']","['42', '']","['12', '']","['30', '']"
3191,r199,Illinois -> Public -> Northern Illinois U.,Illinois,Public,Northern Illinois U.,3,"['712', '']","['669', '']","['789', '']","['865', '']","['160', '']","['705', '']"
3191,r200,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['1,564', '']","['1,193', '']","['1,053', '']","['1,115', '']","['288', '']","['827', '']"
3191,r201,"Illinois -> Public -> Southern Illinois U., Edwardsville",Illinois,Public,"Southern Illinois U., Edwardsville",3,"['228', '']","['334', '']","['386', '']","['412', '']","['227', '']","['185', '']"
3191,r202,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['5,624', '']","['5,785', '']","['5,574', '']","['5,678', '']","['1,288', '']","['4,390', '']"
3191,r203,"Illinois -> Public -> U. Illinois, Springfield",Illinois,Public,"U. Illinois, Springfield",3,"['82', '']","['72', '']","['62', '']","['79', '']","['7', '']","['72', '']"
3191,r204,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['11,366', '']","['12,889', '']","['12,258', '']","['12,292', '']","['1,333', '']","['10,959', '']"
3191,r205,Illinois -> Public -> Western Illinois U.,Illinois,Public,Western Illinois U.,3,"['ne', '']","['61', '']","['66', '']","['57', '']","['15', '']","['42', '']"
3191,r206,Illinois -> Private,Illinois,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r207,Illinois -> Private -> Bradley U.,Illinois,Private,Bradley U.,3,"['154', '']","['157', '']","['158', '']","['130', '']","['22', '']","['108', '']"
3191,r208,Illinois -> Private -> DePaul U.,Illinois,Private,DePaul U.,3,"['409', '']","['523', '']","['533', '']","['306', '']","['86', '']","['220', '']"
3191,r209,Illinois -> Private -> Erikson Institute,Illinois,Private,Erikson Institute,3,"['57', '']","['64', '']","['56', '']","['55', '']","['10', '']","['45', '']"
3191,r210,Illinois -> Private -> Illinois Institute of Technology,Illinois,Private,Illinois Institute of Technology,3,"['661', '']","['662', '']","['615', '']","['601', '']","['123', '']","['478', '']"
3191,r211,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['907', '']","['854', '']","['782', '']","['835', '']","['173', '']","['662', '']"
3191,r212,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['431', '']","['493', '']","['438', '']","['455', '']","['14', '']","['441', '']"
3191,r213,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['7,947', '']","['9,333', '']","['9,603', '']","['10,096', '']","['1,337', '']","['8,759', '']"
3191,r214,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['186', '']","['194', '']","['182', '']","['181', '']","['41', '']","['140', '']"
3191,r215,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['776', '']","['748', '']","['815', '']","['824', '']","['314', '']","['510', '']"
3191,r216,"Illinois -> Private -> Toyota Technological Institute, Chicago",Illinois,Private,"Toyota Technological Institute, Chicago",3,"['31', '']","['53', '']","['71', '']","['80', '']","['20', '']","['60', '']"
3191,r217,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['4,760', '']","['4,534', '']","['4,742', '']","['4,934', '']","['712', '']","['4,222', '']"
3191,r218,"Illinois -> Private -> Wheaton C., Wheaton",Illinois,Private,"Wheaton C., Wheaton",3,"['ne', '']","['74', '']","['100', '']","['103', '']","['25', '']","['78', '']"
3191,r219,Indiana,Indiana,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r220,Indiana -> Public,Indiana,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r221,Indiana -> Public -> Ball State U.,Indiana,Public,Ball State U.,3,"['361', '']","['404', '']","['346', '']","['345', '']","['100', '']","['245', '']"
3191,r222,Indiana -> Public -> Indiana State U.,Indiana,Public,Indiana State U.,3,"['76', '']","['83', '']","['90', '']","['121', '']","['19', '']","['102', '']"
3191,r223,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['7,360', '']","['7,675', '']","['7,878', '']","['9,197', '']","['1,302', '']","['7,895', '']"
3191,r224,"Indiana -> Public -> Indiana U.-Purdue U., Indianapolis",Indiana,Public,"Indiana U.-Purdue U., Indianapolis",3,"['1,396', '']","['1,516', '']","['1,580', '']","['1,878', '']","['303', '']","['1,575', '']"
3191,r225,"Indiana -> Public -> Purdue U., Fort Wayne",Indiana,Public,"Purdue U., Fort Wayne",3,"['229', '']","['257', '']","['192', '']","['222', '']","['32', '']","['190', '']"
3191,r226,"Indiana -> Public -> Purdue U., Northwest",Indiana,Public,"Purdue U., Northwest",3,"['na', '']","['293', '']","['220', '']","['238', '']","['42', '']","['196', '']"
3191,r227,"Indiana -> Public -> Purdue U., West Lafayette",Indiana,Public,"Purdue U., West Lafayette",3,"['10,076', '']","['10,608', '']","['11,328', '']","['13,143', '']","['1,472', '']","['11,671', '']"
3191,r228,Indiana -> Private,Indiana,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r229,Indiana -> Private -> U. Notre Dame,Indiana,Private,U. Notre Dame,3,"['3,547', '']","['3,563', '']","['3,566', '']","['3,566', '']","['379', '']","['3,187', '']"
3191,r230,Iowa,Iowa,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r231,Iowa -> Public,Iowa,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r232,Iowa -> Public -> Iowa State U.,Iowa,Public,Iowa State U.,3,"['5,649', '']","['5,617', '']","['5,595', '']","['5,682', '']","['734', '']","['4,948', '']"
3191,r233,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['6,672', '']","['6,652', '']","['6,516', '']","['6,588', '']","['1,048', '']","['5,540', '']"
3191,r234,Iowa -> Public -> U. Northern Iowa,Iowa,Public,U. Northern Iowa,3,"['332', '']","['296', '']","['225', '']","['276', '']","['18', '']","['258', '']"
3191,r235,Iowa -> Private,Iowa,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r236,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['140', '']","['87', '']","['95', '']","['96', '']","['11', '']","['85', '']"
3191,r237,Iowa -> Private -> Drake U.,Iowa,Private,Drake U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3191,r238,Iowa -> Private -> Grinnell C.,Iowa,Private,Grinnell C.,3,"['205', '']","['236', '']","['263', '']","['189', '']","['10', '']","['179', '']"
3191,r239,"Iowa -> Private -> Palmer C. of Chiropractic, Davenport",Iowa,Private,"Palmer C. of Chiropractic, Davenport",3,"['19', '']","['17', '']","['16', '']","['12', '']","['2', '']","['10', '']"
3191,r240,Kansas,Kansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r241,Kansas -> Public,Kansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r242,Kansas -> Public -> Fort Hays State U.,Kansas,Public,Fort Hays State U.,3,"['ne', '']","['ne', '']","['ne', '']","['49', '']","['9', '']","['40', '']"
3191,r243,Kansas -> Public -> Kansas State U.,Kansas,Public,Kansas State U.,3,"['4,331', '']","['4,440', '']","['4,818', '']","['4,671', '']","['398', '']","['4,273', '']"
3191,r244,Kansas -> Public -> Pittsburg State U.,Kansas,Public,Pittsburg State U.,3,"['68', '']","['68', 'i']","['112', 'i']","['126', 'i']","['26', 'i']","['100', 'i']"
3191,r245,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['4,952', '']","['4,727', '']","['5,187', '']","['5,267', '']","['943', '']","['4,324', '']"
3191,r246,Kansas -> Public -> Wichita State U.,Kansas,Public,Wichita State U.,3,"['1,127', '']","['1,042', '']","['1,312', '']","['1,149', '']","['119', '']","['1,030', '']"
3191,r247,Kentucky,Kentucky,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r248,Kentucky -> Public,Kentucky,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r249,Kentucky -> Public -> Eastern Kentucky U.,Kentucky,Public,Eastern Kentucky U.,3,"['92', '']","['94', '']","['89', '']","['105', '']","['17', '']","['88', '']"
3191,r250,Kentucky -> Public -> Kentucky State U.,Kentucky,Public,Kentucky State U.,3,"['162', '']","['234', 'i']","['234', '']","['222', '']","['36', '']","['186', '']"
3191,r251,Kentucky -> Public -> Morehead State U.,Kentucky,Public,Morehead State U.,3,"['10', '']","['10', '']","['26', 'i']","['21', '']","['15', '']","['6', '']"
3191,r252,Kentucky -> Public -> Murray State U.,Kentucky,Public,Murray State U.,3,"['123', '']","['116', '']","['135', '']","['118', '']","['18', '']","['100', '']"
3191,r253,Kentucky -> Public -> Northern Kentucky U.,Kentucky,Public,Northern Kentucky U.,3,"['181', '']","['159', '']","['156', '']","['213', '']","['23', '']","['190', '']"
3191,r254,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['5,576', '']","['6,042', '']","['6,106', '']","['6,179', '']","['1,656', '']","['4,523', '']"
3191,r255,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['2,656', '']","['2,657', '']","['2,449', '']","['2,860', '']","['472', '']","['2,388', '']"
3191,r256,Kentucky -> Public -> Western Kentucky U.,Kentucky,Public,Western Kentucky U.,3,"['381', '']","['396', '']","['201', '']","['313', '']","['72', '']","['241', '']"
3191,r257,Louisiana,Louisiana,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r258,Louisiana -> Public,Louisiana,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r259,Louisiana -> Public -> Grambling State U.,Louisiana,Public,Grambling State U.,3,"['46', '']","['71', '']","['62', '']","['64', '']","['40', '']","['24', '']"
3191,r260,"Louisiana -> Public -> Louisiana State U., Baton Rouge",Louisiana,Public,"Louisiana State U., Baton Rouge",3,"['3,536', '']","['3,185', '']","['3,316', '']","['3,301', '']","['591', '']","['2,710', '']"
3191,r261,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['539', '']","['517', '']","['497', '']","['526', '']","['113', '']","['413', '']"
3191,r262,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['301', '']","['286', '']","['425', '']","['388', '']","['49', '']","['339', '']"
3191,r263,Louisiana -> Public -> Louisiana Tech U.,Louisiana,Public,Louisiana Tech U.,3,"['456', '']","['417', '']","['502', '']","['455', '']","['102', '']","['353', '']"
3191,r264,Louisiana -> Public -> Northwestern State U. Louisiana,Louisiana,Public,Northwestern State U. Louisiana,3,"['31', '']","['22', '']","['26', '']","['28', '']","['8', '']","['20', '']"
3191,r265,Louisiana -> Public -> Southeastern Louisiana U.,Louisiana,Public,Southeastern Louisiana U.,3,"['65', '']","['57', '']","['52', '']","['55', '']","['14', '']","['41', '']"
3191,r266,"Louisiana -> Public -> Southern U. and A&M C., Agricultural Research and Extension Center",Louisiana,Public,"Southern U. and A&M C., Agricultural Research and Extension Center",3,"['48', '']","['48', 'i']","['48', '']","['52', '']","['17', '']","['35', '']"
3191,r267,"Louisiana -> Public -> Southern U. and A&M C., Baton Rouge",Louisiana,Public,"Southern U. and A&M C., Baton Rouge",3,"['135', '']","['144', '']","['149', '']","['166', '']","['28', '']","['138', '']"
3191,r268,"Louisiana -> Public -> U. Louisiana, Lafayette",Louisiana,Public,"U. Louisiana, Lafayette",3,"['926', 'i']","['876', '']","['985', '']","['1,009', '']","['118', '']","['891', '']"
3191,r269,"Louisiana -> Public -> U. Louisiana, Monroe",Louisiana,Public,"U. Louisiana, Monroe",3,"['70', '']","['88', '']","['86', '']","['66', '']","['14', '']","['52', '']"
3191,r270,Louisiana -> Public -> U. New Orleans,Louisiana,Public,U. New Orleans,3,"['488', '']","['501', '']","['492', '']","['533', '']","['67', '']","['466', '']"
3191,r271,Louisiana -> Private,Louisiana,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r272,Louisiana -> Private -> Dillard U.,Louisiana,Private,Dillard U.,3,"['105', '']","['137', '']","['131', '']","['32', '']","['10', '']","['22', '']"
3191,r273,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['1,402', '']","['1,530', '']","['1,328', '']","['1,523', '']","['269', '']","['1,254', '']"
3191,r274,Louisiana -> Private -> Xavier U. Louisiana,Louisiana,Private,Xavier U. Louisiana,3,"['325', '']","['256', '']","['314', '']","['275', '']","['34', '']","['241', '']"
3191,r275,Maine,Maine,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r276,Maine -> Public,Maine,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r277,Maine -> Public -> Maine Maritime Academy,Maine,Public,Maine Maritime Academy,3,"['8', '']","['20', '']","['8', '']","['4', '']","['4', '']","['0', '']"
3191,r278,Maine -> Public -> U. Maine,Maine,Public,U. Maine,3,"['737', '']","['1,673', '']","['1,681', '']","['1,600', '']","['367', '']","['1,233', '']"
3191,r279,Maine -> Public -> U. Southern Maine,Maine,Public,U. Southern Maine,3,"['314', '']","['283', '']","['305', '']","['381', '']","['46', '']","['335', '']"
3191,r280,Maine -> Private,Maine,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r281,Maine -> Private -> Bates C.,Maine,Private,Bates C.,3,"['105', '']","['103', '']","['98', '']","['149', '']","['22', '']","['127', '']"
3191,r282,Maine -> Private -> Bowdoin C.,Maine,Private,Bowdoin C.,3,"['63', '']","['66', '']","['56', '']","['74', '']","['40', '']","['34', '']"
3191,r283,Maine -> Private -> Colby C.,Maine,Private,Colby C.,3,"['135', '']","['173', '']","['167', '']","['108', '']","['21', '']","['87', '']"
3191,r284,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['220', '']","['187', '']","['175', '']","['138', '']","['24', '']","['114', '']"
3191,r285,Maryland,Maryland,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r286,Maryland -> Public,Maryland,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r287,Maryland -> Public -> Bowie State U.,Maryland,Public,Bowie State U.,3,"['106', '']","['133', '']","['132', '']","['115', '']","['0', '']","['115', '']"
3191,r288,Maryland -> Public -> Morgan State U.,Maryland,Public,Morgan State U.,3,"['301', '']","['308', '']","['317', '']","['328', '']","['54', '']","['274', '']"
3191,r289,Maryland -> Public -> Salisbury U.,Maryland,Public,Salisbury U.,3,"['280', '']","['277', '']","['257', '']","['269', '']","['73', '']","['196', '']"
3191,r290,Maryland -> Public -> Towson U.,Maryland,Public,Towson U.,3,"['98', '']","['162', '']","['228', '']","['226', '']","['69', '']","['157', '']"
3191,r291,Maryland -> Public -> U. Baltimore,Maryland,Public,U. Baltimore,3,"['135', '']","['128', '']","['162', '']","['135', '']","['20', '']","['115', '']"
3191,r292,Maryland -> Public -> U. Maryland<sup>a</sup>,Maryland,Public,U. Maryland<sup>a</sup>,3,"['na', '']","['na', '']","['na', '']","['16,538', '']","['1,638', '']","['14,900', '']"
3191,r293,Maryland -> Public -> U. Maryland Center for Environmental Science,Maryland,Public,U. Maryland Center for Environmental Science,3,"['399', '']","['408', '']","['334', '']","['308', '']","['96', '']","['212', '']"
3191,r294,"Maryland -> Public -> U. Maryland, Baltimore County",Maryland,Public,"U. Maryland, Baltimore County",3,"['1,265', '']","['1,479', '']","['1,389', '']","['1,463', '']","['263', '']","['1,200', '']"
3191,r295,"Maryland -> Public -> U. Maryland, Eastern Shore",Maryland,Public,"U. Maryland, Eastern Shore",3,"['127', '']","['190', '']","['88', '']","['101', '']","['22', '']","['79', '']"
3191,r296,Maryland -> Public -> U.S. Naval Academy,Maryland,Public,U.S. Naval Academy,3,"['199', '']","['218', '']","['264', '']","['210', '']","['138', '']","['72', '']"
3191,r297,Maryland -> Public -> Uniformed Services U. of the Health Sciences,Maryland,Public,Uniformed Services U. of the Health Sciences,3,"['73', '']","['67', '']","['61', '']","['89', '']","['19', '']","['70', '']"
3191,r298,Maryland -> Private,Maryland,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r299,Maryland -> Private -> Johns Hopkins U.<sup>b</sup>,Maryland,Private,Johns Hopkins U.<sup>b</sup>,3,"['23,391', 'i']","['23,504', 'i']","['22,548', 'i']","['25,423', 'i']","['3,532', 'i']","['21,891', 'i']"
3191,r300,Massachusetts,Massachusetts,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r301,Massachusetts -> Public,Massachusetts,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r302,"Massachusetts -> Public -> U. Massachusetts, Amherst",Massachusetts,Public,"U. Massachusetts, Amherst",3,"['3,878', '']","['3,253', '']","['3,341', '']","['3,389', '']","['606', '']","['2,783', '']"
3191,r303,"Massachusetts -> Public -> U. Massachusetts, Boston",Massachusetts,Public,"U. Massachusetts, Boston",3,"['1,403', '']","['1,306', '']","['1,229', '']","['1,228', '']","['157', '']","['1,071', '']"
3191,r304,"Massachusetts -> Public -> U. Massachusetts, central office",Massachusetts,Public,"U. Massachusetts, central office",3,"['69', '']","['79', '']","['83', '']","['78', '']","['7', '']","['71', '']"
3191,r305,"Massachusetts -> Public -> U. Massachusetts, Dartmouth",Massachusetts,Public,"U. Massachusetts, Dartmouth",3,"['473', '']","['308', '']","['288', '']","['279', '']","['79', '']","['200', '']"
3191,r306,"Massachusetts -> Public -> U. Massachusetts, Lowell",Massachusetts,Public,"U. Massachusetts, Lowell",3,"['1,445', '']","['1,417', '']","['1,473', '']","['1,564', '']","['382', '']","['1,182', '']"
3191,r307,"Massachusetts -> Public -> U. Massachusetts, Medical School",Massachusetts,Public,"U. Massachusetts, Medical School",3,"['2,780', '']","['2,869', '']","['2,939', '']","['2,743', '']","['592', '']","['2,151', '']"
3191,r308,Massachusetts -> Private,Massachusetts,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r309,Massachusetts -> Private -> Amherst C.,Massachusetts,Private,Amherst C.,3,"['251', '']","['314', '']","['345', '']","['480', '']","['13', '']","['467', '']"
3191,r310,Massachusetts -> Private -> Babson C.,Massachusetts,Private,Babson C.,3,"['50', 'i']","['111', 'i']","['115', 'i']","['118', 'i']","['22', 'i']","['96', 'i']"
3191,r311,Massachusetts -> Private -> Boston C.,Massachusetts,Private,Boston C.,3,"['674', '']","['690', '']","['732', '']","['746', '']","['125', '']","['621', '']"
3191,r312,Massachusetts -> Private -> Boston U.,Massachusetts,Private,Boston U.,3,"['4,011', '']","['4,138', '']","['4,300', '']","['4,451', '']","['820', '']","['3,631', '']"
3191,r313,Massachusetts -> Private -> Brandeis U.,Massachusetts,Private,Brandeis U.,3,"['1,194', '']","['1,234', '']","['1,614', '']","['1,118', '']","['204', '']","['914', '']"
3191,r314,Massachusetts -> Private -> Clark U.,Massachusetts,Private,Clark U.,3,"['237', '']","['166', '']","['112', '']","['180', '']","['28', '']","['152', '']"
3191,r315,Massachusetts -> Private -> Emerson C.,Massachusetts,Private,Emerson C.,3,"['95', '']","['75', '']","['75', '']","['79', '']","['49', '']","['30', '']"
3191,r316,Massachusetts -> Private -> Franklin W. Olin C. of Engineering,Massachusetts,Private,Franklin W. Olin C. of Engineering,3,"['60', '']","['56', '']","['44', '']","['12', '']","['5', '']","['7', '']"
3191,r317,Massachusetts -> Private -> Harvard U.,Massachusetts,Private,Harvard U.,3,"['7,573', '']","['7,496', '']","['7,575', '']","['7,579', '']","['1,090', '']","['6,489', '']"
3191,r318,Massachusetts -> Private -> Massachusetts Institute of Technology,Massachusetts,Private,Massachusetts Institute of Technology,3,"['9,978', '']","['10,013', '']","['9,988', '']","['9,028', '']","['1,016', '']","['8,012', '']"
3191,r319,Massachusetts -> Private -> MGH Institute of Health Professions,Massachusetts,Private,MGH Institute of Health Professions,3,"['46', '']","['43', '']","['43', '']","['61', '']","['28', '']","['33', '']"
3191,r320,Massachusetts -> Private -> Mount Holyoke C.,Massachusetts,Private,Mount Holyoke C.,3,"['152', '']","['152', '']","['178', '']","['178', '']","['25', '']","['153', '']"
3191,r321,Massachusetts -> Private -> New England C. of Optometry,Massachusetts,Private,New England C. of Optometry,3,"['18', '']","['ne', '']","['18', '']","['18', '']","['12', '']","['6', '']"
3191,r322,Massachusetts -> Private -> Northeastern U.,Massachusetts,Private,Northeastern U.,3,"['2,042', '']","['2,172', '']","['2,385', '']","['2,445', '']","['471', '']","['1,974', '']"
3191,r323,Massachusetts -> Private -> Smith C.,Massachusetts,Private,Smith C.,3,"['180', '']","['223', '']","['226', '']","['300', '']","['27', '']","['273', '']"
3191,r324,Massachusetts -> Private -> Tufts U.,Massachusetts,Private,Tufts U.,3,"['3,196', '']","['1,913', '']","['3,516', '']","['4,007', '']","['53', '']","['3,954', '']"
3191,r325,Massachusetts -> Private -> Wellesley C.,Massachusetts,Private,Wellesley C.,3,"['386', '']","['334', '']","['326', '']","['309', '']","['68', '']","['241', '']"
3191,r326,Massachusetts -> Private -> Williams C.,Massachusetts,Private,Williams C.,3,"['115', '']","['115', '']","['110', '']","['91', '']","['35', '']","['56', '']"
3191,r327,Massachusetts -> Private -> Woods Hole Oceanographic Institution,Massachusetts,Private,Woods Hole Oceanographic Institution,3,"['789', '']","['777', '']","['797', '']","['801', '']","['241', '']","['560', '']"
3191,r328,Massachusetts -> Private -> Worcester Polytechnic Institute,Massachusetts,Private,Worcester Polytechnic Institute,3,"['723', '']","['692', '']","['715', '']","['801', '']","['183', '']","['618', '']"
3191,r329,Michigan,Michigan,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r330,Michigan -> Public,Michigan,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r331,Michigan -> Public -> Central Michigan U.,Michigan,Public,Central Michigan U.,3,"['718', '']","['574', '']","['603', '']","['669', '']","['62', '']","['607', '']"
3191,r332,Michigan -> Public -> Eastern Michigan U.,Michigan,Public,Eastern Michigan U.,3,"['176', '']","['255', '']","['193', '']","['93', '']","['25', '']","['68', '']"
