table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_agricultural_sciences_and_natural_resources_conservation_2016,field_total_agricultural_sciences_and_natural_resources_conservation_2017,field_total_agricultural_sciences_and_natural_resources_conservation_2018,field_total_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2016,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2017,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2018,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019
3160,r096,All institutions -> Harvard U.,All institutions,Harvard U.,2,95,"['0', '']","['3,066', 'i']","['4,370', 'i']","['3,435', 'i']","['0', '']","['3,435', 'i']","['0', '']","['2,040', 'i']","['2,350', 'i']","['2,135', 'i']","['0', '']","['2,135', 'i']"
3160,r097,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,96,"['0', '']","['818', '']","['3,370', '']","['3,005', '']","['2,114', '']","['891', '']","['0', '']","['127', '']","['88', '']","['71', '']","['71', '']","['0', '']"
3160,r098,"All institutions -> Lincoln U., Jefferson City",All institutions,"Lincoln U., Jefferson City",2,97,"['3,414', '']","['3,287', '']","['3,120', '']","['2,947', '']","['2,822', '']","['125', '']","['2,541', '']","['2,271', '']","['1,638', '']","['1,498', '']","['1,434', '']","['64', '']"
3160,r099,All institutions -> West Texas A&M U.,All institutions,West Texas A&M U.,2,98,"['2,284', '']","['2,997', '']","['2,716', '']","['2,877', '']","['2,721', '']","['156', '']","['390', '']","['430', '']","['382', '']","['313', '']","['201', '']","['112', '']"
3160,r100,All institutions -> Central State U.,All institutions,Central State U.,2,99,"['342', '']","['1,217', '']","['2,808', '']","['2,871', '']","['2,689', '']","['182', '']","['245', '']","['700', '']","['1,492', '']","['1,622', '']","['1,532', '']","['90', '']"
3160,r101,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,100,"['2,386', '']","['2,787', '']","['3,052', '']","['2,724', '']","['2,724', '']","['0', '']","['43', '']","['6', '']","['6', '']","['85', '']","['85', '']","['0', '']"
3160,r102,All institutions -> Drexel U.,All institutions,Drexel U.,2,101,"['3,183', '']","['3,554', '']","['7,868', '']","['2,650', '']","['0', '']","['2,650', '']","['350', '']","['304', '']","['197', '']","['105', '']","['0', '']","['105', '']"
3160,r103,All institutions -> Florida International U.,All institutions,Florida International U.,2,102,"['3,283', '']","['2,725', '']","['2,940', '']","['2,604', '']","['62', '']","['2,542', '']","['1,664', '']","['1,574', '']","['1,631', '']","['1,881', '']","['54', '']","['1,827', '']"
3160,r104,"All institutions -> Brigham Young U., Provo",All institutions,"Brigham Young U., Provo",2,103,"['5,459', '']","['4,254', '']","['2,766', '']","['2,583', '']","['2,583', '']","['0', '']","['4,029', '']","['2,821', '']","['1,542', '']","['1,274', '']","['1,274', '']","['0', '']"
3160,r105,"All institutions -> U. California, Office of the President",All institutions,"U. California, Office of the President",2,104,"['2,316', '']","['2,328', '']","['2,418', '']","['2,552', '']","['2,552', '']","['0', '']","['160', '']","['98', '']","['129', '']","['117', '']","['117', '']","['0', '']"
3160,r106,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,105,"['1,556', '']","['1,740', '']","['1,909', '']","['2,546', '']","['2,546', '']","['0', '']","['851', '']","['1,060', '']","['959', '']","['1,254', '']","['1,254', '']","['0', '']"
3160,r107,All institutions -> U. of the District of Columbia,All institutions,U. of the District of Columbia,2,106,"['1,614', '']","['1,813', '']","['1,626', '']","['2,538', '']","['2,538', '']","['0', '']","['763', '']","['882', '']","['738', '']","['1,083', '']","['1,083', '']","['0', '']"
3160,r108,All institutions -> Florida State U.,All institutions,Florida State U.,2,107,"['385', '']","['2,852', '']","['3,825', '']","['2,428', '']","['207', '']","['2,221', '']","['138', '']","['284', '']","['415', '']","['592', '']","['65', '']","['527', '']"
3160,r109,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,108,"['1,234', '']","['1,823', '']","['2,868', '']","['2,242', '']","['0', '']","['2,242', '']","['277', '']","['746', '']","['734', '']","['668', '']","['0', '']","['668', '']"
3160,r110,All institutions -> U. Wisconsin-Superior,All institutions,U. Wisconsin-Superior,2,109,"['ne', '']","['ne', '']","['2,908', '']","['2,122', '']","['0', '']","['2,122', '']","['ne', '']","['ne', '']","['1,808', '']","['1,401', '']","['0', '']","['1,401', '']"
3160,r111,"All institutions -> U. Nebraska, central administration",All institutions,"U. Nebraska, central administration",2,110,"['ne', '']","['ne', '']","['1,747', '']","['2,074', '']","['2,074', '']","['0', '']","['ne', '']","['ne', '']","['1,615', '']","['1,935', '']","['1,935', '']","['0', '']"
3160,r112,"All institutions -> U. North Carolina, Wilmington",All institutions,"U. North Carolina, Wilmington",2,111,"['1,708', '']","['2,456', '']","['2,464', '']","['2,019', '']","['1,850', '']","['169', '']","['462', '']","['831', '']","['1,072', '']","['794', '']","['769', '']","['25', '']"
3160,r113,"All institutions -> Arkansas State U., Jonesboro",All institutions,"Arkansas State U., Jonesboro",2,112,"['1,479', '']","['1,540', '']","['1,440', '']","['1,983', '']","['1,983', '']","['0', '']","['762', '']","['803', '']","['780', '']","['1,237', '']","['1,237', '']","['0', '']"
3160,r114,All institutions -> Stephen F. Austin State U.,All institutions,Stephen F. Austin State U.,2,113,"['2,131', '']","['1,992', '']","['1,533', '']","['1,804', '']","['1,780', '']","['24', '']","['794', '']","['735', '']","['564', '']","['589', '']","['589', '']","['0', '']"
3160,r115,"All institutions -> U. Texas Health Science Center, Tyler",All institutions,"U. Texas Health Science Center, Tyler",2,114,"['645', '']","['1,737', '']","['1,618', 'i']","['1,687', 'i']","['1,687', 'i']","['0', 'i']","['645', '']","['1,737', '']","['1,618', 'i']","['1,687', 'i']","['1,687', 'i']","['0', 'i']"
3160,r116,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,115,"['6', '']","['9', '']","['34', '']","['1,647', '']","['1,647', '']","['0', '']","['0', '']","['0', '']","['0', '']","['213', '']","['213', '']","['0', '']"
3160,r117,All institutions -> Cold Spring Harbor Laboratory,All institutions,Cold Spring Harbor Laboratory,2,116,"['0', '']","['0', '']","['568', '']","['1,622', '']","['1,622', '']","['0', '']","['0', '']","['0', '']","['423', '']","['1,535', '']","['1,535', '']","['0', '']"
3160,r118,All institutions -> Sul Ross State U.,All institutions,Sul Ross State U.,2,117,"['1,147', '']","['1,559', '']","['2,001', '']","['1,578', '']","['114', '']","['1,464', '']","['272', '']","['439', '']","['504', '']","['330', '']","['0', '']","['330', '']"
3160,r119,"All institutions -> U. Hawaii, Hilo",All institutions,"U. Hawaii, Hilo",2,118,"['2,706', '']","['2,200', '']","['1,671', '']","['1,574', '']","['1,463', '']","['111', '']","['2,128', '']","['1,743', '']","['1,150', '']","['835', '']","['813', '']","['22', '']"
3160,r120,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,119,"['1,825', '']","['8,070', '']","['7,686', '']","['1,550', '']","['83', '']","['1,467', '']","['331', '']","['1,920', '']","['1,911', '']","['488', '']","['35', '']","['453', '']"
3160,r121,"All institutions -> California State U., Monterey Bay",All institutions,"California State U., Monterey Bay",2,120,"['975', '']","['1,209', '']","['1,211', '']","['1,501', '']","['1,501', '']","['0', '']","['207', '']","['514', '']","['491', '']","['506', '']","['506', '']","['0', '']"
3160,r122,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,121,"['2,549', '']","['2,510', '']","['2,016', '']","['1,457', '']","['0', '']","['1,457', '']","['873', '']","['1,111', '']","['1,129', '']","['658', '']","['0', '']","['658', '']"
3160,r123,All institutions -> U. Miami,All institutions,U. Miami,2,122,"['130', '']","['1,530', '']","['2,353', '']","['1,403', '']","['0', '']","['1,403', '']","['0', '']","['1,236', '']","['1,410', '']","['1,025', '']","['0', '']","['1,025', '']"
3160,r124,"All institutions -> California State Polytechnic U., Pomona",All institutions,"California State Polytechnic U., Pomona",2,123,"['1,610', '']","['1,681', '']","['1,751', '']","['1,381', '']","['1,381', '']","['0', '']","['237', '']","['431', '']","['335', '']","['287', '']","['287', '']","['0', '']"
3160,r125,"All institutions -> U. Puerto Rico, Mayaguez",All institutions,"U. Puerto Rico, Mayaguez",2,124,"['1,565', '']","['1,223', '']","['792', '']","['1,301', '']","['1,301', '']","['0', '']","['278', '']","['185', '']","['265', '']","['838', '']","['838', '']","['0', '']"
3160,r126,All institutions -> Illinois Institute of Technology,All institutions,Illinois Institute of Technology,2,125,"['1,010', '']","['2,106', '']","['1,791', '']","['1,207', '']","['1,207', '']","['0', '']","['1,009', '']","['1,941', '']","['1,631', '']","['1,147', '']","['1,147', '']","['0', '']"
3160,r127,All institutions -> Boise State U.,All institutions,Boise State U.,2,126,"['65', '']","['660', '']","['529', '']","['1,202', '']","['516', '']","['686', '']","['48', '']","['450', '']","['251', '']","['807', '']","['405', '']","['402', '']"
3160,r128,All institutions -> Missouri State U.,All institutions,Missouri State U.,2,127,"['1,038', '']","['746', '']","['1,036', '']","['1,199', '']","['602', '']","['597', '']","['909', '']","['735', '']","['998', '']","['885', '']","['478', '']","['407', '']"
3160,r129,All institutions -> Hobart and William Smith Colleges,All institutions,Hobart and William Smith Colleges,2,128,"['ne', '']","['256', '']","['ne', '']","['1,185', '']","['13', '']","['1,172', '']","['ne', '']","['44', '']","['ne', '']","['618', '']","['13', '']","['605', '']"
3160,r130,All institutions -> U. Texas Rio Grande Valley,All institutions,U. Texas Rio Grande Valley,2,129,"['431', '']","['534', '']","['791', '']","['1,121', '']","['883', '']","['238', '']","['30', '']","['122', '']","['576', '']","['894', '']","['846', '']","['48', '']"
3160,r131,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,130,"['1,074', '']","['1,134', '']","['1,040', '']","['1,104', '']","['223', '']","['881', '']","['863', '']","['908', '']","['891', '']","['837', '']","['185', '']","['652', '']"
3160,r132,All institutions -> Tufts U.,All institutions,Tufts U.,2,131,"['0', '']","['29,339', '']","['3,280', '']","['1,048', '']","['1,048', '']","['0', '']","['0', '']","['15,774', '']","['1,960', '']","['197', '']","['197', '']","['0', '']"
3160,r133,All institutions -> Tennessee Technological U.,All institutions,Tennessee Technological U.,2,132,"['1,635', '']","['1,766', '']","['868', '']","['1,041', '']","['434', '']","['607', '']","['217', '']","['235', '']","['291', '']","['390', '']","['92', '']","['298', '']"
3160,r134,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,133,"['993', '']","['1,340', '']","['1,405', '']","['993', '']","['993', '']","['0', '']","['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r135,All institutions -> St. Edward's U.,All institutions,St. Edward's U.,2,134,"['0', '']","['1,334', '']","['372', '']","['980', '']","['620', '']","['360', '']","['0', '']","['1,090', '']","['184', '']","['950', '']","['600', '']","['350', '']"
3160,r136,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,135,"['1,347', '']","['1,494', '']","['1,482', '']","['949', '']","['0', '']","['949', '']","['880', '']","['1,092', '']","['997', '']","['602', '']","['0', '']","['602', '']"
3160,r137,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,136,"['620', '']","['918', '']","['945', '']","['926', '']","['926', '']","['0', '']","['0', '']","['160', '']","['200', '']","['150', '']","['150', '']","['0', '']"
3160,r138,All institutions -> Alabama A&M U.,All institutions,Alabama A&M U.,2,137,"['1,666', 'i']","['1,419', 'i']","['1,172', 'i']","['925', 'i']","['737', 'i']","['188', 'i']","['939', 'i']","['766', 'i']","['592', 'i']","['419', 'i']","['307', 'i']","['112', 'i']"
3160,r139,All institutions -> Louisiana Tech U.,All institutions,Louisiana Tech U.,2,138,"['755', '']","['671', '']","['781', '']","['917', '']","['917', '']","['0', '']","['295', '']","['289', '']","['320', '']","['361', '']","['361', '']","['0', '']"
3160,r140,All institutions -> Albany State U.,All institutions,Albany State U.,2,139,"['360', '']","['482', '']","['429', '']","['892', '']","['389', '']","['503', '']","['26', '']","['142', '']","['255', '']","['484', '']","['0', '']","['484', '']"
3160,r141,All institutions -> American Samoa Community C.,All institutions,American Samoa Community C.,2,140,"['793', '']","['ne', '']","['ne', '']","['860', '']","['860', '']","['0', '']","['793', '']","['ne', '']","['ne', '']","['860', '']","['860', '']","['0', '']"
3160,r142,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,141,"['12', '']","['1,235', '']","['214', '']","['839', '']","['342', '']","['497', '']","['0', '']","['22', '']","['65', '']","['418', '']","['302', '']","['116', '']"
3160,r143,"All institutions -> U. Massachusetts, Boston",All institutions,"U. Massachusetts, Boston",2,142,"['112', '']","['3', '']","['262', '']","['808', '']","['0', '']","['808', '']","['33', '']","['3', '']","['2', '']","['6', '']","['0', '']","['6', '']"
3160,r144,"All institutions -> CUNY, Advanced Science Research Center",All institutions,"CUNY, Advanced Science Research Center",2,143,"['ne', '']","['0', '']","['0', '']","['805', '']","['23', '']","['782', '']","['ne', '']","['0', '']","['0', '']","['703', '']","['23', '']","['680', '']"
3160,r145,All institutions -> U. Oregon,All institutions,U. Oregon,2,144,"['0', '']","['909', '']","['947', '']","['778', '']","['0', '']","['778', '']","['0', '']","['608', '']","['793', '']","['659', '']","['0', '']","['659', '']"
3160,r146,All institutions -> William & Mary,All institutions,William & Mary,2,144,"['745', '']","['424', '']","['1,338', '']","['778', '']","['778', '']","['0', '']","['255', '']","['257', '']","['334', '']","['366', '']","['366', '']","['0', '']"
3160,r147,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,146,"['477', '']","['746', '']","['878', '']","['774', '']","['774', '']","['0', '']","['406', '']","['609', '']","['780', '']","['685', '']","['685', '']","['0', '']"
3160,r148,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,147,"['372', '']","['257', '']","['21', '']","['764', '']","['0', '']","['764', '']","['243', '']","['139', '']","['11', '']","['6', '']","['0', '']","['6', '']"
3160,r149,"All institutions -> California State U., Chico",All institutions,"California State U., Chico",2,148,"['740', '']","['603', '']","['899', '']","['759', '']","['759', '']","['0', '']","['73', '']","['107', '']","['179', '']","['166', '']","['166', '']","['0', '']"
3160,r150,All institutions -> U. Southern Maine,All institutions,U. Southern Maine,2,149,"['76', '']","['836', '']","['768', '']","['750', '']","['628', '']","['122', '']","['14', '']","['2', '']","['9', '']","['12', '']","['12', '']","['0', '']"
3160,r151,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,150,"['0', '']","['0', '']","['0', '']","['738', '']","['738', '']","['0', '']","['0', '']","['0', '']","['0', '']","['412', '']","['412', '']","['0', '']"
3160,r152,All institutions -> Clark U.,All institutions,Clark U.,2,151,"['193', '']","['11', '']","['115', '']","['724', '']","['711', '']","['13', '']","['155', '']","['0', '']","['104', '']","['711', '']","['711', '']","['0', '']"
3160,r153,All institutions -> Hawaii Pacific U.,All institutions,Hawaii Pacific U.,2,152,"['755', '']","['873', '']","['712', '']","['700', '']","['700', '']","['0', '']","['750', '']","['873', '']","['712', '']","['700', '']","['700', '']","['0', '']"
3160,r154,"All institutions -> U. Nebraska, Kearney",All institutions,"U. Nebraska, Kearney",2,153,"['255', '']","['723', '']","['451', '']","['692', '']","['243', '']","['449', '']","['255', '']","['251', '']","['296', '']","['420', '']","['193', '']","['227', '']"
3160,r155,All institutions -> Texas A&M U.-Commerce,All institutions,Texas A&M U.-Commerce,2,154,"['198', '']","['207', '']","['255', '']","['688', '']","['688', '']","['0', '']","['15', '']","['16', '']","['25', '']","['15', '']","['15', '']","['0', '']"
3160,r156,All institutions -> San Diego State U.,All institutions,San Diego State U.,2,155,"['578', '']","['837', '']","['554', '']","['683', '']","['0', '']","['683', '']","['251', '']","['270', '']","['232', '']","['278', '']","['0', '']","['278', '']"
3160,r157,All institutions -> Middle Tennessee State U.,All institutions,Middle Tennessee State U.,2,156,"['250', '']","['385', '']","['433', '']","['640', '']","['640', '']","['0', '']","['191', '']","['221', '']","['273', '']","['362', '']","['362', '']","['0', '']"
3160,r158,"All institutions -> Loyola U., Chicago",All institutions,"Loyola U., Chicago",2,157,"['481', '']","['750', '']","['724', '']","['616', '']","['0', '']","['616', '']","['299', '']","['360', '']","['506', '']","['470', '']","['0', '']","['470', '']"
3160,r159,"All institutions -> U. Maryland, Eastern Shore",All institutions,"U. Maryland, Eastern Shore",2,158,"['4,433', '']","['1,893', '']","['194', '']","['615', '']","['386', '']","['229', '']","['4,131', '']","['1,893', '']","['186', '']","['611', '']","['382', '']","['229', '']"
3160,r160,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,159,"['368', '']","['320', '']","['382', '']","['592', '']","['592', '']","['0', '']","['139', '']","['53', '']","['15', '']","['54', '']","['54', '']","['0', '']"
3160,r161,All institutions -> Montclair State U.,All institutions,Montclair State U.,2,160,"['128', '']","['155', '']","['470', '']","['582', '']","['72', '']","['510', '']","['4', '']","['42', '']","['323', '']","['110', '']","['72', '']","['38', '']"
3160,r162,All institutions -> San Francisco State U.,All institutions,San Francisco State U.,2,161,"['33', '']","['0', '']","['221', '']","['581', '']","['0', '']","['581', '']","['0', '']","['0', '']","['3', '']","['146', '']","['0', '']","['146', '']"
3160,r163,All institutions -> Baylor U.,All institutions,Baylor U.,2,162,"['122', '']","['192', '']","['440', '']","['576', '']","['64', '']","['512', '']","['0', '']","['67', '']","['204', '']","['131', '']","['58', '']","['73', '']"
3160,r164,All institutions -> Pacific U.,All institutions,Pacific U.,2,163,"['13', '']","['0', '']","['163', '']","['569', '']","['15', '']","['554', '']","['13', '']","['0', '']","['0', '']","['13', '']","['13', '']","['0', '']"
3160,r165,"All institutions -> U. Washington, Tacoma",All institutions,"U. Washington, Tacoma",2,164,"['33', '']","['0', '']","['23', '']","['563', '']","['0', '']","['563', '']","['0', '']","['0', '']","['23', '']","['385', '']","['0', '']","['385', '']"
3160,r166,"All institutions -> SUNY, C. Brockport",All institutions,"SUNY, C. Brockport",2,165,"['827', '']","['668', '']","['783', '']","['557', '']","['141', '']","['416', '']","['348', '']","['363', '']","['363', '']","['167', '']","['6', '']","['161', '']"
3160,r167,All institutions -> Western Kentucky U.,All institutions,Western Kentucky U.,2,166,"['603', '']","['507', '']","['545', '']","['548', '']","['548', '']","['0', '']","['393', '']","['229', '']","['237', '']","['334', '']","['334', '']","['0', '']"
3160,r168,"All institutions -> California State U., San Bernardino",All institutions,"California State U., San Bernardino",2,167,"['723', '']","['767', '']","['498', '']","['509', '']","['509', '']","['0', '']","['589', '']","['582', '']","['439', '']","['447', '']","['447', '']","['0', '']"
3160,r169,All institutions -> Rhode Island School of Design,All institutions,Rhode Island School of Design,2,168,"['9', 'i']","['9', 'i']","['76', 'i']","['500', 'i']","['0', 'i']","['500', 'i']","['0', 'i']","['0', 'i']","['12', 'i']","['177', 'i']","['0', 'i']","['177', 'i']"
3160,r170,"All institutions -> U. South Florida, Saint Petersburg",All institutions,"U. South Florida, Saint Petersburg",2,169,"['298', '']","['335', '']","['498', '']","['499', '']","['0', '']","['499', '']","['169', '']","['143', '']","['316', '']","['270', '']","['0', '']","['270', '']"
3160,r171,All institutions -> Western U. of Health Sciences,All institutions,Western U. of Health Sciences,2,170,"['228', '']","['184', '']","['367', '']","['492', '']","['492', '']","['0', '']","['28', '']","['50', '']","['210', '']","['430', '']","['430', '']","['0', '']"
3160,r172,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,171,"['0', '']","['0', '']","['464', '']","['485', '']","['0', '']","['485', '']","['0', '']","['0', '']","['8', '']","['4', '']","['0', '']","['4', '']"
3160,r173,"All institutions -> U. Alaska, Anchorage",All institutions,"U. Alaska, Anchorage",2,172,"['374', '']","['187', '']","['938', '']","['482', '']","['482', '']","['0', '']","['66', '']","['41', '']","['235', '']","['177', '']","['177', '']","['0', '']"
3160,r174,"All institutions -> Colorado State U., Pueblo",All institutions,"Colorado State U., Pueblo",2,173,"['ne', '']","['ne', '']","['ne', '']","['470', '']","['470', '']","['0', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']"
3160,r175,All institutions -> Bowling Green State U.,All institutions,Bowling Green State U.,2,174,"['108', '']","['91', '']","['97', '']","['463', '']","['294', '']","['169', '']","['100', '']","['38', '']","['49', '']","['81', '']","['5', '']","['76', '']"
3160,r176,"All institutions -> U. Massachusetts, Lowell",All institutions,"U. Massachusetts, Lowell",2,175,"['0', '']","['0', '']","['233', '']","['457', '']","['0', '']","['457', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r177,"All institutions -> California State U., Fullerton",All institutions,"California State U., Fullerton",2,176,"['1', '']","['36', '']","['299', '']","['416', '']","['296', '']","['120', '']","['0', '']","['21', '']","['277', '']","['340', '']","['296', '']","['44', '']"
3160,r178,All institutions -> Santa Clara U.,All institutions,Santa Clara U.,2,177,"['130', '']","['230', '']","['222', '']","['409', '']","['219', '']","['190', '']","['130', '']","['127', '']","['59', '']","['198', '']","['198', '']","['0', '']"
3160,r179,"All institutions -> U. Missouri, Saint Louis",All institutions,"U. Missouri, Saint Louis",2,178,"['221', '']","['230', '']","['221', '']","['407', '']","['1', '']","['406', '']","['129', '']","['59', '']","['16', '']","['202', '']","['1', '']","['201', '']"
3160,r180,All institutions -> George Mason U.,All institutions,George Mason U.,2,179,"['220', '']","['490', '']","['628', '']","['402', '']","['69', '']","['333', '']","['170', '']","['284', '']","['239', '']","['290', '']","['60', '']","['230', '']"
3160,r181,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,180,"['0', '']","['0', '']","['98', '']","['391', '']","['0', '']","['391', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r182,All institutions -> Tulane U.,All institutions,Tulane U.,2,181,"['552', '']","['388', '']","['431', '']","['384', '']","['0', '']","['384', '']","['452', '']","['353', '']","['282', '']","['130', '']","['0', '']","['130', '']"
3160,r183,All institutions -> Texas State U.,All institutions,Texas State U.,2,182,"['562', '']","['331', '']","['386', '']","['349', '']","['349', '']","['0', '']","['507', '']","['311', '']","['331', '']","['296', '']","['296', '']","['0', '']"
3160,r184,All institutions -> U. Toledo,All institutions,U. Toledo,2,183,"['81', '']","['524', '']","['74', '']","['338', '']","['109', '']","['229', '']","['60', '']","['70', '']","['54', '']","['311', '']","['82', '']","['229', '']"
3160,r185,All institutions -> Dine C.,All institutions,Dine C.,2,184,"['ne', '']","['ne', '']","['215', '']","['330', '']","['310', '']","['20', '']","['ne', '']","['ne', '']","['215', '']","['330', '']","['310', '']","['20', '']"
3160,r186,All institutions -> Sam Houston State U.,All institutions,Sam Houston State U.,2,185,"['58', '']","['59', '']","['105', '']","['289', '']","['289', '']","['0', '']","['33', '']","['41', '']","['78', '']","['283', '']","['283', '']","['0', '']"
3160,r187,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,186,"['0', '']","['0', '']","['29', '']","['288', '']","['288', '']","['0', '']","['0', '']","['0', '']","['29', '']","['288', '']","['288', '']","['0', '']"
3160,r188,"All institutions -> California State U., Sacramento",All institutions,"California State U., Sacramento",2,187,"['112', '']","['86', '']","['353', '']","['286', '']","['0', '']","['286', '']","['100', '']","['3', '']","['264', '']","['268', '']","['0', '']","['268', '']"
3160,r189,All institutions -> Eastern Washington U.,All institutions,Eastern Washington U.,2,188,"['0', '']","['0', '']","['354', '']","['281', '']","['0', '']","['281', '']","['0', '']","['0', '']","['354', '']","['281', '']","['0', '']","['281', '']"
3160,r190,All institutions -> U. Wisconsin-Platteville,All institutions,U. Wisconsin-Platteville,2,189,"['ne', '']","['124', 'i']","['ne', '']","['280', 'i']","['203', 'i']","['77', 'i']","['ne', '']","['43', 'i']","['ne', '']","['77', 'i']","['59', 'i']","['18', 'i']"
3160,r191,"All institutions -> California State U., Northridge",All institutions,"California State U., Northridge",2,190,"['0', '']","['0', '']","['196', '']","['273', '']","['273', '']","['0', '']","['0', '']","['0', '']","['196', '']","['273', '']","['273', '']","['0', '']"
3160,r192,All institutions -> Appalachian State U.,All institutions,Appalachian State U.,2,191,"['259', '']","['456', '']","['429', '']","['258', '']","['195', '']","['63', '']","['101', '']","['301', '']","['219', '']","['99', '']","['46', '']","['53', '']"
3160,r193,All institutions -> U. Denver,All institutions,U. Denver,2,192,"['0', '']","['125', '']","['156', '']","['251', '']","['0', '']","['251', '']","['0', '']","['125', '']","['115', '']","['221', '']","['0', '']","['221', '']"
3160,r194,All institutions -> Florida Atlantic U.,All institutions,Florida Atlantic U.,2,193,"['994', '']","['1,025', '']","['259', '']","['249', '']","['249', '']","['0', '']","['442', '']","['267', '']","['259', '']","['249', '']","['249', '']","['0', '']"
3160,r195,All institutions -> U. Dayton,All institutions,U. Dayton,2,194,"['19', '']","['73', '']","['454', '']","['237', '']","['0', '']","['237', '']","['0', '']","['36', '']","['391', '']","['212', '']","['0', '']","['212', '']"
3160,r196,"All institutions -> U. Alaska, Southeast",All institutions,"U. Alaska, Southeast",2,195,"['0', '']","['212', '']","['271', '']","['224', '']","['91', '']","['133', '']","['0', '']","['190', '']","['271', '']","['173', '']","['91', '']","['82', '']"
3160,r197,"All institutions -> U. North Carolina, Asheville",All institutions,"U. North Carolina, Asheville",2,196,"['0', '']","['270', '']","['764', '']","['222', '']","['0', '']","['222', '']","['0', '']","['0', '']","['222', '']","['29', '']","['0', '']","['29', '']"
3160,r198,All institutions -> Western Illinois U.,All institutions,Western Illinois U.,2,197,"['ne', '']","['91', '']","['146', '']","['216', '']","['177', '']","['39', '']","['ne', '']","['46', '']","['72', '']","['120', '']","['81', '']","['39', '']"
3160,r199,"All institutions -> U. Texas, Tyler",All institutions,"U. Texas, Tyler",2,198,"['297', '']","['268', '']","['206', '']","['215', '']","['0', '']","['215', '']","['53', '']","['0', '']","['13', '']","['0', '']","['0', '']","['0', '']"
3160,r200,All institutions -> Salish Kootenai C.,All institutions,Salish Kootenai C.,2,199,"['171', '']","['116', '']","['94', '']","['213', '']","['141', '']","['72', '']","['171', '']","['116', '']","['94', '']","['213', '']","['141', '']","['72', '']"
3160,r201,"All institutions -> U. North Texas, Denton",All institutions,"U. North Texas, Denton",2,199,"['64', '']","['20', '']","['0', '']","['213', '']","['213', '']","['0', '']","['45', '']","['14', '']","['0', '']","['189', '']","['189', '']","['0', '']"
3160,r202,All institutions -> Dickinson C.,All institutions,Dickinson C.,2,201,"['4', '']","['62', '']","['ne', '']","['211', '']","['23', '']","['188', '']","['4', '']","['51', '']","['ne', '']","['101', '']","['11', '']","['90', '']"
3160,r203,"All institutions -> Southern U. and A&M C., Baton Rouge",All institutions,"Southern U. and A&M C., Baton Rouge",2,202,"['98', '']","['219', '']","['184', '']","['210', '']","['156', '']","['54', '']","['51', '']","['157', '']","['184', '']","['210', '']","['156', '']","['54', '']"
3160,r204,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,203,"['0', '']","['0', '']","['0', '']","['209', '']","['0', '']","['209', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r205,"All institutions -> CUNY, Lehman C.",All institutions,"CUNY, Lehman C.",2,204,"['0', '']","['0', '']","['0', '']","['205', '']","['205', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r206,All institutions -> Temple U.,All institutions,Temple U.,2,205,"['1,293', '']","['671', '']","['393', '']","['194', '']","['194', '']","['0', '']","['49', '']","['168', '']","['175', '']","['194', '']","['194', '']","['0', '']"
