table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3049,r109,All institutions -> Medical C. Wisconsin,All institutions,Medical C. Wisconsin,2,108,"['653', '']","['0', '']","['178', '']","['0', '']","['14', '']","['0', '']","['341', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['121', '']"
3049,r110,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,109,"['643', '']","['180', '']","['100', '']","['3', '']","['163', '']","['58', '']","['68', '']","['0', '']","['2', '']","['46', '']","['7', '']","['17', '']","['0', '']"
3049,r111,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,110,"['643', '']","['0', '']","['136', '']","['23', '']","['306', '']","['28', '']","['18', '']","['*', '']","['0', '']","['90', '']","['12', '']","['4', '']","['26', '']"
3049,r112,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,111,"['642', '']","['0', '']","['111', '']","['7', '']","['104', '']","['125', '']","['0', '']","['12', '']","['0', '']","['178', '']","['25', '']","['52', '']","['28', '']"
3049,r113,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,112,"['619', '']","['0', '']","['111', '']","['2', '']","['221', '']","['7', '']","['28', '']","['25', '']","['0', '']","['195', '']","['15', '']","['16', '']","['0', '']"
3049,r114,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,113,"['618', '']","['0', '']","['388', '']","['0', '']","['0', '']","['0', '']","['230', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r115,All institutions -> George Washington U.,All institutions,George Washington U.,2,114,"['615', '']","['0', '']","['205', '']","['29', '']","['98', '']","['0', '']","['167', '']","['4', '']","['1', '']","['72', '']","['4', '']","['10', '']","['25', '']"
3049,r116,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,115,"['599', '']","['231', '']","['77', '']","['3', '']","['98', '']","['9', '']","['61', '']","['1', '']","['45', '']","['47', '']","['3', '']","['10', '']","['15', '']"
3049,r117,"All institutions -> U. Texas Health Science Center, San Antonio",All institutions,"U. Texas Health Science Center, San Antonio",2,116,"['590', '']","['0', '']","['297', '']","['0', '']","['0', '']","['0', '']","['293', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r118,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,117,"['588', '']","['0', '']","['60', '']","['120', '']","['309', '']","['0', '']","['0', '']","['4', '']","['0', '']","['50', '']","['27', '']","['8', '']","['10', '']"
3049,r119,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,118,"['584', '']","['0', '']","['237', '']","['0', '']","['106', '']","['5', '']","['156', '']","['1', '']","['0', '']","['41', '']","['5', '']","['1', '']","['32', '']"
3049,r120,All institutions -> U. Louisville,All institutions,U. Louisville,2,119,"['571', '']","['*', '']","['74', '']","['0', '']","['94', '']","['0', '']","['332', '']","['0', '']","['0', '']","['47', '']","['17', '']","['6', '']","['1', '']"
3049,r121,All institutions -> Dillard U.,All institutions,Dillard U.,2,120,"['565', '']","['0', '']","['110', '']","['42', '']","['10', '']","['150', '']","['42', '']","['46', '']","['50', '']","['68', '']","['23', '']","['23', '']","['0', '']"
3049,r122,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,121,"['565', '']","['0', '']","['515', '']","['0', '']","['0', '']","['0', '']","['35', '']","['0', '']","['0', '']","['15', '']","['0', '']","['0', '']","['0', '']"
3049,r123,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,122,"['564', '']","['0', '']","['150', '']","['3', '']","['16', '']","['35', '']","['50', '']","['0', '']","['5', '']","['170', '']","['71', '']","['42', '']","['22', '']"
3049,r124,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,123,"['563', '']","['328', '']","['29', '']","['24', '']","['112', '']","['1', '']","['4', '']","['6', '']","['18', '']","['31', '']","['2', '']","['6', '']","['2', '']"
3049,r125,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,124,"['557', '']","['0', '']","['85', '']","['37', '']","['216', '']","['18', '']","['50', '']","['6', '']","['0', '']","['126', '']","['17', '']","['2', '']","['0', '']"
3049,r126,"All institutions -> U. Nebraska, Medical Center",All institutions,"U. Nebraska, Medical Center",2,125,"['556', '']","['0', '']","['194', '']","['0', '']","['7', '']","['0', '']","['355', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r127,All institutions -> Albert Einstein C. of Medicine,All institutions,Albert Einstein C. of Medicine,2,126,"['549', '']","['0', '']","['297', '']","['0', '']","['0', '']","['0', '']","['200', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['52', '']"
3049,r128,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,127,"['543', '']","['0', '']","['130', '']","['14', '']","['112', '']","['18', '']","['169', '']","['2', '']","['5', '']","['51', '']","['12', '']","['29', '']","['*', '']"
3049,r129,All institutions -> U. Delaware,All institutions,U. Delaware,2,128,"['526', '']","['111', '']","['17', '']","['8', '']","['144', '']","['61', '']","['43', '']","['2', '']","['8', '']","['97', '']","['16', '']","['11', '']","['8', '']"
3049,r130,All institutions -> Saint Louis U.,All institutions,Saint Louis U.,2,129,"['512', '']","['0', '']","['179', '']","['1', '']","['12', '']","['12', '']","['265', '']","['1', '']","['0', '']","['18', '']","['19', '']","['4', '']","['0', '']"
3049,r131,All institutions -> U. Toledo,All institutions,U. Toledo,2,130,"['502', '']","['8', '']","['138', '']","['0', '']","['97', '']","['15', '']","['102', '']","['4', '']","['34', '']","['75', '']","['18', '']","['12', '']","['0', '']"
3049,r132,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,131,"['494', '']","['74', '']","['144', '']","['15', '']","['90', '']","['30', '']","['8', '']","['0', '']","['18', '']","['92', '']","['15', '']","['9', '']","['0', '']"
3049,r133,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,132,"['490', '']","['0', '']","['334', '']","['*', '']","['20', '']","['2', '']","['72', '']","['0', '']","['0', '']","['55', '']","['1', '']","['4', '']","['0', '']"
3049,r134,All institutions -> Illinois State U.,All institutions,Illinois State U.,2,133,"['490', 'i']","['206', 'i']","['77', 'i']","['55', 'i']","['3', 'i']","['21', 'i']","['18', 'i']","['15', 'i']","['2', 'i']","['58', 'i']","['19', 'i']","['15', 'i']","['0', 'i']"
3049,r135,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,134,"['483', '']","['0', '']","['109', '']","['2', '']","['0', '']","['0', '']","['159', '']","['1', '']","['0', '']","['57', '']","['6', '']","['148', '']","['0', '']"
3049,r136,All institutions -> U. Idaho,All institutions,U. Idaho,2,135,"['482', '']","['191', '']","['135', '']","['4', '']","['54', '']","['12', '']","['16', '']","['1', '']","['32', '']","['33', '']","['*', '']","['4', '']","['0', '']"
3049,r137,All institutions -> Florida International U.,All institutions,Florida International U.,2,136,"['481', '']","['0', '']","['108', '']","['19', '']","['100', '']","['19', '']","['25', '']","['*', '']","['19', '']","['53', '']","['137', '']","['1', '']","['*', '']"
3049,r138,All institutions -> Fort Valley State U.,All institutions,Fort Valley State U.,2,137,"['461', '']","['188', '']","['57', '']","['18', '']","['20', '']","['0', '']","['33', '']","['55', '']","['0', '']","['63', '']","['14', '']","['14', '']","['0', '']"
3049,r139,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,138,"['459', '']","['0', '']","['285', '']","['0', '']","['0', '']","['0', '']","['162', '']","['0', '']","['0', '']","['0', '']","['11', '']","['0', '']","['0', '']"
3049,r140,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,139,"['458', '']","['2', '']","['171', '']","['4', '']","['26', '']","['39', '']","['14', '']","['3', '']","['80', '']","['96', '']","['9', '']","['14', '']","['0', '']"
3049,r141,All institutions -> Howard U.,All institutions,Howard U.,2,140,"['456', '']","['0', '']","['138', '']","['10', '']","['42', '']","['11', '']","['163', '']","['8', '']","['0', '']","['15', '']","['16', '']","['45', '']","['8', '']"
3049,r142,All institutions -> Florida State U.,All institutions,Florida State U.,2,141,"['453', '']","['0', '']","['61', '']","['7', '']","['122', '']","['31', '']","['27', '']","['2', '']","['3', '']","['141', '']","['36', '']","['23', '']","['0', '']"
3049,r143,All institutions -> Temple U.,All institutions,Temple U.,2,142,"['447', '']","['0', '']","['101', '']","['5', '']","['36', '']","['8', '']","['172', '']","['*', '']","['0', '']","['76', '']","['34', '']","['14', '']","['0', '']"
3049,r144,All institutions -> U. Texas Medical Branch,All institutions,U. Texas Medical Branch,2,143,"['438', '']","['0', '']","['327', '']","['0', '']","['0', '']","['0', '']","['111', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r145,All institutions -> U. Wisconsin-Milwaukee,All institutions,U. Wisconsin-Milwaukee,2,144,"['430', '']","['0', '']","['52', '']","['22', '']","['95', '']","['105', '']","['35', '']","['3', '']","['0', '']","['72', '']","['23', '']","['23', '']","['0', '']"
3049,r146,All institutions -> Drexel U.,All institutions,Drexel U.,2,145,"['424', '']","['0', '']","['160', '']","['6', '']","['134', '']","['0', '']","['58', '']","['6', '']","['13', '']","['28', '']","['12', '']","['1', '']","['6', '']"
3049,r147,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,146,"['424', '']","['*', '']","['53', '']","['24', '']","['206', '']","['0', '']","['0', '']","['1', '']","['1', '']","['106', '']","['5', '']","['21', '']","['9', '']"
3049,r148,All institutions -> U. Oregon,All institutions,U. Oregon,2,147,"['414', '']","['0', '']","['153', '']","['12', '']","['0', '']","['42', '']","['5', '']","['*', '']","['4', '']","['115', '']","['51', '']","['26', '']","['6', '']"
3049,r149,All institutions -> South Dakota State U.,All institutions,South Dakota State U.,2,148,"['411', '']","['224', '']","['66', '']","['1', '']","['32', '']","['6', '']","['48', '']","['0', '']","['7', '']","['27', '']","['0', '']","['0', '']","['0', '']"
3049,r150,"All institutions -> U. Puerto Rico, Medical Sciences Campus",All institutions,"U. Puerto Rico, Medical Sciences Campus",2,149,"['400', '']","['0', '']","['345', '']","['0', '']","['0', '']","['0', '']","['55', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']"
3049,r151,All institutions -> Rosalind Franklin U. of Medicine and Science,All institutions,Rosalind Franklin U. of Medicine and Science,2,150,"['399', '']","['0', '']","['384', '']","['0', '']","['0', '']","['0', '']","['15', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r152,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,151,"['395', '']","['0', '']","['29', '']","['27', '']","['138', '']","['16', '']","['64', '']","['2', '']","['0', '']","['73', '']","['24', '']","['9', '']","['11', '']"
3049,r153,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,152,"['389', '']","['91', '']","['22', '']","['7', '']","['112', '']","['3', '']","['49', '']","['*', '']","['51', '']","['50', '']","['4', '']","['0', '']","['0', '']"
3049,r154,All institutions -> Duquesne U.,All institutions,Duquesne U.,2,153,"['387', '']","['0', '']","['76', '']","['5', '']","['9', '']","['0', '']","['134', '']","['5', '']","['0', '']","['100', '']","['7', '']","['50', '']","['0', '']"
3049,r155,All institutions -> U. Miami,All institutions,U. Miami,2,154,"['378', '']","['0', '']","['118', '']","['1', '']","['14', '']","['19', '']","['171', '']","['0', '']","['13', '']","['29', '']","['13', '']","['*', '']","['0', '']"
3049,r156,"All institutions -> U. Tennessee, Health Science Center",All institutions,"U. Tennessee, Health Science Center",2,155,"['378', '']","['0', '']","['318', '']","['19', '']","['1', '']","['0', '']","['40', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r157,All institutions -> U. Dayton,All institutions,U. Dayton,2,156,"['375', '']","['0', '']","['5', '']","['*', '']","['365', '']","['2', '']","['0', '']","['*', '']","['0', '']","['3', '']","['*', '']","['*', '']","['0', '']"
3049,r158,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,157,"['374', '']","['84', '']","['63', '']","['17', '']","['61', '']","['78', '']","['6', '']","['*', '']","['16', '']","['32', '']","['8', '']","['5', '']","['4', '']"
3049,r159,All institutions -> U. Memphis,All institutions,U. Memphis,2,158,"['371', '']","['0', '']","['39', '']","['35', '']","['46', '']","['29', '']","['62', '']","['12', '']","['0', '']","['53', '']","['48', '']","['39', '']","['8', '']"
3049,r160,"All institutions -> Loyola U., Chicago",All institutions,"Loyola U., Chicago",2,159,"['370', '']","['3', '']","['269', '']","['6', '']","['3', '']","['0', '']","['59', '']","['6', '']","['3', '']","['14', '']","['2', '']","['6', '']","['0', '']"
3049,r161,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,160,"['366', '']","['0', '']","['23', '']","['4', '']","['234', '']","['42', '']","['4', '']","['2', '']","['0', '']","['32', '']","['2', '']","['3', '']","['19', '']"
3049,r162,All institutions -> Brown U.,All institutions,Brown U.,2,161,"['354', '']","['0', '']","['127', '']","['12', '']","['75', '']","['11', '']","['45', '']","['20', '']","['2', '']","['35', '']","['21', '']","['6', '']","['0', '']"
3049,r163,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,162,"['348', '']","['0', '']","['49', '']","['36', '']","['68', '']","['15', '']","['14', '']","['7', '']","['6', '']","['61', '']","['21', '']","['24', '']","['47', '']"
3049,r164,"All institutions -> Brigham Young U., Provo",All institutions,"Brigham Young U., Provo",2,163,"['342', '']","['14', '']","['49', '']","['5', '']","['85', '']","['12', '']","['17', '']","['1', '']","['49', '']","['79', '']","['9', '']","['14', '']","['11', '']"
3049,r165,All institutions -> Rice U.,All institutions,Rice U.,2,164,"['339', '']","['0', '']","['38', '']","['7', '']","['162', '']","['11', '']","['0', '']","['6', '']","['0', '']","['84', '']","['6', '']","['4', '']","['23', '']"
3049,r166,All institutions -> U. Akron,All institutions,U. Akron,2,165,"['335', '']","['0', '']","['51', '']","['1', '']","['235', '']","['9', '']","['1', '']","['1', '']","['0', '']","['29', '']","['5', '']","['3', '']","['0', '']"
3049,r167,"All institutions -> Southern Illinois U., Carbondale",All institutions,"Southern Illinois U., Carbondale",2,166,"['328', '']","['129', '']","['70', '']","['*', '']","['39', '']","['6', '']","['42', '']","['*', '']","['5', '']","['22', '']","['10', '']","['4', '']","['0', '']"
3049,r168,All institutions -> William & Mary,All institutions,William & Mary,2,167,"['322', '']","['0', '']","['29', '']","['3', '']","['0', '']","['168', '']","['3', '']","['0', '']","['8', '']","['45', '']","['9', '']","['25', '']","['31', '']"
3049,r169,"All institutions -> SUNY, Downstate Medical Center",All institutions,"SUNY, Downstate Medical Center",2,168,"['317', '']","['0', '']","['163', '']","['0', '']","['0', '']","['0', '']","['154', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r170,All institutions -> Baylor U.,All institutions,Baylor U.,2,169,"['316', '']","['0', '']","['61', '']","['10', '']","['61', '']","['28', '']","['9', '']","['10', '']","['20', '']","['83', '']","['16', '']","['18', '']","['0', '']"
3049,r171,"All institutions -> U. Massachusetts, Lowell",All institutions,"U. Massachusetts, Lowell",2,170,"['314', '']","['0', '']","['9', '']","['12', '']","['152', '']","['9', '']","['32', '']","['0', '']","['0', '']","['94', '']","['3', '']","['4', '']","['0', '']"
3049,r172,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,171,"['311', '']","['0', '']","['60', '']","['7', '']","['79', '']","['108', '']","['0', '']","['5', '']","['0', '']","['50', '']","['0', '']","['2', '']","['0', '']"
3049,r173,All institutions -> Tuskegee U.,All institutions,Tuskegee U.,2,172,"['309', '']","['96', '']","['28', '']","['13', '']","['153', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r174,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,173,"['309', '']","['146', '']","['35', '']","['2', '']","['49', '']","['7', '']","['1', '']","['1', '']","['7', '']","['59', '']","['0', '']","['4', '']","['0', '']"
3049,r175,All institutions -> Alabama State U.,All institutions,Alabama State U.,2,174,"['308', '']","['0', '']","['70', '']","['35', '']","['5', '']","['0', '']","['80', '']","['35', '']","['0', '']","['25', '']","['33', '']","['25', '']","['0', '']"
3049,r176,"All institutions -> U. North Carolina, Charlotte",All institutions,"U. North Carolina, Charlotte",2,175,"['305', '']","['0', '']","['38', '']","['23', '']","['127', '']","['15', '']","['19', '']","['4', '']","['0', '']","['51', '']","['14', '']","['14', '']","['0', '']"
3049,r177,"All institutions -> CUNY, Hunter C.",All institutions,"CUNY, Hunter C.",2,176,"['301', 'i']","['0', 'i']","['63', 'i']","['8', 'i']","['3', 'i']","['10', 'i']","['73', 'i']","['10', 'i']","['2', 'i']","['53', 'i']","['29', 'i']","['50', 'i']","['0', 'i']"
3049,r178,All institutions -> George Mason U.,All institutions,George Mason U.,2,177,"['300', '']","['0', '']","['102', '']","['29', '']","['33', '']","['17', '']","['16', '']","['1', '']","['18', '']","['35', '']","['24', '']","['26', '']","['0', '']"
3049,r179,All institutions -> Idaho State U.,All institutions,Idaho State U.,2,178,"['296', '']","['0', '']","['37', '']","['4', '']","['132', '']","['14', '']","['20', '']","['1', '']","['0', '']","['28', '']","['11', '']","['7', '']","['42', '']"
3049,r180,All institutions -> Central Michigan U.,All institutions,Central Michigan U.,2,179,"['296', '']","['14', '']","['118', '']","['5', '']","['29', '']","['9', '']","['36', '']","['9', '']","['5', '']","['32', '']","['26', '']","['13', '']","['0', '']"
3049,r181,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,180,"['293', '']","['0', '']","['81', '']","['12', '']","['91', '']","['20', '']","['13', '']","['3', '']","['8', '']","['41', '']","['18', '']","['4', '']","['3', '']"
3049,r182,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,181,"['287', '']","['4', '']","['43', '']","['10', '']","['96', '']","['43', '']","['29', '']","['0', '']","['1', '']","['36', '']","['14', '']","['2', '']","['10', '']"
3049,r183,All institutions -> Florida Atlantic U.,All institutions,Florida Atlantic U.,2,182,"['287', '']","['39', '']","['123', '']","['0', '']","['34', '']","['10', '']","['1', '']","['0', '']","['3', '']","['24', '']","['10', '']","['5', '']","['38', '']"
3049,r184,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,183,"['285', '']","['0', '']","['273', '']","['0', '']","['0', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6', '']","['0', '']"
3049,r185,All institutions -> North Carolina Agricultural and Technical State U.,All institutions,North Carolina Agricultural and Technical State U.,2,184,"['285', '']","['55', '']","['10', '']","['3', '']","['83', '']","['0', '']","['54', '']","['30', '']","['46', '']","['5', '']","['0', '']","['0', '']","['0', '']"
3049,r186,"All institutions -> U. North Texas, Health Science Center",All institutions,"U. North Texas, Health Science Center",2,185,"['283', '']","['0', '']","['173', '']","['0', '']","['0', '']","['0', '']","['110', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r187,"All institutions -> SUNY, Upstate Medical U.",All institutions,"SUNY, Upstate Medical U.",2,186,"['282', '']","['0', '']","['273', '']","['0', '']","['0', '']","['0', '']","['9', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r188,All institutions -> East Carolina U.,All institutions,East Carolina U.,2,187,"['280', '']","['0', '']","['90', '']","['3', '']","['3', '']","['19', '']","['119', '']","['0', '']","['0', '']","['29', '']","['6', '']","['12', '']","['0', '']"
3049,r189,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,188,"['278', '']","['1', '']","['15', '']","['24', '']","['136', '']","['22', '']","['2', '']","['5', '']","['1', '']","['71', '']","['1', '']","['1', '']","['0', '']"
3049,r190,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,189,"['278', '']","['59', '']","['92', '']","['2', '']","['0', '']","['19', '']","['61', '']","['3', '']","['4', '']","['19', '']","['1', '']","['6', '']","['13', '']"
3049,r191,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,190,"['278', '']","['0', '']","['65', '']","['6', '']","['106', '']","['11', '']","['3', '']","['*', '']","['6', '']","['62', '']","['8', '']","['10', '']","['0', '']"
3049,r192,All institutions -> Augusta U.,All institutions,Augusta U.,2,191,"['274', '']","['0', '']","['195', '']","['1', '']","['0', '']","['0', '']","['74', '']","['1', '']","['1', '']","['1', '']","['1', '']","['1', '']","['0', '']"
3049,r193,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,192,"['272', '']","['21', '']","['49', '']","['1', '']","['26', '']","['86', '']","['24', '']","['*', '']","['36', '']","['14', '']","['1', '']","['6', '']","['8', '']"
3049,r194,All institutions -> U. Vermont,All institutions,U. Vermont,2,193,"['272', '']","['20', '']","['103', '']","['1', '']","['15', '']","['1', '']","['79', '']","['*', '']","['12', '']","['12', '']","['7', '']","['2', '']","['22', '']"
3049,r195,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,194,"['268', '']","['0', '']","['62', '']","['0', '']","['148', '']","['10', '']","['13', '']","['0', '']","['0', '']","['25', '']","['6', '']","['3', '']","['0', '']"
3049,r196,"All institutions -> U. California, Merced",All institutions,"U. California, Merced",2,195,"['267', '']","['0', '']","['42', '']","['8', '']","['52', '']","['1', '']","['10', '']","['11', '']","['5', '']","['69', '']","['23', '']","['41', '']","['5', '']"
3049,r197,All institutions -> Delaware State U.,All institutions,Delaware State U.,2,196,"['258', '']","['29', '']","['28', '']","['20', '']","['2', '']","['3', '']","['8', '']","['2', '']","['8', '']","['119', '']","['33', '']","['5', '']","['1', '']"
3049,r198,"All institutions -> U. Puerto Rico, Mayaguez",All institutions,"U. Puerto Rico, Mayaguez",2,197,"['258', '']","['61', '']","['34', '']","['1', '']","['70', '']","['33', '']","['0', '']","['2', '']","['0', '']","['54', '']","['1', '']","['1', '']","['0', '']"
3049,r199,All institutions -> Meharry Medical C.,All institutions,Meharry Medical C.,2,198,"['258', '']","['0', '']","['183', '']","['0', '']","['0', '']","['0', '']","['75', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r200,All institutions -> Missouri U. of Science and Technology,All institutions,Missouri U. of Science and Technology,2,199,"['258', '']","['0', '']","['12', '']","['7', '']","['167', '']","['36', '']","['0', '']","['0', '']","['0', '']","['33', '']","['1', '']","['0', '']","['1', '']"
3049,r201,All institutions -> U. Maryland Center for Environmental Science,All institutions,U. Maryland Center for Environmental Science,2,200,"['257', '']","['20', '']","['76', '']","['0', '']","['0', '']","['147', '']","['0', '']","['7', '']","['0', '']","['0', '']","['0', '']","['7', '']","['0', '']"
3049,r202,"All institutions -> Texas Tech U., Health Sciences Center",All institutions,"Texas Tech U., Health Sciences Center",2,201,"['256', '']","['0', '']","['65', '']","['0', '']","['0', '']","['0', '']","['191', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r203,All institutions -> Brandeis U.,All institutions,Brandeis U.,2,202,"['254', '']","['0', '']","['117', '']","['6', '']","['0', '']","['0', '']","['0', '']","['6', '']","['0', '']","['56', '']","['14', '']","['56', '']","['0', '']"
3049,r204,All institutions -> Prairie View A&M U.,All institutions,Prairie View A&M U.,2,203,"['253', '']","['188', '']","['4', '']","['1', '']","['25', '']","['0', '']","['15', '']","['1', '']","['1', '']","['17', '']","['1', '']","['0', '']","['0', '']"
3049,r205,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,204,"['252', '']","['0', '']","['4', '']","['4', '']","['201', '']","['8', '']","['0', '']","['3', '']","['0', '']","['14', '']","['4', '']","['7', '']","['7', '']"
3049,r206,"All institutions -> SUNY, Binghamton U.",All institutions,"SUNY, Binghamton U.",2,205,"['242', '']","['0', '']","['22', '']","['15', '']","['93', '']","['6', '']","['5', '']","['1', '']","['*', '']","['36', '']","['28', '']","['14', '']","['22', '']"
3049,r207,All institutions -> San Diego State U.,All institutions,San Diego State U.,2,206,"['240', '']","['0', '']","['51', '']","['10', '']","['45', '']","['8', '']","['27', '']","['3', '']","['5', '']","['32', '']","['45', '']","['14', '']","['0', '']"
3049,r208,All institutions -> Northern Arizona U.,All institutions,Northern Arizona U.,2,207,"['237', '']","['0', '']","['102', '']","['12', '']","['15', '']","['20', '']","['17', '']","['2', '']","['23', '']","['30', '']","['7', '']","['10', '']","['0', '']"
3049,r209,"All institutions -> U. Minnesota, Duluth",All institutions,"U. Minnesota, Duluth",2,208,"['236', '']","['0', '']","['17', '']","['1', '']","['31', '']","['23', '']","['*', '']","['*', '']","['143', '']","['2', '']","['2', '']","['2', '']","['14', '']"
3049,r210,All institutions -> Florida Institute of Technology,All institutions,Florida Institute of Technology,2,209,"['235', '']","['0', '']","['40', '']","['15', '']","['86', '']","['10', '']","['0', '']","['2', '']","['0', '']","['60', '']","['22', '']","['0', '']","['0', '']"
3049,r211,All institutions -> Louisiana Tech U.,All institutions,Louisiana Tech U.,2,210,"['234', '']","['13', '']","['16', '']","['11', '']","['127', '']","['0', '']","['11', '']","['4', '']","['1', '']","['36', '']","['4', '']","['9', '']","['2', '']"
3049,r212,"All institutions -> U. Nevada, Las Vegas",All institutions,"U. Nevada, Las Vegas",2,211,"['234', '']","['0', '']","['43', '']","['19', '']","['61', '']","['16', '']","['28', '']","['*', '']","['0', '']","['38', '']","['16', '']","['10', '']","['3', '']"
3049,r213,All institutions -> U. Arkansas for Medical Sciences,All institutions,U. Arkansas for Medical Sciences,2,212,"['233', '']","['0', '']","['137', '']","['0', '']","['0', '']","['0', '']","['96', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r214,All institutions -> Morgan State U.,All institutions,Morgan State U.,2,213,"['232', '']","['2', '']","['49', '']","['3', '']","['59', '']","['22', '']","['4', '']","['3', '']","['3', '']","['35', '']","['7', '']","['43', '']","['2', '']"
3049,r215,"All institutions -> Southern U. and A&M C., Baton Rouge",All institutions,"Southern U. and A&M C., Baton Rouge",2,214,"['230', '']","['18', '']","['20', '']","['23', '']","['65', '']","['0', '']","['2', '']","['6', '']","['52', '']","['26', '']","['2', '']","['15', '']","['0', '']"
3049,r216,All institutions -> Marshall U.,All institutions,Marshall U.,2,215,"['230', '']","['22', '']","['82', '']","['1', '']","['10', '']","['9', '']","['40', '']","['4', '']","['0', '']","['35', '']","['2', '']","['7', '']","['17', '']"
3049,r217,All institutions -> Rochester Institute of Technology,All institutions,Rochester Institute of Technology,2,216,"['229', '']","['*', '']","['6', '']","['23', '']","['125', '']","['*', '']","['3', '']","['5', '']","['*', '']","['46', '']","['0', '']","['2', '']","['18', '']"
3049,r218,"All institutions -> California Polytechnic State U., San Luis Obispo",All institutions,"California Polytechnic State U., San Luis Obispo",2,217,"['228', '']","['27', '']","['40', '']","['16', '']","['68', '']","['14', '']","['10', '']","['5', '']","['4', '']","['24', '']","['2', '']","['2', '']","['17', '']"
3049,r219,All institutions -> Texas State U.,All institutions,Texas State U.,2,218,"['225', '']","['4', '']","['38', '']","['5', '']","['33', '']","['4', '']","['19', '']","['1', '']","['20', '']","['40', '']","['4', '']","['56', '']","['0', '']"
