table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
6835,r147,All degrees -> Doctorate -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Doctorate,S&E fields,Engineering,Mechanical engineering,5,35000,30000,24000,2000,5000,1000,4000
6835,r148,All degrees -> Doctorate -> S&E fields -> Engineering -> Other engineering,All degrees,Doctorate,S&E fields,Engineering,Other engineering,5,67000,58000,39000,7000,12000,1000,8000
6835,r149,All degrees -> Doctorate -> S&E-related fields,All degrees,Doctorate,S&E-related fields,,,3,253000,219000,42000,125000,52000,7000,27000
6835,r150,All degrees -> Doctorate -> S&E-related fields -> Health,All degrees,Doctorate,S&E-related fields,Health,,4,221000,195000,31000,123000,41000,6000,20000
6835,r151,All degrees -> Doctorate -> S&E-related fields -> Science and mathematics teacher education,All degrees,Doctorate,S&E-related fields,Science and mathematics teacher education,,4,19000,12000,5000,1000,6000,,S
6835,r152,All degrees -> Doctorate -> S&E-related fields -> Technology and technical fields,All degrees,Doctorate,S&E-related fields,Technology and technical fields,,4,9000,9000,5000,S,3000,,
6835,r153,All degrees -> Doctorate -> S&E-related fields -> Other S&E-related fields,All degrees,Doctorate,S&E-related fields,Other S&E-related fields,,4,4000,3000,2000,,2000,,S
6835,r154,All degrees -> Doctorate -> Non-S&E fields,All degrees,Doctorate,Non-S&E fields,,,3,608000,495000,41000,24000,429000,4000,108000
6835,r155,All degrees -> Doctorate -> Non-S&E fields -> Management and administration fields,All degrees,Doctorate,Non-S&E fields,Management and administration fields,,4,45000,39000,4000,S,34000,,6000
6835,r156,"All degrees -> Doctorate -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Doctorate,Non-S&E fields,"Education, except science and math teacher education",,4,192000,146000,5000,18000,123000,2000,43000
6835,r157,All degrees -> Doctorate -> Non-S&E fields -> Social service and related fields,All degrees,Doctorate,Non-S&E fields,Social service and related fields,,4,122000,100000,9000,S,90000,,22000
6835,r158,All degrees -> Doctorate -> Non-S&E fields -> Sales and marketing fields,All degrees,Doctorate,Non-S&E fields,Sales and marketing fields,,4,10000,9000,,,8000,,
6835,r159,All degrees -> Doctorate -> Non-S&E fields -> Art and humanities fields,All degrees,Doctorate,Non-S&E fields,Art and humanities fields,,4,168000,148000,4000,S,143000,,19000
6835,r160,All degrees -> Doctorate -> Non-S&E fields -> Other non-S&E fields,All degrees,Doctorate,Non-S&E fields,Other non-S&E fields,,4,71000,53000,19000,2000,32000,,18000
6835,r161,All degrees -> Professional,All degrees,Professional,,,,2,3426000,3036000,67000,1404000,1565000,38000,352000
6835,r162,All degrees -> Professional -> S&E fields,All degrees,Professional,S&E fields,,,3,46000,40000,24000,S,12000,,6000
6835,r163,All degrees -> Professional -> S&E-related fields,All degrees,Professional,S&E-related fields,,,3,1650000,1473000,20000,1377000,76000,16000,161000
6835,r164,All degrees -> Professional -> Non-S&E fields,All degrees,Professional,Non-S&E fields,,,3,1730000,1524000,24000,23000,1477000,21000,185000
